L,MON,SZN,TAR,LDC_SST_CanESM5,OBS_NINO3.4_L3,BIAS,BIAS_ABS
8.5,2001-10-01,MJJ,2002-06-15,27.804700000000025,28.236666666666668,-0.43196666666664285,0.43196666666664285
7.5,2001-11-01,MJJ,2002-06-15,27.629999999999995,28.236666666666668,-0.6066666666666727,0.6066666666666727
6.5,2001-12-01,MJJ,2002-06-15,27.437000000000012,28.236666666666668,-0.7996666666666563,0.7996666666666563
5.5,2002-01-01,MJJ,2002-06-15,27.357200000000034,28.236666666666668,-0.8794666666666338,0.8794666666666338
4.5,2002-02-01,MJJ,2002-06-15,27.820899999999995,28.236666666666668,-0.4157666666666735,0.4157666666666735
3.5,2002-03-01,MJJ,2002-06-15,28.013599999999997,28.236666666666668,-0.2230666666666714,0.2230666666666714
2.5,2002-04-01,MJJ,2002-06-15,27.938300000000027,28.236666666666668,-0.2983666666666416,0.2983666666666416
1.5,2002-05-01,MJJ,2002-06-15,27.98150000000004,28.236666666666668,-0.25516666666662857,0.25516666666662857
10.5,2003-09-01,JJA,2004-07-15,27.739300000000014,27.753333333333337,-0.014033333333323128,0.014033333333323128
9.5,2003-10-01,JJA,2004-07-15,27.653999999999996,27.753333333333337,-0.09933333333334105,0.09933333333334105
8.5,2003-11-01,JJA,2004-07-15,27.845500000000015,27.753333333333337,0.09216666666667805,0.09216666666667805
7.5,2003-12-01,JJA,2004-07-15,27.757600000000025,27.753333333333337,0.004266666666687513,0.004266666666687513
6.5,2004-01-01,JJA,2004-07-15,27.6096,27.753333333333337,-0.14373333333333704,0.14373333333333704
5.5,2004-02-01,JJA,2004-07-15,27.542500000000018,27.753333333333337,-0.21083333333331922,0.21083333333331922
4.5,2004-03-01,JJA,2004-07-15,27.794500000000028,27.753333333333337,0.04116666666669033,0.04116666666669033
3.5,2004-04-01,JJA,2004-07-15,27.80110000000002,27.753333333333337,0.047766666666682056,0.047766666666682056
2.5,2004-05-01,JJA,2004-07-15,27.53770000000003,27.753333333333337,-0.21563333333330803,0.21563333333330803
1.5,2004-06-01,JJA,2004-07-15,27.494500000000016,27.753333333333337,-0.25883333333332104,0.25883333333332104
10.5,2005-11-01,ASO,2006-09-15,27.05460000000005,27.296666666666667,-0.24206666666661647,0.24206666666661647
9.5,2005-12-01,ASO,2006-09-15,26.93760000000003,27.296666666666667,-0.3590666666666351,0.3590666666666351
8.5,2006-01-01,ASO,2006-09-15,27.142200000000003,27.296666666666667,-0.1544666666666643,0.1544666666666643
7.5,2006-02-01,ASO,2006-09-15,27.32770000000005,27.296666666666667,0.031033333333382984,0.031033333333382984
6.5,2006-03-01,ASO,2006-09-15,27.24970000000002,27.296666666666667,-0.04696666666664839,0.04696666666664839
5.5,2006-04-01,ASO,2006-09-15,27.153500000000008,27.296666666666667,-0.14316666666665867,0.14316666666665867
4.5,2006-05-01,ASO,2006-09-15,27.024100000000033,27.296666666666667,-0.2725666666666342,0.2725666666666342
3.5,2006-06-01,ASO,2006-09-15,26.932200000000023,27.296666666666667,-0.36446666666664385,0.36446666666664385
2.5,2006-07-01,ASO,2006-09-15,26.703400000000045,27.296666666666667,-0.5932666666666222,0.5932666666666222
1.5,2006-08-01,ASO,2006-09-15,26.948000000000036,27.296666666666667,-0.34866666666663093,0.34866666666663093
10.5,2008-09-01,JJA,2009-07-15,27.99430000000001,27.74666666666667,0.24763333333334003,0.24763333333334003
9.5,2008-10-01,JJA,2009-07-15,28.10790000000003,27.74666666666667,0.3612333333333595,0.3612333333333595
