L,MON,SZN,TAR,LDC_SST_GEM52_NEMO,OBS_NINO3.4_L3,BIAS,BIAS_ABS
10.5,2001-08-01,MJJ,2002-06-15,25.123800000000017,28.236666666666668,-3.112866666666651,3.112866666666651
9.5,2001-09-01,MJJ,2002-06-15,25.045299999999997,28.236666666666668,-3.1913666666666707,3.1913666666666707
8.5,2001-10-01,MJJ,2002-06-15,25.09020000000004,28.236666666666668,-3.1464666666666297,3.1464666666666297
7.5,2001-11-01,MJJ,2002-06-15,25.530100000000004,28.236666666666668,-2.7065666666666637,2.7065666666666637
6.5,2001-12-01,MJJ,2002-06-15,25.375800000000027,28.236666666666668,-2.8608666666666416,2.8608666666666416
5.5,2002-01-01,MJJ,2002-06-15,25.425700000000006,28.236666666666668,-2.810966666666662,2.810966666666662
4.5,2002-02-01,MJJ,2002-06-15,26.248000000000047,28.236666666666668,-1.9886666666666208,1.9886666666666208
3.5,2002-03-01,MJJ,2002-06-15,25.988500000000045,28.236666666666668,-2.2481666666666236,2.2481666666666236
2.5,2002-04-01,MJJ,2002-06-15,26.529899999999998,28.236666666666668,-1.7067666666666703,1.7067666666666703
1.5,2002-05-01,MJJ,2002-06-15,26.852700000000027,28.236666666666668,-1.383966666666641,1.383966666666641
10.5,2003-09-01,JJA,2004-07-15,24.18870000000004,27.753333333333337,-3.5646333333332976,3.5646333333332976
9.5,2003-10-01,JJA,2004-07-15,24.366800000000012,27.753333333333337,-3.3865333333333254,3.3865333333333254
8.5,2003-11-01,JJA,2004-07-15,24.228400000000022,27.753333333333337,-3.5249333333333155,3.5249333333333155
7.5,2003-12-01,JJA,2004-07-15,24.399500000000046,27.753333333333337,-3.3538333333332915,3.3538333333332915
6.5,2004-01-01,JJA,2004-07-15,24.539000000000044,27.753333333333337,-3.2143333333332933,3.2143333333332933
5.5,2004-02-01,JJA,2004-07-15,24.75,27.753333333333337,-3.0033333333333374,3.0033333333333374
4.5,2004-03-01,JJA,2004-07-15,24.70010000000002,27.753333333333337,-3.053233333333317,3.053233333333317
3.5,2004-04-01,JJA,2004-07-15,25.30370000000005,27.753333333333337,-2.4496333333332885,2.4496333333332885
2.5,2004-05-01,JJA,2004-07-15,25.556200000000047,27.753333333333337,-2.1971333333332908,2.1971333333332908
1.5,2004-06-01,JJA,2004-07-15,26.03340000000003,27.753333333333337,-1.7199333333333087,1.7199333333333087
10.5,2005-11-01,ASO,2006-09-15,23.689700000000016,27.296666666666667,-3.6069666666666507,3.6069666666666507
9.5,2005-12-01,ASO,2006-09-15,23.747400000000027,27.296666666666667,-3.5492666666666395,3.5492666666666395
8.5,2006-01-01,ASO,2006-09-15,24.03520000000003,27.296666666666667,-3.261466666666635,3.261466666666635
7.5,2006-02-01,ASO,2006-09-15,23.930600000000027,27.296666666666667,-3.36606666666664,3.36606666666664
6.5,2006-03-01,ASO,2006-09-15,24.3331,27.296666666666667,-2.963566666666665,2.963566666666665
5.5,2006-04-01,ASO,2006-09-15,24.509900000000016,27.296666666666667,-2.786766666666651,2.786766666666651
