L,START,TARGET,SZN,MEAN_SST_NCEP_CFSv2,VAR_SST_NCEP_CFSv2,MEAN_SST_NCEP_CFSv2_ONETWO,VAR_SST_NCEP_CFSv2_ONETWO,MEAN_SST_NCEP_CFSv2_THREE,VAR_SST_NCEP_CFSv2_THREE,MEAN_SST_NCEP_CFSv2_FOUR,VAR_SST_NCEP_CFSv2_FOUR
1.5,12,1,DJF,26.824301333333334,1.240308456997294,25.42075733333333,0.7407644451512647,25.848213666666663,1.26187039098954,28.556798333333333,0.4593659402212636
2.5,1,3,FMA,27.200963333333338,0.6352990177944158,27.181300333333336,0.2675850032654027,26.964272666666663,0.6736852695719537,28.332142666666662,0.2669319364754015
2.5,2,4,MAM,27.768967666666665,0.4227390168219108,26.760155333333337,0.3341246024050567,27.392618333333335,0.429402927545403,28.772739,0.2044528595610339
2.5,3,5,AMJ,28.357265,0.4147585854005891,25.99194633333333,0.7224473015826453,27.607489,0.3970279720368955,29.34405866666667,0.1816320993291954
2.5,4,6,MJJ,28.061485333333337,0.4488840270952585,24.853483333333333,1.0589096807471277,26.986055,0.4920042333913795,29.338145666666662,0.1543898041150578
2.5,5,7,JJA,26.836774,0.633693160960254,23.538192,0.9617296154924148,25.639568666666666,0.7429903716533318,28.568051333333333,0.2507837418740238
2.5,6,8,JAS,25.809517666666668,0.9656374046286932,22.876469666666665,0.5942505899343679,24.633379333333338,0.852575799640917,27.823501333333336,0.5318930184326432
2.5,7,9,ASO,25.562654333333334,1.4344750836307185,22.865944333333335,0.4663289194047138,24.409293666666667,1.112495298099884,27.732189333333334,0.823465566020231
2.5,8,10,SON,25.636215,1.6262682268464939,23.145002666666667,0.4277184540340225,24.465314999999997,1.2781053293155191,27.908280666666663,0.8567430472685064
2.5,9,11,OND,26.253981333333332,1.7641384846894252,23.874326,0.5917375030041392,24.948758333333338,1.5130810033178168,28.471294333333333,0.6786635068667831
2.5,10,12,NDJ,26.841165666666665,1.599364987757208,24.91522,0.7312324011724138,25.558528000000003,1.5423492413682756,28.82166833333333,0.365268597959195
2.5,11,1,DJF,26.967389333333333,1.4096487029250484,25.93802833333333,0.7448844208764366,26.003971666666665,1.3859174573660928,28.707693,0.3229643072975866
2.5,12,2,JFM,26.909536,1.0657670636612981,26.744712999999997,0.5185684451389653,26.406658333333333,1.017309397159195,28.376628666666665,0.3501022554671269
3.5,1,4,MAM,27.741354333333337,0.5009784871439944,27.032945333333338,0.2591666288257468,27.468437333333338,0.5316353116891955,28.648185,0.1832098061500024
3.5,2,5,AMJ,28.132083,0.382986566156212,26.028306666666666,0.4657832349333337,27.467348,0.322564185168276,29.127208333333332,0.1629490471798842
3.5,3,6,MJJ,28.21726633333333,0.5103506189789512,25.217469333333337,0.9561793963650572,27.20932,0.4822372026620705,29.340292666666667,0.1605741823512622
3.5,4,7,JJA,27.444435333333335,0.6604489640944252,24.229686666666662,1.079350563754022,26.288274666666663,0.6914795259222991,28.957555666666668,0.2067955578805749
3.5,5,8,JAS,26.174192666666663,0.9270128824273227,23.144144,0.7867065219144834,25.01757266666667,0.9166640744822973,28.076749,0.4126487584437937
3.5,6,9,ASO,25.385105666666668,1.301672245614353,22.79044766666667,0.4364221452736785,24.301770333333337,0.9627981790309172,27.489532,0.794915066133793
3.5,7,10,SON,25.478115333333335,1.844581207895259,23.091313,0.3859990317872419,24.365599666666665,1.318561475417127,27.702671333333335,1.0439213614257483
3.5,8,11,OND,25.82625833333333,1.9157075136097281,23.705103,0.4685545836217257,24.611542666666665,1.5383095981512651,28.100078,0.8296692453751731
3.5,9,12,NDJ,26.550966000000003,1.8678526320321789,24.85002366666667,0.6691800481343672,25.324685666666667,1.6730585906598845,28.610211666666665,0.5322024561316104
3.5,10,1,DJF,27.063342666666664,1.466618479371111,26.131485333333337,0.7116993147843679,26.082604333333332,1.4499023506047133,28.753057,0.265165432145863
3.5,11,2,JFM,27.12228,1.1510741524728019,27.101180333333332,0.5798039376998851,26.620773999999997,1.1088453106593104,28.526221333333336,0.2700898971498849
3.5,12,3,FMA,27.240363666666667,0.8253086114615756,27.440653333333337,0.4011883081747129,27.054387333333334,0.8138045896478158,28.374861333333335,0.2559569189498848
4.5,1,5,AMJ,28.105807,0.41187798731620223,26.141537000000003,0.2996999118837927,27.50764366666667,0.3650936363826443,28.993021,0.1358525788644841
4.5,2,6,MJJ,27.962092,0.43873025865117293,25.050129666666667,0.5542569385895386,27.00194533333333,0.3211048457981596,29.13030666666667,0.1451733017609185
4.5,3,7,JJA,27.59864333333333,0.7395152716742338,24.50374,0.9550504438827596,26.494533666666666,0.6611489974378171,28.973141,0.2029643492713798
4.5,4,8,JAS,26.854828,0.9164969879654316,23.782619,0.8836065437610329,25.718096,0.8481344886248263,28.547154666666664,0.3132796590671265
4.5,5,9,ASO,25.866442666666668,1.2446322746322416,23.057435,0.5710215547224151,24.771455333333332,1.030673850853332,27.82955966666667,0.6311212357550575
