L,START,TARGET,SZN,MEAN_SST_COLA_CESM1,VAR_SST_COLA_CESM1,MEAN_SST_COLA_CESM1_ONETWO,VAR_SST_COLA_CESM1_ONETWO,MEAN_SST_COLA_CESM1_THREE,VAR_SST_COLA_CESM1_THREE,MEAN_SST_COLA_CESM1_FOUR,VAR_SST_COLA_CESM1_FOUR
3.5,4,7,JJA,26.770339333333332,1.022889396121426,20.979302333333333,0.8844613174460891,24.888841666666668,1.1631651670764382,28.708984666666662,0.317548901942987
3.5,5,8,JAS,25.559438333333333,1.7629852648582531,20.09205066666667,0.7993696673581581,23.598051666666667,1.5759415400212655,28.086861666666668,0.7158432355798857
3.5,6,9,ASO,24.827773,1.9773037611229074,19.957059333333333,0.5917370213857481,23.027456333333337,1.396343247499886,27.673912,1.0854028033613807
3.5,7,10,SON,25.066727,2.0131783447344143,20.329010666666665,0.4805863649581616,23.343373,1.354933324463103,27.803076333333333,1.1829281928998858
3.5,8,11,OND,25.332687333333336,1.9391474509751483,20.913337333333335,0.3865139274271271,23.720264333333333,1.29224496821161,27.933447666666662,1.1680304903633298
3.5,9,12,NDJ,25.918276,1.8865991347205977,21.834164666666663,0.4261793298257473,24.49497566666667,1.3990752771081612,28.231530666666668,0.9953048016891944
3.5,10,1,DJF,26.100076333333337,1.624319872838057,22.75304733333333,0.4101121765305742,25.038664333333333,1.2840396880736775,28.225567,0.8433999144286205
3.5,11,2,JFM,26.207575333333335,1.304715504568931,23.542430666666668,0.3369959333443676,25.421919,0.952245639361034,28.099976333333338,0.7564424705826435
3.5,12,3,FMA,26.597616333333335,0.9283165722817704,23.878134333333332,0.2846822421495403,25.928183,0.7138965689251726,28.150171,0.5295699160713787
4.5,1,5,AMJ,27.54859766666667,0.5670380433656094,22.537966333333333,0.3622874752033336,26.31503133333333,0.4549123775843673,28.759957,0.3035613802493092
4.5,2,6,MJJ,27.363656,0.6719355110963907,21.509986,0.6817954572386191,25.704547333333338,0.7303099702340238,28.831085666666663,0.2347782710391962
4.5,3,7,JJA,26.779264,1.1781224177648726,20.857615333333335,1.0451051859360925,24.923462333333337,1.256205216521954,28.615057,0.3745341589803451
4.5,4,8,JAS,25.885617,1.628399277712529,20.200518666666667,0.775463914418849,23.990790666666665,1.4791835526271249,28.182294333333335,0.6636001267357489
4.5,5,9,ASO,24.950101,2.189401279705092,19.86478933333333,0.676377981447816,23.169623,1.7147753581734502,27.581784000000003,1.097249788852413
4.5,6,10,SON,24.692517333333335,2.2491024525161953,20.19751,0.4885170148275857,23.069459666666667,1.5048780166240223,27.413400666666668,1.3656472871650591
4.5,7,11,OND,25.189735,2.330085148716747,20.921324333333335,0.4169654626116079,23.632912666666662,1.4867064151581642,27.750619333333336,1.3839122798960912
4.5,8,12,NDJ,25.486566999999997,2.0790346092836556,21.786710666666668,0.3424402529512629,24.126163,1.3181995684493095,27.899211666666663,1.2844113847454035
4.5,9,1,DJF,26.001215666666667,1.8582487559377356,22.874404333333334,0.3872982712460921,24.936491333333333,1.2863708208464375,28.12398466666667,1.046743763577471
4.5,10,2,JFM,26.241889,1.4034266407722646,23.619914,0.3095227727075848,25.452815333333337,1.032162337011954,28.137171666666667,0.7790782684971262
4.5,11,3,FMA,26.570388,1.0554738061250344,23.863535,0.2627439628396547,25.890615,0.7559791662534477,28.186216666666667,0.6031973885402295
4.5,12,4,MAM,27.082324000000003,0.7387759310219197,23.483072666666665,0.2698609363995404,26.265858666666663,0.5598826452533342,28.40277366666667,0.3955424806723003
5.5,1,6,MJJ,27.393183333333333,0.7109424101985402,21.455089666666662,0.4977449167136789,25.764176000000003,0.6168171061282739,28.807313333333333,0.2886010291195409
5.5,2,7,JJA,26.598036333333333,1.1208361868690104,20.485570666666668,0.7470393188271263,24.684932666666665,1.0742492848616068,28.480423666666663,0.4001771948791949
5.5,3,8,JAS,25.88155533333333,1.7279530681632067,20.172394,1.0679872929351732,24.038525666666665,1.5994677403564348,28.038124666666665,0.7411524012050555
5.5,4,9,ASO,25.23979466666667,2.0388323635400347,19.989532,0.6508114933889659,23.523539666666668,1.607864901430919,27.639762333333337,1.081202633956437
5.5,5,10,SON,24.790045000000003,2.4582371773049427,20.15956633333333,0.6220749459481616,23.207761666666663,1.8289303927454017,27.275916,1.3662131142662064
5.5,6,11,OND,24.869411333333336,2.4065577400179086,20.842818333333337,0.4738736540764368,23.433945,1.6136558282051714,27.342530333333332,1.510830257230918
5.5,7,12,NDJ,25.44701866666667,2.4628255671779993,21.89393533333333,0.4196791549291943,24.168303666666667,1.526421440065402,27.729306666666663,1.4987718095678124
5.5,8,1,DJF,25.71113366666667,1.9890715785898632,22.944249666666668,0.3144723318654028,24.738086666666668,1.1965581576229891,27.829321,1.3008851253679306
5.5,9,2,JFM,26.269059,1.6153813269542527,23.94743233333333,0.3566564672460918,25.553107,1.0668648878217233,28.073263,0.9688775109389652
5.5,10,3,FMA,26.687956333333332,1.0943603045622181,24.168502,0.265876463864828,26.090372,0.7691349408648263,28.21229933333333,0.6283758275926445
5.5,11,4,MAM,27.166427,0.8432310237174372,23.715179,0.2966719188713791,26.430736333333336,0.6158855506309198,28.446103666666662,0.4414698495964367
5.5,12,5,AMJ,27.469699333333335,0.6571699035931146,22.706254333333337,0.3542079444185066,26.363041,0.4911284985127596,28.669272999999997,0.3129362213596543
6.5,1,7,JJA,26.731554666666668,1.0635991010130108,20.609755333333332,0.5962988265222977,24.905957,0.8645346561389678,28.503981,0.3881606349817248
6.5,2,8,JAS,25.662600333333337,1.5228056779917694,19.920872999999997,0.6900961126699998,23.801825,1.245904363184483,27.871683333333333,0.6790612415402314
6.5,3,9,ASO,25.200689,2.143563716880896,20.029706666666662,0.9475892897126408,23.543531666666663,1.7809723251247105,27.484372666666665,1.138113097730574
6.5,4,10,SON,25.026965333333333,2.2620173363493894,20.298411666666667,0.5587750434005743,23.468370333333333,1.6987957642102265,27.34515766666667,1.317280429342644
6.5,5,11,OND,24.926443333333335,2.6375157007877825,20.853863666666665,0.6345672435205739,23.532017666666665,1.9209693532254,27.212554666666662,1.5088792312188504
6.5,6,12,NDJ,25.14570133333333,2.5064765910707365,21.868805,0.4910415237224138,23.983864,1.6234542344248268,27.360344666666663,1.5943605235223008
6.5,7,1,DJF,25.714527666666665,2.383817084863622,23.177995666666668,0.4092530624943692,24.830185000000004,1.3994083069913783,27.699347666666664,1.504380595480574
6.5,8,2,JFM,26.058912000000003,1.7764525293719315,24.146341333333332,0.2695713083016106,25.445477,0.998018429118274,27.82084766666667,1.1955353899909194
6.5,9,3,FMA,26.772328,1.3042395775016895,24.682129,0.3398044486368972,26.28553,0.8546276880068969,28.191974,0.7816563745351723
6.5,10,4,MAM,27.289559,0.8783767755900227,24.20762566666667,0.3120812769357464,26.691226333333336,0.5878880054791947,28.470026333333333,0.4708416395343692
6.5,11,5,AMJ,27.613864,0.7538666962556321,23.21332633333333,0.4471769027826445,26.665642333333334,0.546865630928852,28.728557333333335,0.3335450154202289
6.5,12,6,MJJ,27.411272,0.7823591650186661,21.87354433333333,0.5175941266874716,25.9776,0.6123719566068956,28.75704,0.3169512461103452
7.5,1,8,JAS,25.885668666666668,1.4351717881790913,20.076434,0.5678409957765505,24.087867333333335,1.0156548994547123,27.950959333333333,0.5834836210202307
7.5,2,9,ASO,24.97357933333333,1.7691025645578264,19.837108666666666,0.5779742865567808,23.30694533333333,1.2724878662395422,27.311624666666667,0.919032067756782
7.5,3,10,SON,24.967871333333335,2.4265595864945873,20.367435333333333,0.8288414009498817,23.456735,1.9161611079224188,27.21340233333333,1.351591605239197
7.5,4,11,OND,25.128542,2.3784469795526904,20.986662333333335,0.5249608035495387,23.714209333333333,1.7277519540685076,27.315060333333335,1.3879013642447129
7.5,5,12,NDJ,25.190349333333337,2.6827316052105394,21.907510333333335,0.6470795108309213,24.046172,1.9069578036372388,27.276371666666662,1.536983048455748
7.5,6,1,DJF,25.471674333333333,2.4060669802113677,23.17393866666667,0.4489721185981613,24.669865,1.4559673595362084,27.401608666666668,1.5730263375016074
7.5,7,2,JFM,26.102875333333333,2.0913360345073224,24.425696666666667,0.3378181230367806,25.547210333333332,1.183368327589542,27.745626666666663,1.3673709814023014
