M,L,START,TARGET,SZN,MEAN_SST_CanESM5,VAR_SST_CanESM5
7,7.5,10,5,AMJ,28.01916333333335,0.3347948651609208
8,7.5,10,5,AMJ,27.926120000000022,0.4909544209655215
9,7.5,10,5,AMJ,28.002906666666693,0.40228866891955106
10,7.5,10,5,AMJ,27.96417666666669,0.3706823728850542
11,7.5,10,5,AMJ,27.894320000000018,0.33911132993103255
12,7.5,10,5,AMJ,27.955236666666686,0.28522252998850156
13,7.5,10,5,AMJ,28.04222000000003,0.35694992855172086
14,7.5,10,5,AMJ,28.087540000000022,0.3441187535172406
15,7.5,10,5,AMJ,27.92108000000002,0.4993681051034448
16,7.5,10,5,AMJ,28.052870000000024,0.3683287173448246
17,7.5,10,5,AMJ,27.954550000000022,0.5340476598275818
18,7.5,10,5,AMJ,28.034036666666687,0.3029877017126439
19,7.5,10,5,AMJ,27.950576666666684,0.5360149949540254
20,7.5,10,5,AMJ,28.068056666666685,0.23558097840230316
1,7.5,11,6,MJJ,27.692630000000023,0.3656361538965523
2,7.5,11,6,MJJ,27.778053333333357,0.34745583774713173
3,7.5,11,6,MJJ,27.596300000000017,0.3659125972413804
4,7.5,11,6,MJJ,27.620713333333356,0.44257714119540215
5,7.5,11,6,MJJ,27.699396666666694,0.3712849982643667
6,7.5,11,6,MJJ,27.714273333333356,0.3675073668505762
7,7.5,11,6,MJJ,27.717430000000025,0.39448333941379327
8,7.5,11,6,MJJ,27.77810333333336,0.41246296791954634
9,7.5,11,6,MJJ,27.708670000000023,0.34735735458620637
10,7.5,11,6,MJJ,27.589056666666686,0.47019968529885214
11,7.5,11,6,MJJ,27.752293333333355,0.40504076616091506
12,7.5,11,6,MJJ,27.586510000000022,0.44655740231034147
13,7.5,11,6,MJJ,27.833220000000022,0.4768109326896598
14,7.5,11,6,MJJ,27.65526000000002,0.4232877528275929
15,7.5,11,6,MJJ,27.70575333333336,0.35972811843677766
16,7.5,11,6,MJJ,27.747433333333355,0.27976247609196037
17,7.5,11,6,MJJ,27.762106666666682,0.26068671857471065
18,7.5,11,6,MJJ,27.735110000000024,0.4432515740344812
19,7.5,11,6,MJJ,27.96879000000002,0.43722202437931135
20,7.5,11,6,MJJ,27.817753333333357,0.3981535791264348
1,7.5,12,7,JJA,27.302210000000027,0.2124893333448279
2,7.5,12,7,JJA,27.352710000000016,0.2703302023103433
3,7.5,12,7,JJA,27.31698666666669,0.3159603853333238
4,7.5,12,7,JJA,27.40483333333336,0.224347414712648
5,7.5,12,7,JJA,27.413736666666683,0.29630639205747245
6,7.5,12,7,JJA,27.33003666666669,0.2865896589540241
7,7.5,12,7,JJA,27.35555666666669,0.23174370736781771
8,7.5,12,7,JJA,27.28603666666669,0.2595308748160924
9,7.5,12,7,JJA,27.40045000000002,0.30126405844827564
10,7.5,12,7,JJA,27.369576666666685,0.19561835012643886
11,7.5,12,7,JJA,27.34817666666669,0.2696961687471263
12,7.5,12,7,JJA,27.31077333333335,0.3206934075402285
13,7.5,12,7,JJA,27.31614666666669,0.19643872947126556
14,7.5,12,7,JJA,27.331220000000023,0.2558727892413815
15,7.5,12,7,JJA,27.32645000000002,0.3644679563793025
16,7.5,12,7,JJA,27.420780000000022,0.3908076664827606
17,7.5,12,7,JJA,27.25470666666669,0.32505604960919604
18,7.5,12,7,JJA,27.336183333333352,0.44518997040229424
19,7.5,12,7,JJA,27.405600000000018,0.3184390158620721
20,7.5,12,7,JJA,27.348570000000016,0.37314442286207145
1,8.5,1,9,ASO,27.058456666666693,0.2973875777126463
2,8.5,1,9,ASO,26.93625666666669,0.1829390425402301
3,8.5,1,9,ASO,27.026396666666688,0.1799640286091957
4,8.5,1,9,ASO,26.931390000000025,0.29427123265517013
5,8.5,1,9,ASO,26.993480000000016,0.26651239958621104
6,8.5,1,9,ASO,26.892266666666693,0.20083544850574242
7,8.5,1,9,ASO,26.949780000000022,0.21776259613793164
8,8.5,1,9,ASO,26.926433333333357,0.22784615885057752
9,8.5,1,9,ASO,26.986053333333356,0.2888735860229874
10,8.5,1,9,ASO,26.943000000000023,0.3018553227586208
11,8.5,1,9,ASO,26.837300000000024,0.16376881931034648
12,8.5,1,9,ASO,26.916560000000025,0.18728280248275422
13,8.5,1,9,ASO,26.871920000000014,0.18273171820689707
14,8.5,1,9,ASO,26.91953666666669,0.31947673826437034
15,8.5,1,9,ASO,26.92343666666669,0.19750212791954103
16,8.5,1,9,ASO,26.88146666666669,0.29190967195401996
17,8.5,1,9,ASO,26.942166666666694,0.27613943609195823
18,8.5,1,9,ASO,26.948273333333358,0.24220934340229933
19,8.5,1,9,ASO,27.010356666666684,0.17362422943678185
20,8.5,1,9,ASO,26.959736666666693,0.1957798865402274
1,8.5,2,10,SON,27.022806666666693,0.27579670822988667
2,8.5,2,10,SON,26.934046666666692,0.21309270464368327
3,8.5,2,10,SON,26.93533666666669,0.24105465274712412
4,8.5,2,10,SON,26.981243333333357,0.2824372728850574
5,8.5,2,10,SON,26.870010000000022,0.22357568024137928
6,8.5,2,10,SON,27.042420000000025,0.3786674968275882
7,8.5,2,10,SON,26.943533333333356,0.2622362636781665
8,8.5,2,10,SON,26.947636666666693,0.2827185506781598
9,8.5,2,10,SON,27.018546666666683,0.30776391222988053
10,8.5,2,10,SON,26.902770000000025,0.26188791596551597
11,8.5,2,10,SON,26.903206666666687,0.2845324544367796
12,8.5,2,10,SON,26.82268333333336,0.3197473352298845
13,8.5,2,10,SON,26.954710000000023,0.3563275326551706
14,8.5,2,10,SON,26.964370000000024,0.2979796835517234
15,8.5,2,10,SON,26.880573333333356,0.19248473995402557
16,8.5,2,10,SON,26.849140000000027,0.23587060386206699
17,8.5,2,10,SON,26.953206666666688,0.4935933565057442
18,8.5,2,10,SON,26.91988000000002,0.23779424717241476
19,8.5,2,10,SON,26.910096666666693,0.2882875003333345
20,8.5,2,10,SON,26.91204666666669,0.24025435498850753
1,8.5,3,11,OND,27.025020000000026,0.4101680630344812
2,8.5,3,11,OND,26.912513333333358,0.34599323705746654
3,8.5,3,11,OND,26.97661333333336,0.28571910809195344
4,8.5,3,11,OND,26.767243333333354,0.42911012185057207
5,8.5,3,11,OND,26.862640000000017,0.43140226248275665
6,8.5,3,11,OND,27.020653333333357,0.28831568602298463
7,8.5,3,11,OND,26.848513333333358,0.30107136947125696
8,8.5,3,11,OND,27.03624000000002,0.5204492983448314
9,8.5,3,11,OND,26.99511000000002,0.42039274851724207
10,8.5,3,11,OND,26.99071000000003,0.3695827223103479
11,8.5,3,11,OND,26.974666666666682,0.5373480788505686
12,8.5,3,11,OND,27.048996666666692,0.4638826361953966
13,8.5,3,11,OND,27.057373333333356,0.4478106027126487
14,8.5,3,11,OND,26.99345000000002,0.44809256327586
15,8.5,3,11,OND,26.886966666666694,0.2537812326436745
16,8.5,3,11,OND,26.954560000000022,0.39446278593103484
17,8.5,3,11,OND,26.928833333333362,0.4028148091954083
18,8.5,3,11,OND,26.859706666666685,0.35751390409195277
19,8.5,3,11,OND,26.834713333333355,0.4377036267126336
20,8.5,3,11,OND,26.928963333333353,0.3239426086092002
1,8.5,4,12,NDJ,26.836580000000026,0.4228131223448261
2,8.5,4,12,NDJ,26.872576666666692,0.36003654391954537
3,8.5,4,12,NDJ,26.820050000000023,0.5547894543103477
4,8.5,4,12,NDJ,26.935293333333355,0.5911600723678279
5,8.5,4,12,NDJ,26.804723333333353,0.4638543059885044
6,8.5,4,12,NDJ,26.969213333333347,0.4823974425747081
7,8.5,4,12,NDJ,26.861580000000025,0.4124424133793052
8,8.5,4,12,NDJ,26.77455666666669,0.44970948736780875
9,8.5,4,12,NDJ,26.884336666666687,0.3741539320574706
10,8.5,4,12,NDJ,26.86312333333336,0.41633684047126457
11,8.5,4,12,NDJ,26.92347000000002,0.36176512148275874
12,8.5,4,12,NDJ,26.880886666666694,0.39124089912642773
13,8.5,4,12,NDJ,26.967603333333354,0.48523061274712376
14,8.5,4,12,NDJ,26.834240000000023,0.6597335714482743
15,8.5,4,12,NDJ,26.91862333333335,0.4574761577126437
16,8.5,4,12,NDJ,26.854273333333357,0.5320484896091962
17,8.5,4,12,NDJ,26.926900000000025,0.4497533062068996
18,8.5,4,12,NDJ,26.873130000000025,0.44153504355172324
19,8.5,4,12,NDJ,26.85801666666669,0.4886778917816023
20,8.5,4,12,NDJ,26.79138333333335,0.37705418350574976
1,8.5,5,1,DJF,26.915920000000018,0.4836987251034536
2,8.5,5,1,DJF,26.874090000000024,0.4543611133448271
3,8.5,5,1,DJF,26.856896666666685,0.7176871610229884
4,8.5,5,1,DJF,26.87653333333336,0.6549919126436868
5,8.5,5,1,DJF,26.890073333333355,0.6278817475402293
6,8.5,5,1,DJF,26.83329666666669,0.6016247548160962
7,8.5,5,1,DJF,26.829970000000017,0.7797063214827622
8,8.5,5,1,DJF,26.867793333333356,0.5607436316781609
9,8.5,5,1,DJF,26.844060000000027,0.6519865204137953
10,8.5,5,1,DJF,26.84394000000002,0.6618356266206921
11,8.5,5,1,DJF,26.80782666666669,0.7257752523678127
12,8.5,5,1,DJF,26.880396666666694,0.4955229506781618
13,8.5,5,1,DJF,26.927580000000024,0.6415396292413856
14,8.5,5,1,DJF,26.87964333333336,0.43424960254023387
15,8.5,5,1,DJF,26.82510333333336,0.7656024892988476
16,8.5,5,1,DJF,26.847496666666686,0.4335260210229899
17,8.5,5,1,DJF,26.877140000000022,0.5711102245517313
18,8.5,5,1,DJF,26.900323333333358,0.7018076452988505
19,8.5,5,1,DJF,26.987893333333357,0.6172229578850595
20,8.5,5,1,DJF,26.89387666666669,0.6699280590919526
1,8.5,6,2,JFM,27.048930000000027,0.6504836049310304
2,8.5,6,2,JFM,27.15856000000002,0.5355371307586311
3,8.5,6,2,JFM,27.184243333333356,0.6286291963333343
4,8.5,6,2,JFM,27.116616666666694,0.40402955660918793
