M,L,START,TARGET,SZN,MEAN_SST_COLA_CESM1,VAR_SST_COLA_CESM1
3,5.5,4,9,ASO,25.213924333333335,1.970343882004712
4,5.5,4,9,ASO,25.34734866666667,1.8512926003705759
5,5.5,4,9,ASO,25.210272333333332,1.7466253419633349
6,5.5,4,9,ASO,25.18253233333333,2.2617866459357465
7,5.5,4,9,ASO,25.293820333333333,1.9592111487481618
8,5.5,4,9,ASO,25.472559666666665,2.1641109984033333
9,5.5,4,9,ASO,25.151704333333335,2.2803362819012607
10,5.5,4,9,ASO,25.098338000000002,1.4555280566855207
1,5.5,5,10,SON,24.908599666666664,2.506447430603331
2,5.5,5,10,SON,24.74449033333333,2.3885153953964355
3,5.5,5,10,SON,24.789332333333334,2.154008270956437
4,5.5,5,10,SON,24.826969000000002,2.7473863704093113
5,5.5,5,10,SON,24.775483333333334,2.531525106374712
6,5.5,5,10,SON,24.875122666666666,2.4450756995788536
7,5.5,5,10,SON,24.774826666666666,2.0291091271195407
8,5.5,5,10,SON,24.893617,2.910031148125171
9,5.5,5,10,SON,24.629321333333333,2.4627993050050585
10,5.5,5,10,SON,24.682682333333332,2.4074739194805765
1,5.5,6,11,OND,24.831387333333335,2.6843315229443676
2,5.5,6,11,OND,24.83779033333333,2.4329552036654016
3,5.5,6,11,OND,24.873759,2.0005139692782774
4,5.5,6,11,OND,24.898730666666665,2.5350801881581617
5,5.5,6,11,OND,24.762727666666667,2.0861289108598866
6,5.5,6,11,OND,24.730472666666667,2.316488733440921
7,5.5,6,11,OND,24.999279666666666,2.372653102506781
8,5.5,6,11,OND,24.959011333333333,2.4014355653154054
9,5.5,6,11,OND,24.783572333333332,2.5269649236460903
10,5.5,6,11,OND,25.017385,2.7090252803637958
1,5.5,7,12,NDJ,25.392251666666667,2.1399962343109173
2,5.5,7,12,NDJ,25.563964333333335,2.09144794014954
3,5.5,7,12,NDJ,25.480293,2.2886096557872406
4,5.5,7,12,NDJ,25.554544333333336,2.463611141846095
5,5.5,7,12,NDJ,25.311881666666668,2.5383467447316064
6,5.5,7,12,NDJ,25.44721666666667,2.242795786229885
7,5.5,7,12,NDJ,25.511294666666668,2.6525068057498844
8,5.5,7,12,NDJ,25.532512666666666,2.9457907986340204
9,5.5,7,12,NDJ,25.358961333333333,2.9636162379498834
10,5.5,7,12,NDJ,25.317267666666666,2.3015343263909203
1,5.5,8,1,DJF,25.575172666666667,1.9640048769788543
2,5.5,8,1,DJF,25.671607666666667,2.2161069819426444
3,5.5,8,1,DJF,25.814269666666668,1.9497757163550582
4,5.5,8,1,DJF,25.752800666666666,1.931545938006439
5,5.5,8,1,DJF,25.598413333333333,1.8036076089885074
