L,START,TARGET,SZN,MEAN_SST_CanESM5,VAR_SST_CanESM5,MEAN_SST_CanESM5_ONETWO,VAR_SST_CanESM5_ONETWO,MEAN_SST_CanESM5_THREE,VAR_SST_CanESM5_THREE,MEAN_SST_CanESM5_FOUR,VAR_SST_CanESM5_FOUR
2.5,11,1,DJF,26.578696666666687,1.194030584206321,25.430540000000025,0.3133849735172453,25.815620000000028,1.0032555609655212,28.417466666666687,0.5565236622988559
2.5,12,2,JFM,26.898636666666683,1.0064818522574712,26.483110000000018,0.2709384236896538,26.450900000000026,0.7861324862068969,28.431430000000017,0.4915615559655118
3.5,1,4,MAM,27.691163333333357,0.39936664947241407,26.94492333333335,0.0974192149540217,27.318063333333352,0.2336306686091922,28.835946666666693,0.201468813609201
3.5,2,5,AMJ,27.86903000000002,0.26287391187356235,26.21328333333335,0.1896826400574728,27.20975333333335,0.1611864625747143,29.02549666666669,0.1513867189540295
3.5,3,6,MJJ,27.788700000000023,0.2122592078873557,25.231246666666685,0.2525697287816048,26.773383333333356,0.1477836041954052,29.09068333333336,0.1446278235057431
3.5,4,7,JJA,27.45459666666669,0.20054264536896457,24.36184333333336,0.2383322873678211,26.179110000000023,0.1639515105862044,29.010710000000024,0.1261848257586218
3.5,5,8,JAS,27.09451000000002,0.2569085100494256,23.861950000000025,0.3030739818965477,25.71607666666669,0.2543286432298872,28.947256666666696,0.1621362004712612
3.5,6,9,ASO,26.865583333333355,0.3148331782183903,23.77339666666669,0.3309835155057484,25.545686666666693,0.3202364205057461,28.869946666666692,0.2255986860229857
3.5,7,10,SON,26.882173333333355,0.5681246032798853,23.909656666666688,0.3837374708160935,25.58830666666669,0.5347033909885132,28.93280666666669,0.3571559068505779
3.5,8,11,OND,26.67275666666668,0.8005318783431052,24.14765666666669,0.3897572494367817,25.44150666666669,0.7307594902988496,28.77102000000002,0.4669938154482798
3.5,9,12,NDJ,26.49264000000002,0.984479676738505,24.722510000000025,0.3287651857586243,25.470220000000023,0.8469512064827601,28.536860000000026,0.504663399034479
3.5,10,1,DJF,26.50670333333336,0.9873969945068968,25.654660000000018,0.2753411038620644,25.820046666666688,0.8228766398160887,28.362133333333357,0.4577736354022949
3.5,11,2,JFM,26.773390000000024,0.9283785889885063,26.59266000000002,0.2156498824827541,26.39055333333336,0.704606414988508,28.341370000000023,0.4287895656206907
3.5,12,3,FMA,27.270610000000023,0.7468220161080449,27.133746666666685,0.1836747336091951,27.02792666666669,0.5218996096091912,28.566853333333356,0.3505858329195384
4.5,1,5,AMJ,27.79533333333335,0.3102450585477,26.02584000000003,0.1496430114482766,27.080996666666692,0.1687095403333325,29.001283333333355,0.1619627407471254
4.5,2,6,MJJ,27.69335333333335,0.22583662611436855,25.061826666666693,0.2446043834022979,26.621350000000017,0.1584507205172461,29.060466666666684,0.1271996167816086
4.5,3,7,JJA,27.468273333333354,0.19439678044080422,24.27193333333336,0.2769069671264328,26.153753333333352,0.1636878136091933,29.039950000000022,0.1167485777586157
4.5,4,8,JAS,27.169946666666696,0.1953077426235634,23.76786333333336,0.2509962417126491,25.754290000000022,0.155519205068966,28.98393333333336,0.122263542298851
4.5,5,9,ASO,26.957266666666687,0.294891661350576,23.71709000000002,0.2940300526551699,25.584386666666692,0.2510621860229872,28.967646666666685,0.2050053280919601
4.5,6,10,SON,26.860130000000023,0.4027656311948261,24.01081666666669,0.2909392104022993,25.601260000000018,0.3526175031724116,28.889710000000026,0.2959976629999996
4.5,7,11,OND,26.85935666666669,0.7264563723827595,24.46090333333336,0.3333230768850512,25.69036333333336,0.6307317044712586,28.854096666666692,0.4211583037816009
4.5,8,12,NDJ,26.61068333333336,0.879126862714944,25.00586000000003,0.3247897983448234,25.644386666666698,0.7611397356781553,28.573916666666683,0.4464343035057513
4.5,9,1,DJF,26.529836666666693,0.8853230043839101,25.846390000000024,0.2598287754137935,25.90639333333336,0.7340674178850548,28.333433333333353,0.4084092519540239
4.5,10,2,JFM,26.772730000000017,0.7656814069919544,26.753193333333353,0.197919989609198,26.46567666666669,0.5808514363333211,28.300850000000025,0.3490008660344894
4.5,11,3,FMA,27.210630000000023,0.7039575663005747,27.19546666666669,0.1546299381609193,27.025453333333356,0.4662529115402306,28.48364333333336,0.3277486384022976
4.5,12,4,MAM,27.631623333333355,0.5683014010431017,26.87846333333335,0.1513975824022991,27.26272000000002,0.33866122993103,28.797470000000025,0.2579685980344762
5.5,1,6,MJJ,27.627433333333354,0.2592808781454032,24.88520666666669,0.2373419282298858,26.504973333333353,0.1834737702988478,29.02876666666669,0.1353029629885062
5.5,2,7,JJA,27.38195000000002,0.2046634255913789,24.125810000000023,0.2734022712758641,26.025580000000023,0.1747311009655139,29.006560000000025,0.1082924921379284
5.5,3,8,JAS,27.184156666666688,0.18830447434080366,23.694586666666687,0.2923853832643744,25.744326666666687,0.1618605171954026,28.997706666666694,0.1069116751264334
5.5,4,9,ASO,27.01885333333335,0.21706201848850593,23.61752000000002,0.2476922857931083,25.599160000000023,0.154283755586202,29.010246666666696,0.1368231722298853
5.5,5,10,SON,26.93634333333335,0.3777077593057489,23.953026666666695,0.2770042578850575,25.638283333333355,0.2888444655747119,28.988740000000025,0.2622869335172387
5.5,6,11,OND,26.846120000000028,0.5205384110856321,24.518143333333352,0.2625636790919506,25.71015666666669,0.4210801749540289,28.829713333333356,0.3376489080919581
5.5,7,12,NDJ,26.79990666666669,0.8166325782413771,25.251493333333354,0.2879468247816136,25.88087000000002,0.673257849758621,28.647173333333352,0.419606746160914
5.5,8,1,DJF,26.65481000000002,0.8269231014793081,26.04118000000002,0.2520293913103442,26.053546666666698,0.6693845211954105,28.370920000000023,0.3753517244137956
5.5,9,2,JFM,26.82622333333336,0.7118613741971249,26.901146666666687,0.1980266494712634,26.55996666666669,0.5494464174712737,28.28770333333336,0.3169415741264361
5.5,10,3,FMA,27.277163333333352,0.5862019306356321,27.342916666666685,0.1531987890229895,27.150900000000025,0.4007649096551777,28.480670000000018,0.2646005290689676
5.5,11,4,MAM,27.644730000000028,0.5663080768477002,26.938360000000028,0.1234936928275848,27.317320000000016,0.3174630940689666,28.75515666666669,0.2556704866781586
5.5,12,5,AMJ,27.769766666666683,0.45926703368793154,25.97690333333336,0.1659426575747126,27.050060000000027,0.2361624893793102,28.97129000000002,0.2120342009310312
6.5,1,7,JJA,27.328290000000024,0.21981495974540127,23.97140000000002,0.3014036475862081,25.930916666666697,0.205947709022984,28.978813333333353,0.1086955584367811
6.5,2,8,JAS,27.104020000000023,0.19271738887643594,23.573960000000017,0.2901085183448345,25.638120000000015,0.1736652464827589,28.96275000000002,0.0985259591379316
6.5,3,9,ASO,27.03232000000002,0.21219013987011498,23.55315000000002,0.2773178529310353,25.59256666666669,0.1631347795402331,29.01819666666669,0.1147218161954042
6.5,4,10,SON,26.97981666666669,0.2841852155068971,23.866873333333356,0.2180323730574677,25.635990000000024,0.1803542540344802,29.038323333333356,0.1692984928850548
6.5,5,11,OND,26.907113333333356,0.4933672466436779,24.48064000000002,0.2452867335172468,25.736060000000023,0.3649190362758598,28.922560000000026,0.2989446762758657
6.5,6,12,NDJ,26.797243333333356,0.5938738088218385,25.296246666666686,0.2227689391264398,25.900360000000024,0.4690944521379306,28.63863333333335,0.3232834222988476
6.5,7,1,DJF,26.838370000000022,0.791971278493677,26.22672000000002,0.2363963478620657,26.255406666666698,0.6154295454712689,28.439256666666687,0.3694881625402313
