L,MON,LDC_SST_NCEP_CFSv2,LDC_SST_NCEP_CFSv2_ONETWO,LDC_SST_NCEP_CFSv2_THREE,LDC_SST_NCEP_CFSv2_FOUR
5.5,0000 1 Mar 1992,26.45854,23.27264,25.34026,28.0688
6.5,0000 1 Mar 1992,25.94327,22.98369,24.81434,27.81958
7.5,0000 1 Mar 1992,25.87755,23.09617,24.65963,27.90835
8.5,0000 1 Mar 1992,26.06569,23.55633,24.77104,28.13182
1.5,0000 1 Apr 1992,28.89017,25.98022,28.02393,29.42842
2.5,0000 1 Apr 1992,28.34355,24.47812,27.14283,29.23353
3.5,0000 1 Apr 1992,27.30608,23.34402,25.92421,28.72138
4.5,0000 1 Apr 1992,26.30607,22.66705,24.91381,28.1693
5.5,0000 1 Apr 1992,25.72221,22.57057,24.39561,27.83958
6.5,0000 1 Apr 1992,25.64161,22.84764,24.35836,27.84666
7.5,0000 1 Apr 1992,25.84064,23.46326,24.5876,28.04714
8.5,0000 1 Apr 1992,26.16062,24.45221,24.99933,28.2433
1.5,0000 1 May 1992,28.07133,24.15079,26.654,29.22399
2.5,0000 1 May 1992,26.89801,22.82164,25.22187,28.70086
3.5,0000 1 May 1992,25.7998,22.05034,24.21432,28.00211
4.5,0000 1 May 1992,25.21184,21.99895,23.80144,27.53827
5.5,0000 1 May 1992,25.1085,22.30931,23.74832,27.51875
6.5,0000 1 May 1992,25.31199,22.97575,23.97826,27.72798
7.5,0000 1 May 1992,25.6687,24.00196,24.43279,27.99886
8.5,0000 1 May 1992,26.02667,25.33488,25.13582,28.07248
1.5,0000 1 Jun 1992,25.82457,22.58948,24.30767,28.01489
2.5,0000 1 Jun 1992,24.61755,21.88428,23.24263,27.20778
3.5,0000 1 Jun 1992,24.13706,21.76098,22.95926,26.71405
4.5,0000 1 Jun 1992,24.2158,22.1277,23.15216,26.6736
5.5,0000 1 Jun 1992,24.56429,22.77705,23.50957,26.95223
6.5,0000 1 Jun 1992,25.01697,23.88972,24.04622,27.31344
7.5,0000 1 Jun 1992,25.49241,25.29958,24.81791,27.51452
