L,START,TARGET,SZN,MEAN_SST_GEM52_NEMO,VAR_SST_GEM52_NEMO,MEAN_SST_GEM52_NEMO_ONETWO,VAR_SST_GEM52_NEMO_ONETWO,MEAN_SST_GEM52_NEMO_THREE,VAR_SST_GEM52_NEMO_THREE,MEAN_SST_GEM52_NEMO_FOUR,VAR_SST_GEM52_NEMO_FOUR
2.5,7,9,ASO,25.450880000000023,1.2995521059735655,22.60182666666669,0.7550017130574725,25.558436666666687,0.4642497720574691,27.610463333333353,0.8321294389540259
2.5,8,10,SON,25.40954666666669,1.5382850629540228,23.00166333333335,0.7429284672298833,25.348363333333356,0.6366110665402205,27.544556666666697,1.0271205728850612
2.5,9,11,OND,25.45905666666669,1.8271191941362084,23.58564000000002,0.666584219034479,25.267160000000025,0.8274647045517228,27.54750000000002,1.1638921468965553
2.5,10,12,NDJ,25.51828666666669,2.0278040579655165,24.181793333333356,0.6762415337471243,25.404890000000016,0.9869739195517204,27.596753333333353,1.075189758436783
2.5,11,1,DJF,25.56341333333335,1.8539297614051748,24.904680000000024,0.5642966878620699,25.815620000000028,1.0032555609655212,27.48383333333336,1.0104959685057464
2.5,12,2,JFM,25.651520000000023,1.6502590051022996,25.62662333333336,0.425868262540234,26.450900000000026,0.7861324862068969,27.31168333333336,0.960755262126437
3.5,1,4,MAM,25.92675666666669,0.906197011531035,25.183720000000022,0.512147716137931,27.318063333333352,0.2336306686091922,27.27541666666669,0.5090916228160948
3.5,2,5,AMJ,25.96817666666669,0.7088691149402306,24.101483333333356,0.7301660455747031,27.20975333333335,0.1611864625747143,27.442783333333356,0.4158841731609197
3.5,3,6,MJJ,25.74821000000002,0.7373360370132183,23.165930000000017,0.8336034780344848,26.773383333333356,0.1477836041954052,27.45744666666669,0.3801033129195398
3.5,4,7,JJA,25.44810000000002,0.7764951985706893,22.57328666666669,0.5806787384367736,26.179110000000023,0.1639515105862044,27.356043333333353,0.4141201218505742
3.5,5,8,JAS,25.235230000000023,1.002295473912071,22.310396666666687,0.6575024161954094,25.71607666666669,0.2543286432298872,27.267306666666688,0.5500021109884977
3.5,6,9,ASO,25.13822000000002,1.1753370279241397,22.41824333333336,0.6500010011609249,25.545686666666693,0.3202364205057461,27.20804000000003,0.7717933962758728
3.5,7,10,SON,25.391890000000025,1.3626708889712635,23.00703333333336,0.6607140188505692,25.58830666666669,0.5347033909885132,27.412440000000025,0.9596940011034448
3.5,8,11,OND,25.383763333333356,1.5947373096948292,23.608570000000025,0.6966579980344862,25.44150666666669,0.7307594902988496,27.37361666666669,1.0763215090229827
3.5,9,12,NDJ,25.378033333333352,1.7139562215321849,24.310580000000027,0.5780808464827618,25.470220000000023,0.8469512064827601,27.32074666666669,1.084086188091942
3.5,10,1,DJF,25.427113333333356,1.6887256858413788,25.051396666666683,0.5020757499885088,25.820046666666688,0.8228766398160887,27.275630000000024,0.9456307897586153
3.5,11,2,JFM,25.51974333333335,1.409727176120691,25.70772333333336,0.3563418846091923,26.39055333333336,0.704606414988508,27.140333333333356,0.8535177002298863
3.5,12,3,FMA,25.697890000000022,1.2632597158505736,25.84977333333336,0.3870331227126407,27.02792666666669,0.5218996096091912,27.108966666666685,0.7737217457471283
4.5,1,5,AMJ,25.758120000000023,0.6912072652212646,23.94785333333336,0.5675349936091906,27.080996666666692,0.1687095403333325,27.18350666666669,0.388378159264364
4.5,2,6,MJJ,25.468380000000025,0.6428557115775873,22.94467666666669,0.6392433121954044,26.621350000000017,0.1584507205172461,27.152936666666687,0.3422844886091908
4.5,3,7,JJA,25.099893333333352,0.7964388583482783,22.374023333333355,0.6345758721954057,26.153753333333352,0.1636878136091933,27.026626666666687,0.3842468916781605
4.5,4,8,JAS,24.88230333333336,0.8259344798580447,22.12526666666669,0.4813155885057492,25.754290000000022,0.155519205068966,26.90819666666669,0.4581488030919567
4.5,5,9,ASO,24.94758666666669,1.0053085288293109,22.28220666666669,0.5437768440919627,25.584386666666692,0.2510621860229872,26.944876666666698,0.6196593735747057
4.5,6,10,SON,25.05600666666669,1.212476802721841,22.77110000000003,0.526494913793103,25.601260000000018,0.3526175031724116,27.00650000000002,0.8670218531034608
4.5,7,11,OND,25.38773333333336,1.4374592835005737,23.57487666666669,0.6100323052988481,25.69036333333336,0.6307317044712586,27.29419333333336,1.017363970298841
4.5,8,12,NDJ,25.35573666666669,1.5776285603321796,24.289120000000025,0.601230474068966,25.644386666666698,0.7611397356781553,27.220880000000022,1.0550194064827596
4.5,9,1,DJF,25.35225333333336,1.440192607043104,25.074743333333355,0.4053356956436754,25.90639333333336,0.7340674178850548,27.074783333333357,0.9487650269540222
4.5,10,2,JFM,25.421300000000027,1.3045248680936772,25.760423333333357,0.3151940315057469,26.46567666666669,0.5808514363333211,26.964283333333356,0.7965044193678166
4.5,11,3,FMA,25.549480000000024,1.078289770039082,25.925806666666684,0.2626664496091986,27.025453333333356,0.4662529115402306,26.90910333333336,0.6977427196436783
4.5,12,4,MAM,25.71227000000002,0.9773337393505754,25.136510000000023,0.4661265823103403,27.26272000000002,0.33866122993103,27.029790000000023,0.6078178643793009
5.5,1,6,MJJ,25.327370000000027,0.5593217283965505,22.754916666666688,0.4766159517816129,26.504973333333353,0.1834737702988478,26.94120666666669,0.3058330599540266
5.5,2,7,JJA,24.878940000000014,0.6575631730591952,22.159616666666693,0.4712553807471241,26.025580000000023,0.1747311009655139,26.751350000000023,0.3246132922413772
5.5,3,8,JAS,24.59326666666669,0.7996974467436798,21.92677666666669,0.4895874604712609,25.744326666666687,0.1618605171954026,26.607026666666684,0.4151215634022981
5.5,4,9,ASO,24.57954000000002,0.8155071196919531,22.063600000000022,0.3994678448275841,25.599160000000023,0.154283755586202,26.572470000000017,0.4953131407931044
5.5,5,10,SON,24.832416666666692,1.0339193207109205,22.62042000000002,0.4200266244137902,25.638283333333355,0.2888444655747119,26.72737666666669,0.6940213128850646
5.5,6,11,OND,25.008446666666693,1.2646036467637956,23.323410000000028,0.443034735413795,25.71015666666669,0.4210801749540289,26.866106666666685,0.9264915599540212
5.5,7,12,NDJ,25.365140000000014,1.4479121307166678,24.274056666666684,0.5045078425402265,25.88087000000002,0.673257849758621,27.16783666666669,1.0037844155057487
5.5,8,1,DJF,25.353473333333355,1.410203535374713,25.08072000000002,0.4318003147586178,26.053546666666698,0.6693845211954105,27.023183333333357,0.9729955897126448
5.5,9,2,JFM,25.388253333333363,1.1375812668597702,25.779226666666684,0.2395863896091916,26.55996666666669,0.5494464174712737,26.84271666666668,0.7921719869540274
5.5,10,3,FMA,25.463766666666697,1.0239306235655152,25.973363333333356,0.2300386417126446,27.150900000000025,0.4007649096551777,26.76060000000002,0.6475442896551674
5.5,11,4,MAM,25.52328333333335,0.8630023578724135,25.181486666666693,0.2957181639540243,27.317320000000016,0.3174630940689666,26.809033333333357,0.5596302595402287
5.5,12,5,AMJ,25.553496666666693,0.7503099194224129,23.912780000000023,0.5053904788965472,27.050060000000027,0.2361624893793102,26.93644333333335,0.4956725508160918
6.5,1,7,JJA,24.760766666666697,0.5293632554494253,21.993890000000025,0.3494159871379279,25.930916666666697,0.205947709022984,26.569126666666698,0.2562442109885018
6.5,2,8,JAS,24.386420000000022,0.6557277121632172,21.732090000000024,0.3423243954137931,25.638120000000015,0.1736652464827589,26.345370000000024,0.3408615573448312
6.5,3,9,ASO,24.30898333333335,0.7854846173511487,21.858646666666687,0.3833366722298857,25.59256666666669,0.1631347795402331,26.283350000000024,0.4561237543103465
6.5,4,10,SON,24.44088666666669,0.8317464264712621,22.379820000000016,0.3205980368275916,25.635990000000024,0.1803542540344802,26.343740000000025,0.5437536955862038
6.5,5,11,OND,24.750283333333357,1.0728977842120708,23.148483333333356,0.3241893655747131,25.736060000000023,0.3649190362758598,26.57066000000002,0.7429975942068847
6.5,6,12,NDJ,24.964750000000024,1.2468941496080463,24.01368666666669,0.342849899126435,25.900360000000024,0.4690944521379306,26.731063333333353,0.923195147919522
6.5,7,1,DJF,25.3723066666667,1.3182453378942536,25.067126666666695,0.3576588261609197,26.255406666666698,0.6154295454712689,26.999096666666688,0.9270216410229772
6.5,8,2,JFM,25.42241000000002,1.1715856540201153,25.81411000000002,0.2661216450689633,26.66542333333336,0.5160366694367773,26.828680000000023,0.8452339540689626
6.5,9,3,FMA,25.47082333333336,0.9017414219971258,26.05283000000003,0.161044463551725,27.259730000000015,0.3894741180344864,26.699763333333355,0.6353522230919446
6.5,10,4,MAM,25.444040000000022,0.8228277398810327,25.216253333333352,0.2336531032643641,27.472440000000024,0.2963327342068965,26.68977000000002,0.5132783138965473
6.5,11,5,AMJ,25.341286666666683,0.6870062625183924,23.881053333333355,0.3427051756781648,27.14037333333335,0.2288495951264381,26.72112333333336,0.4553707790919482
6.5,12,6,MJJ,25.143230000000024,0.608205676139655,22.70399333333335,0.3943787006436779,26.48550333333335,0.1973049030919536,26.711356666666685,0.4052676804712701
7.5,1,8,JAS,24.271033333333357,0.5060151101982757,21.585970000000028,0.2579897966551676,25.56801666666669,0.2113835007471279,26.18235000000002,0.2381569956896537
7.5,2,9,ASO,24.10307666666669,0.642191577883332,21.668150000000015,0.2783847929310366,25.51075333333336,0.1712148729195415,26.02777666666669,0.3662287694367862
7.5,3,10,SON,24.175110000000025,0.8081499490195412,22.16477666666669,0.2934395515057436,25.628496666666692,0.1912783244712693,26.05495666666669,0.5076940294367808
7.5,4,11,OND,24.34078666666669,0.8585188375402295,22.89220666666669,0.2538784034022985,25.734853333333355,0.2308590239540212,26.17729333333336,0.5784248771954027
7.5,5,12,NDJ,24.685373333333356,1.0536872619609203,23.81636333333336,0.2296199313678143,25.913356666666687,0.4328710225402347,26.42293333333336,0.7466737554023047
7.5,6,1,DJF,24.98199000000002,1.1043589476247107,24.820026666666692,0.2291433709885003,26.267933333333357,0.4455930029885072,26.56464666666669,0.858729434988509
