L,MON,LDC_SST_GFDL_SPEAR,LDC_SST_GFDL_SPEAR_ONETWO,LDC_SST_GFDL_SPEAR_THREE,LDC_SST_GFDL_SPEAR_FOUR
5.5,0000 1 May 1992,26.20836,21.25519,24.75838,28.00591
6.5,0000 1 May 1992,26.20871,21.8448,24.84685,27.98481
7.5,0000 1 May 1992,26.06274,22.86748,24.93697,27.76193
8.5,0000 1 May 1992,25.89345,24.18486,25.14058,27.4784
9.5,0000 1 May 1992,25.96452,25.33235,25.57198,27.37329
10.5,0000 1 May 1992,26.32736,25.55087,26.09738,27.49208
1.5,0000 1 Jun 1992,26.69714,22.36007,25.51719,28.1678
2.5,0000 1 Jun 1992,26.01452,21.27771,24.68121,27.80708
3.5,0000 1 Jun 1992,25.83095,20.832,24.4131,27.68431
4.5,0000 1 Jun 1992,25.84623,20.95874,24.42186,27.68879
5.5,0000 1 Jun 1992,25.74873,21.56307,24.44945,27.54931
6.5,0000 1 Jun 1992,25.53894,22.55583,24.4756,27.25665
7.5,0000 1 Jun 1992,25.37564,23.86125,24.68043,26.95055
8.5,0000 1 Jun 1992,25.51133,25.06713,25.16661,26.8757
9.5,0000 1 Jun 1992,25.91825,25.37013,25.71705,27.06413
10.5,0000 1 Jun 1992,26.30024,24.47629,25.88442,27.35988
1.5,0000 1 Jul 1992,26.21709,21.43055,24.79976,27.91568
2.5,0000 1 Jul 1992,25.89381,21.0633,24.50396,27.74731
3.5,0000 1 Jul 1992,25.91118,21.14596,24.52169,27.78468
4.5,0000 1 Jul 1992,25.86078,21.70607,24.54652,27.70896
5.5,0000 1 Jul 1992,25.67595,22.69903,24.57332,27.4562
6.5,0000 1 Jul 1992,25.53777,24.09293,24.78287,27.1785
7.5,0000 1 Jul 1992,25.68865,25.30404,25.27403,27.07473
8.5,0000 1 Jul 1992,26.14407,25.525,25.88406,27.24043
9.5,0000 1 Jul 1992,26.56805,24.55356,26.09737,27.53017
10.5,0000 1 Jul 1992,26.68561,23.08178,25.82259,27.73755
1.5,0000 1 Aug 1992,25.90677,20.79078,24.29228,27.90513
2.5,0000 1 Aug 1992,25.6876,20.90403,24.19743,27.66135
3.5,0000 1 Aug 1992,25.51303,21.43935,24.16037,27.45939
4.5,0000 1 Aug 1992,25.27109,22.42981,24.16668,27.12039
5.5,0000 1 Aug 1992,25.11321,23.84842,24.41195,26.8021
6.5,0000 1 Aug 1992,25.26538,25.06475,24.91445,26.70347
7.5,0000 1 Aug 1992,25.73805,25.28228,25.50907,26.89746
8.5,0000 1 Aug 1992,26.22992,24.29103,25.73862,27.23404
9.5,0000 1 Aug 1992,26.41731,22.87222,25.55621,27.45831
10.5,0000 1 Aug 1992,26.19407,21.65418,24.95736,27.46342
1.5,0000 1 Sep 1992,26.08664,21.05902,24.53449,27.96905
2.5,0000 1 Sep 1992,25.82436,21.56427,24.39141,27.70211
3.5,0000 1 Sep 1992,25.55088,22.50703,24.3567,27.40206
4.5,0000 1 Sep 1992,25.36176,23.92063,24.60319,27.03511
5.5,0000 1 Sep 1992,25.53446,25.17814,25.1771,26.93064
6.5,0000 1 Sep 1992,26.00993,25.44475,25.81482,27.134
7.5,0000 1 Sep 1992,26.48898,24.49832,26.06075,27.49932
8.5,0000 1 Sep 1992,26.65149,23.05261,25.82013,27.74268
9.5,0000 1 Sep 1992,26.39367,21.77659,25.15795,27.74618
10.5,0000 1 Sep 1992,25.94653,20.88603,24.49097,27.57913
1.5,0000 1 Oct 1992,26.12062,22.05632,24.75811,27.98443
2.5,0000 1 Oct 1992,25.87093,23.04212,24.74861,27.67384
3.5,0000 1 Oct 1992,25.73069,24.42785,25.02355,27.32855
4.5,0000 1 Oct 1992,25.92124,25.57164,25.60218,27.19652
5.5,0000 1 Oct 1992,26.38904,25.70671,26.20078,27.36151
6.5,0000 1 Oct 1992,26.78822,24.66686,26.37678,27.66442
7.5,0000 1 Oct 1992,26.8643,23.15548,26.04461,27.85975
8.5,0000 1 Oct 1992,26.49426,21.7878,25.29776,27.79964
9.5,0000 1 Oct 1992,25.97025,20.83097,24.57211,27.56373
10.5,0000 1 Oct 1992,25.55508,20.17562,24.062,27.32969
1.5,0000 1 Nov 1992,25.87114,23.13327,24.81765,27.7921
2.5,0000 1 Nov 1992,25.75375,24.35209,25.08657,27.43821
3.5,0000 1 Nov 1992,25.91433,25.45502,25.62654,27.27306
4.5,0000 1 Nov 1992,26.36782,25.57744,26.1944,27.41704
5.5,0000 1 Nov 1992,26.77974,24.56752,26.34385,27.70973
6.5,0000 1 Nov 1992,26.85848,23.01096,25.98857,27.9088
7.5,0000 1 Nov 1992,26.5021,21.66944,25.24614,27.8531
8.5,0000 1 Nov 1992,25.96843,20.74406,24.51088,27.63678
9.5,0000 1 Nov 1992,25.53442,20.12138,23.98497,27.42197
10.5,0000 1 Nov 1992,25.36245,19.93332,23.81304,27.33283
1.5,0000 1 Dec 1992,25.82332,24.06708,24.9278,27.69362
2.5,0000 1 Dec 1992,25.91346,25.25527,25.5074,27.46059
3.5,0000 1 Dec 1992,26.37568,25.49925,26.15381,27.52396
4.5,0000 1 Dec 1992,26.80569,24.55031,26.33737,27.74596
5.5,0000 1 Dec 1992,26.85801,23.02583,25.96527,27.89038
6.5,0000 1 Dec 1992,26.44042,21.63466,25.16827,27.80478
7.5,0000 1 Dec 1992,25.88555,20.66773,24.39532,27.56841
8.5,0000 1 Dec 1992,25.45776,20.02237,23.8829,27.34478
9.5,0000 1 Dec 1992,25.28631,19.80452,23.69123,27.26068
10.5,0000 1 Dec 1992,25.26136,20.09001,23.72181,27.24471
1.5,0000 1 Jan 1993,26.42979,25.87222,26.03742,27.84164
2.5,0000 1 Jan 1993,26.90521,26.26151,26.74991,27.81474
3.5,0000 1 Jan 1993,27.30223,25.35653,26.89781,27.97903
4.5,0000 1 Jan 1993,27.25293,23.8547,26.44753,28.0938
5.5,0000 1 Jan 1993,26.7205,22.3066,25.54023,27.96378
6.5,0000 1 Jan 1993,26.08693,21.18122,24.70511,27.69256
7.5,0000 1 Jan 1993,25.64568,20.40779,24.13445,27.49388
8.5,0000 1 Jan 1993,25.48841,20.13771,23.94241,27.41127
9.5,0000 1 Jan 1993,25.48676,20.36743,23.98141,27.40099
10.5,0000 1 Jan 1993,25.40512,21.07298,24.02612,27.30108
1.5,0000 1 Feb 1993,27.26349,26.36057,27.10725,28.10828
2.5,0000 1 Feb 1993,27.5253,25.59682,27.13458,28.21749
3.5,0000 1 Feb 1993,27.32485,24.09398,26.51766,28.21967
4.5,0000 1 Feb 1993,26.67016,22.51738,25.49145,27.94565
5.5,0000 1 Feb 1993,25.93732,21.1738,24.54015,27.57347
6.5,0000 1 Feb 1993,25.45813,20.31773,23.91735,27.30278
7.5,0000 1 Feb 1993,25.29224,20.03352,23.72629,27.21698
8.5,0000 1 Feb 1993,25.31323,20.26497,23.78915,27.207
9.5,0000 1 Feb 1993,25.25601,21.0019,23.89338,27.08393
10.5,0000 1 Feb 1993,25.08376,22.27212,24.04521,26.83526
1.5,0000 1 Mar 1993,27.7122,25.64236,27.36464,28.45324
2.5,0000 1 Mar 1993,27.62427,24.49729,26.9278,28.49217
3.5,0000 1 Mar 1993,26.97019,23.11786,25.94125,28.2131
4.5,0000 1 Mar 1993,26.20501,21.89458,24.97022,27.81934
5.5,0000 1 Mar 1993,25.69978,21.00466,24.33529,27.50552
6.5,0000 1 Mar 1993,25.56927,20.62502,24.149,27.42507
7.5,0000 1 Mar 1993,25.6471,20.74764,24.23693,27.4271
8.5,0000 1 Mar 1993,25.62503,21.334,24.29877,27.37284
9.5,0000 1 Mar 1993,25.4742,22.40854,24.37811,27.18592
10.5,0000 1 Mar 1993,25.3697,23.86059,24.6579,27.02606
1.5,0000 1 Apr 1993,27.76984,24.96035,27.21609,28.59166
2.5,0000 1 Apr 1993,27.14906,23.48768,26.26322,28.34343
3.5,0000 1 Apr 1993,26.37889,22.19325,25.23606,27.96687
4.5,0000 1 Apr 1993,25.8816,21.25492,24.56784,27.6655
5.5,0000 1 Apr 1993,25.78845,20.81842,24.37641,27.60316
6.5,0000 1 Apr 1993,25.83229,20.90653,24.39974,27.62305
7.5,0000 1 Apr 1993,25.75555,21.54016,24.44129,27.55293
8.5,0000 1 Apr 1993,25.56298,22.63718,24.53213,27.31628
9.5,0000 1 Apr 1993,25.46716,24.04956,24.85472,27.06586
10.5,0000 1 Apr 1993,25.64629,25.17762,25.39514,27.00061
1.5,0000 1 May 1993,27.3272,23.94379,26.5294,28.45688
2.5,0000 1 May 1993,26.50155,22.48181,25.4432,28.04575
3.5,0000 1 May 1993,25.8924,21.41515,24.62609,27.68933
4.5,0000 1 May 1993,25.70862,20.9026,24.3057,27.58504
5.5,0000 1 May 1993,25.80888,20.99824,24.40316,27.61928
6.5,0000 1 May 1993,25.81007,21.58671,24.50654,27.54096
7.5,0000 1 May 1993,25.63381,22.69983,24.60778,27.29619
8.5,0000 1 May 1993,25.48427,24.15325,24.85891,27.03327
9.5,0000 1 May 1993,25.54883,25.37365,25.23279,26.97928
10.5,0000 1 May 1993,25.89651,25.54635,25.68772,27.15735
1.5,0000 1 Jun 1993,26.74649,22.48261,25.54893,28.29682
2.5,0000 1 Jun 1993,26.05597,21.51947,24.72251,27.89707
3.5,0000 1 Jun 1993,25.763,21.00986,24.3337,27.67246
4.5,0000 1 Jun 1993,25.75309,21.02031,24.27525,27.60544
5.5,0000 1 Jun 1993,25.62976,21.47605,24.23365,27.46334
6.5,0000 1 Jun 1993,25.34939,22.46083,24.23674,27.12064
7.5,0000 1 Jun 1993,25.15573,23.87138,24.45948,26.78884
8.5,0000 1 Jun 1993,25.27271,25.18429,24.9807,26.68982
9.5,0000 1 Jun 1993,25.71377,25.50479,25.5487,26.88743
10.5,0000 1 Jun 1993,26.14813,24.48101,25.75001,27.21799
1.5,0000 1 Jul 1993,25.85261,21.1242,24.49686,27.7793
2.5,0000 1 Jul 1993,25.42894,20.69184,24.04179,27.45052
3.5,0000 1 Jul 1993,25.37271,20.75461,23.97165,27.28611
4.5,0000 1 Jul 1993,25.19977,21.24194,23.88714,27.01727
5.5,0000 1 Jul 1993,24.86752,22.18487,23.81104,26.63326
6.5,0000 1 Jul 1993,24.65117,23.58281,24.01171,26.34306
7.5,0000 1 Jul 1993,24.82078,24.88107,24.53994,26.32546
8.5,0000 1 Jul 1993,25.30812,25.16421,25.13568,26.59633
9.5,0000 1 Jul 1993,25.77002,24.10663,25.32098,26.94827
10.5,0000 1 Jul 1993,25.9307,22.52378,25.0645,27.15322
1.5,0000 1 Aug 1993,25.94778,20.84799,24.38882,27.88089
2.5,0000 1 Aug 1993,25.62344,20.92489,24.13847,27.59316
3.5,0000 1 Aug 1993,25.40643,21.45653,24.05213,27.36622
4.5,0000 1 Aug 1993,25.13594,22.44466,24.04146,27.02541
5.5,0000 1 Aug 1993,24.94774,23.78716,24.24013,26.7361
6.5,0000 1 Aug 1993,25.09469,24.95296,24.75514,26.71614
7.5,0000 1 Aug 1993,25.58497,25.02986,25.34717,26.96753
8.5,0000 1 Aug 1993,26.07047,23.95615,25.55257,27.30817
9.5,0000 1 Aug 1993,26.2119,22.41974,25.24207,27.48175
10.5,0000 1 Aug 1993,25.92896,21.2042,24.5733,27.40171
1.5,0000 1 Sep 1993,26.36368,21.39438,24.76982,28.30291
2.5,0000 1 Sep 1993,26.09975,21.91914,24.67421,28.01562
3.5,0000 1 Sep 1993,25.76851,22.97895,24.66587,27.63015
4.5,0000 1 Sep 1993,25.49974,24.38139,24.82213,27.22104
5.5,0000 1 Sep 1993,25.54209,25.51468,25.18447,27.05719
6.5,0000 1 Sep 1993,25.88803,25.45127,25.58595,27.19464
7.5,0000 1 Sep 1993,26.27877,24.1665,25.69037,27.48613
