M,L,START,TARGET,SZN,MEAN_SST_NCEP_CFSv2,VAR_SST_NCEP_CFSv2
6,5.5,3,8,JAS,26.759602333333337,1.3302384214805723
7,5.5,3,8,JAS,27.050806333333334,0.9144101055136787
8,5.5,3,8,JAS,26.829076666666666,1.0572335106850579
9,5.5,3,8,JAS,26.955843333333334,0.5961591809609212
10,5.5,3,8,JAS,26.979424666666667,0.9545314041222979
11,5.5,3,8,JAS,27.075528000000002,0.7055789020855151
12,5.5,3,8,JAS,26.948703000000002,1.0008198262631007
13,5.5,3,8,JAS,27.065525333333333,1.5474548020395362
14,5.5,3,8,JAS,26.998138333333333,1.0669846277522996
15,5.5,3,8,JAS,27.036200666666666,1.3023727968409224
16,5.5,3,8,JAS,26.999737666666665,0.9769347045633339
17,5.5,3,8,JAS,27.048961666666667,0.7924977891109193
18,5.5,3,8,JAS,27.009415666666666,0.9377178001357473
19,5.5,3,8,JAS,27.029235333333336,1.165408537060231
20,5.5,3,8,JAS,27.096014,1.1136325973765524
21,5.5,3,8,JAS,27.077817999999997,1.0727431131199985
22,5.5,3,8,JAS,26.999521,0.9570295914989665
23,5.5,3,8,JAS,27.20260933333333,1.219620322406439
24,5.5,3,8,JAS,27.03546233333333,0.8848427548805731
1,5.5,4,9,ASO,26.771751666666667,1.1484176173247125
2,5.5,4,9,ASO,26.771143,1.0987485736286209
3,5.5,4,9,ASO,26.68316433333333,1.1762182975702296
4,5.5,4,9,ASO,26.82773,0.9940239918965523
5,5.5,4,9,ASO,26.648952666666666,1.3285532850409199
6,5.5,4,9,ASO,26.665704666666667,1.1186216082119556
7,5.5,4,9,ASO,26.69536533333333,1.250123341708506
8,5.5,4,9,ASO,26.566909000000003,1.1984247625679307
9,5.5,4,9,ASO,26.711422666666667,1.2757368679443686
10,5.5,4,9,ASO,26.666448333333335,1.4655044498419556
11,5.5,4,9,ASO,26.61983233333333,1.3551664769702298
12,5.5,4,9,ASO,26.777494666666666,1.16992446199816
13,5.5,4,9,ASO,26.662794666666667,1.2264285944464344
14,5.5,4,9,ASO,26.707286,1.2343074506386202
15,5.5,4,9,ASO,26.471697333333335,0.9815081969788528
