L,MON,LDC_SST_CanESM5,LDC_SST_CanESM5_ONETWO,LDC_SST_CanESM5_THREE,LDC_SST_CanESM5_FOUR
4.5,0000 1 Jan 1992,301.2526,299.2142,300.2737,302.2098
5.5,0000 1 Jan 1992,300.7405,297.8702,299.3059,302.1123
6.5,0000 1 Jan 1992,300.1569,296.7964,298.4431,301.9307
7.5,0000 1 Jan 1992,299.6978,296.1051,297.9145,301.7613
8.5,0000 1 Jan 1992,299.4131,295.8773,297.7248,301.6369
9.5,0000 1 Jan 1992,299.2345,296.101,297.6966,301.532
10.5,0000 1 Jan 1992,299.0482,296.6548,297.702,301.3523
1.5,0000 1 Feb 1992,301.6743,300.7081,301.1131,302.164
2.5,0000 1 Feb 1992,301.5614,300.5021,301.0224,302.1811
3.5,0000 1 Feb 1992,301.256,299.4985,300.4345,302.1488
4.5,0000 1 Feb 1992,300.7709,298.1076,299.4852,302.0693
5.5,0000 1 Feb 1992,300.2526,297.0052,298.6249,301.9442
6.5,0000 1 Feb 1992,299.8723,296.307,298.1176,301.8838
7.5,0000 1 Feb 1992,299.6655,296.1183,297.9754,301.8446
8.5,0000 1 Feb 1992,299.5521,296.3639,297.9983,301.7906
9.5,0000 1 Feb 1992,299.3876,296.931,298.0321,301.6109
10.5,0000 1 Feb 1992,299.1985,297.7658,298.1604,301.3121
1.5,0000 1 Mar 1992,301.7193,300.7425,301.3091,302.166
2.5,0000 1 Mar 1992,301.449,299.7469,300.7621,302.2002
3.5,0000 1 Mar 1992,301.0146,298.379,299.8228,302.178
4.5,0000 1 Mar 1992,300.4893,297.2566,298.9024,302.1112
5.5,0000 1 Mar 1992,300.0756,296.6068,298.3676,302.0433
6.5,0000 1 Mar 1992,299.8499,296.4019,298.195,302.0211
7.5,0000 1 Mar 1992,299.7273,296.6249,298.2023,301.9654
8.5,0000 1 Mar 1992,299.587,297.1472,298.2354,301.8098
9.5,0000 1 Mar 1992,299.4103,297.9401,298.3397,301.519
10.5,0000 1 Mar 1992,299.3415,298.9119,298.6525,301.223
1.5,0000 1 Apr 1992,302.0023,300.0565,301.2933,302.5099
2.5,0000 1 Apr 1992,301.5129,298.8606,300.3986,302.4398
3.5,0000 1 Apr 1992,300.9182,297.7994,299.4296,302.373
4.5,0000 1 Apr 1992,300.4134,297.0672,298.7972,302.2917
5.5,0000 1 Apr 1992,300.1539,296.8293,298.5835,302.2609
6.5,0000 1 Apr 1992,300.0519,296.9715,298.5801,302.2044
7.5,0000 1 Apr 1992,299.9304,297.462,298.6189,302.0334
8.5,0000 1 Apr 1992,299.7303,298.1939,298.6894,301.6873
9.5,0000 1 Apr 1992,299.6255,299.0993,298.9727,301.3175
10.5,0000 1 Apr 1992,299.7885,299.9589,299.4684,301.1296
1.5,0000 1 May 1992,301.5583,298.905,300.5695,302.4485
2.5,0000 1 May 1992,300.9638,297.9958,299.5842,302.4333
3.5,0000 1 May 1992,300.4889,297.2718,298.9427,302.4012
4.5,0000 1 May 1992,300.2998,296.9661,298.7341,302.4135
5.5,0000 1 May 1992,300.2666,297.0503,298.767,302.4313
6.5,0000 1 May 1992,300.1907,297.4671,298.8052,302.3135
7.5,0000 1 May 1992,299.9975,298.1577,298.8783,301.9818
8.5,0000 1 May 1992,299.8919,299.0436,299.1768,301.5797
9.5,0000 1 May 1992,300.0784,299.9045,299.7306,301.3691
10.5,0000 1 May 1992,300.5557,300.3245,300.3765,301.4739
1.5,0000 1 Jun 1992,300.8738,297.7617,299.5278,302.4971
2.5,0000 1 Jun 1992,300.3523,297.2203,298.8519,302.4221
3.5,0000 1 Jun 1992,300.1593,296.9683,298.6567,302.3716
4.5,0000 1 Jun 1992,300.1596,297.0862,298.7203,302.3614
5.5,0000 1 Jun 1992,300.1111,297.5154,298.7873,302.2512
6.5,0000 1 Jun 1992,299.9593,298.239,298.8789,301.9667
7.5,0000 1 Jun 1992,299.8784,299.1233,299.1614,301.6288
8.5,0000 1 Jun 1992,300.0692,299.9986,299.6661,301.4544
9.5,0000 1 Jun 1992,300.5345,300.4166,300.2833,301.5627
10.5,0000 1 Jun 1992,301.0052,300.0496,300.5713,301.8475
1.5,0000 1 Jul 1992,300.021,296.6812,298.5145,302.2478
2.5,0000 1 Jul 1992,299.8625,296.6733,298.37,302.2194
3.5,0000 1 Jul 1992,299.8794,296.8789,298.4523,302.183
4.5,0000 1 Jul 1992,299.8943,297.3388,298.5667,302.0929
5.5,0000 1 Jul 1992,299.7724,298.0788,298.6905,301.8205
6.5,0000 1 Jul 1992,299.7311,299.0212,299.062,301.4956
7.5,0000 1 Jul 1992,299.9809,299.94,299.6875,301.3146
8.5,0000 1 Jul 1992,300.504,300.3575,300.3734,301.4277
9.5,0000 1 Jul 1992,301.0009,299.9602,300.595,301.7509
10.5,0000 1 Jul 1992,301.1646,298.9587,300.3032,302.0378
1.5,0000 1 Aug 1992,299.5241,295.812,297.824,302.098
2.5,0000 1 Aug 1992,299.4145,296.2861,297.8422,301.9868
3.5,0000 1 Aug 1992,299.328,296.8463,297.931,301.8226
4.5,0000 1 Aug 1992,299.1674,297.6357,298.0659,301.537
5.5,0000 1 Aug 1992,299.1146,298.6703,298.4503,301.2194
6.5,0000 1 Aug 1992,299.3359,299.7034,299.0856,301.0426
7.5,0000 1 Aug 1992,299.873,300.2424,299.8193,301.1649
8.5,0000 1 Aug 1992,300.4114,299.9411,300.1683,301.5005
9.5,0000 1 Aug 1992,300.6797,298.9821,300.0134,301.7909
10.5,0000 1 Aug 1992,300.5723,297.8153,299.441,301.9126
1.5,0000 1 Sep 1992,299.6926,295.7347,297.9659,302.1187
2.5,0000 1 Sep 1992,299.534,296.5159,297.9665,302.017
3.5,0000 1 Sep 1992,299.3851,297.405,298.108,301.8076
4.5,0000 1 Sep 1992,299.3484,298.4938,298.5217,301.5429
5.5,0000 1 Sep 1992,299.5907,299.5613,299.2177,301.3599
6.5,0000 1 Sep 1992,300.1365,300.127,299.9933,301.4212
7.5,0000 1 Sep 1992,300.7083,299.8484,300.3881,301.7004
8.5,0000 1 Sep 1992,300.9894,298.9369,300.2231,301.9962
9.5,0000 1 Sep 1992,300.854,297.7993,299.6098,302.1163
10.5,0000 1 Sep 1992,300.5017,296.8969,298.9743,302.1042
1.5,0000 1 Oct 1992,299.5371,296.0625,297.9773,301.9581
2.5,0000 1 Oct 1992,299.3513,297.1563,298.0979,301.7429
3.5,0000 1 Oct 1992,299.3239,298.3082,298.4966,301.5005
4.5,0000 1 Oct 1992,299.5832,299.4233,299.2053,301.3806
