L,START,TARGET,SZN,MEAN_SST_GFDL_SPEAR,VAR_SST_GFDL_SPEAR,MEAN_SST_GFDL_SPEAR_ONETWO,VAR_SST_GFDL_SPEAR_ONETWO,MEAN_SST_GFDL_SPEAR_THREE,VAR_SST_GFDL_SPEAR_THREE,MEAN_SST_GFDL_SPEAR_FOUR,VAR_SST_GFDL_SPEAR_FOUR
3.5,8,11,OND,26.421439,1.1349358840065815,21.928625,0.7576538095017239,24.996209,1.0188013492024142,28.243767333333334,0.818324270599541
3.5,9,12,NDJ,26.418026666666663,1.1132934265068353,23.17625466666667,0.5412089354671255,25.24040066666667,0.9357852542133324,28.182057666666665,0.7943928760736788
3.5,10,1,DJF,26.348944,0.9474593114581,24.68323566666667,0.4499509211495393,25.612386666666666,0.8488397256091955,27.983579666666667,0.6651272832860924
3.5,11,2,JFM,26.548947,0.6776588274459231,25.950024666666664,0.2453792680947123,26.213577666666662,0.5944611632529881,27.922152,0.4790784628165518
3.5,12,3,FMA,27.04730633333333,0.4465492709007355,26.288532333333333,0.3581901163978161,26.88818966666667,0.4496024929964378,28.102401333333333,0.2573598993981613
4.5,1,5,AMJ,27.585379333333332,0.21725310129244446,24.424464333333333,0.7111030044667823,26.863229666666665,0.2888965419136788,28.56568233333333,0.1448091669633323
4.5,2,6,MJJ,27.237736,0.22677601284865095,23.146555666666664,0.6712807879633347,26.132714333333336,0.2290683721702286,28.505103666666667,0.1843257786654017
4.5,3,7,JJA,26.75906133333333,0.36872198365314174,22.178875,0.792007814039655,25.423412,0.3363567935475858,28.369799333333333,0.2249105951443688
4.5,4,8,JAS,26.377142,0.4531120864125209,21.366638333333334,0.9225310767454032,24.939972,0.464122711133792,28.161157,0.3165143310975865
4.5,5,9,ASO,26.278687333333338,0.6639498893105903,20.963528666666665,0.9443577467636792,24.763310666666666,0.6280616128064369,28.139170666666665,0.4926639454891955
4.5,6,10,SON,26.234198,0.8891333874425595,21.078432666666668,0.6696899540271264,24.7188,0.7153367573172404,28.094951,0.6629008711886215
4.5,7,11,OND,26.290066666666668,1.1343897916002763,21.838569333333332,0.5573425625029876,24.886026,0.8506747983765505,28.09794966666667,0.9244949510102304
4.5,8,12,NDJ,26.28443,1.2541753227993544,23.126507,0.6798840348837938,25.133475666666666,1.074806725880575,28.035039,0.872816296781725
4.5,9,1,DJF,26.30224966666667,1.0149272013559307,24.682958666666664,0.341860937315402,25.558216,0.7924909536179289,27.92409,0.7515875279862043
4.5,10,2,JFM,26.489447666666667,0.7369899482992488,25.925942333333335,0.2470007357840224,26.157698666666665,0.6054732617843668,27.86452566666667,0.5186207893840227
4.5,11,3,FMA,26.96705766666667,0.5385139626892647,26.23644,0.2057060247517239,26.789647666666667,0.4660311079633331,28.043153333333336,0.3425123261609193
4.5,12,4,MAM,27.432505666666668,0.3321664089057241,25.526275,0.4499064897293094,27.077869,0.3620581326713818,28.34114966666667,0.1841064465757478
5.5,1,6,MJJ,27.222834666666664,0.2515631402459158,23.080424666666666,0.695838085184369,26.106135,0.2690374120051729,28.501520666666668,0.1596067006064355
5.5,2,7,JJA,26.670643,0.37614820384836,22.043215999999997,0.6758242666317259,25.321153666666664,0.2929371491964362,28.263281,0.2630741597403432
5.5,3,8,JAS,26.302406,0.4620811945900693,21.420057999999997,0.8387949956924153,24.863045666666665,0.394971886956437,28.116019333333337,0.2999320591236766
5.5,4,9,ASO,26.208824333333332,0.5468243324073713,21.056470666666662,0.8190964592754034,24.74705,0.4789998007241376,28.064037,0.4116899138562063
5.5,5,10,SON,26.275430333333336,0.8535080686896477,21.196498666666667,0.7997820744878175,24.802619,0.6803854695817225,28.126316666666664,0.6402339370988501
5.5,6,11,OND,26.187031,1.1429144096417394,21.812261999999997,0.5889091202786203,24.799812666666664,0.8246944471995404,28.009255333333332,0.8246625438395397
5.5,7,12,NDJ,26.153247,1.306067374519977,23.034866,0.4839507597765516,25.019953333333333,0.9348776464643692,27.893143666666667,1.011255101313679
5.5,8,1,DJF,26.198567,1.1743760976384199,24.647778666666667,0.4831728843154022,25.464134,0.9749547639834488,27.821326666666668,0.8209050097402308
5.5,9,2,JFM,26.442601333333336,0.7969832070129812,25.933629333333332,0.1915297687512649,26.104064666666662,0.6047576890671251,27.833700333333336,0.5873749724171272
5.5,10,3,FMA,26.913240666666663,0.5410846123169354,26.218526333333333,0.2247407353136797,26.745024,0.4486093493351713,27.997916,0.3602692309213788
