L,START,TARGET,SZN,MEAN_SST_CanSIPS_IC4,VAR_SST_CanSIPS_IC4,MEAN_SST_CanSIPS_IC4_ONETWO,VAR_SST_CanSIPS_IC4_ONETWO,MEAN_SST_CanSIPS_IC4_THREE,VAR_SST_CanSIPS_IC4_THREE,MEAN_SST_CanSIPS_IC4_FOUR,VAR_SST_CanSIPS_IC4_FOUR
4.5,2,6,MJJ,26.58086666666669,0.4343461688459779,24.003253333333355,0.2763613018850598,25.526800000000023,0.3033848317241385,28.106706666666692,0.2032603475402294
4.5,3,7,JJA,26.284096666666688,0.4954178193945413,23.32297333333336,0.3127489123678195,25.05320000000002,0.3255911572413779,28.03329333333336,0.2125121082298841
4.5,4,8,JAS,26.026130000000027,0.510621111240804,22.94657000000002,0.3095637938965506,24.777170000000023,0.303338674586201,27.946073333333356,0.2449861765057467
4.5,5,9,ASO,25.95243666666669,0.6501000950899435,22.99965000000002,0.3706252294827581,24.769643333333356,0.4391029480574704,27.95624666666669,0.3635290067126396
4.5,6,10,SON,25.958066666666692,0.8076212169583336,23.390953333333353,0.3591938149885095,24.895866666666688,0.5665587850574726,27.94809666666669,0.5349961058505732
4.5,7,11,OND,26.123556666666687,1.0819578279416666,24.017886666666687,0.4353127446436748,25.158513333333353,0.8138558922298859,28.074146666666685,0.6738405184367824
4.5,8,12,NDJ,25.983216666666696,1.228377711523562,24.647496666666697,0.4255766555057427,25.21019333333335,0.9393049813333316,27.89740666666669,0.6986315075402303
4.5,9,1,DJF,25.941046666666686,1.162757805713507,25.46056333333335,0.3121528375747184,25.476076666666692,0.8503960935747114,27.704103333333354,0.6364436168850541
4.5,10,2,JFM,26.09702333333335,1.035103137542816,26.256793333333356,0.2412651323678155,25.88733666666669,0.7204727520574823,27.632553333333355,0.533345883954019
4.5,11,3,FMA,26.38003666666669,0.8911236681698285,26.56063000000002,0.1836026269999991,26.27186666666669,0.5710997036781591,27.69637333333335,0.4804474213333345
4.5,12,4,MAM,26.671946666666692,0.7728175701968385,26.007490000000026,0.2428295540344818,26.358076666666687,0.4767012011609187,27.913626666666687,0.3928985696092036
5.5,1,6,MJJ,26.47740333333336,0.4093013032709768,23.82007000000002,0.1894311483793103,25.392213333333356,0.216614027402299,27.98499666666669,0.1854338934367827
5.5,2,7,JJA,26.13045333333336,0.43111329932528697,23.14271333333336,0.2285548087816159,24.865006666666694,0.2637433509885034,27.878953333333357,0.1867222908505786
5.5,3,8,JAS,25.888703333333357,0.4940009605422418,22.810686666666697,0.2794639253333365,24.62011000000002,0.2747363967931047,27.80238666666669,0.2159278908505761
5.5,4,9,ASO,25.799196666666685,0.5162845690902295,22.84057666666668,0.2806665480574713,24.61504333333335,0.2756996142643649,27.79136666666669,0.2678775843678155
5.5,5,10,SON,25.884373333333357,0.7058135400083347,23.286716666666692,0.3111818772988493,24.822140000000022,0.4375768935172435,27.85805666666669,0.428979921160913
5.5,6,11,OND,25.927273333333357,0.8925710289247138,23.92077333333335,0.3123393482298893,25.015390000000014,0.603501336103443,27.847910000000024,0.5838788533448384
5.5,7,12,NDJ,26.082536666666687,1.1322723544790223,24.76278000000002,0.3689686706206863,25.35145333333336,0.8197796549884929,27.907496666666688,0.6650438313678158
5.5,8,1,DJF,26.00414333333335,1.1185633184270107,25.560936666666688,0.314741451367816,25.564270000000025,0.7943988332068955,27.69705666666669,0.6142205218505719
5.5,9,2,JFM,26.10724333333336,0.9247213205284476,26.340176666666693,0.2060635452988487,25.951176666666687,0.6198921501264378,27.565213333333357,0.5093896715402264
5.5,10,3,FMA,26.370476666666686,0.8050662771005737,26.658136666666685,0.1739121044712632,26.327660000000023,0.5002560142068958,27.620623333333356,0.4150519839195375
5.5,11,4,MAM,26.58400666666669,0.7146552173600569,26.059930000000023,0.1658102269999961,26.32709000000003,0.4017375388620687,27.78207666666669,0.3755730777126461
5.5,12,5,AMJ,26.661626666666688,0.6047884765551722,24.944856666666684,0.2320562377126458,25.99069666666669,0.3278705755057444,27.953860000000024,0.3140398438620648
6.5,1,7,JJA,26.04453333333336,0.37458910759741326,22.98264000000002,0.1771960997241418,24.750410000000024,0.198812186448276,27.77396666666669,0.1546857526436804
6.5,2,8,JAS,25.74522333333335,0.4242225505198266,22.65302000000003,0.2016801871724145,24.465130000000023,0.2190091952758615,27.654066666666683,0.1865746595402275
6.5,3,9,ASO,25.670656666666684,0.4988373786106319,22.705903333333357,0.2493399803333322,24.49107333333335,0.2373507854712667,27.65077666666669,0.2343545563333308
6.5,4,10,SON,25.710360000000023,0.5579658209890795,23.12334666666669,0.2381875701609153,24.657526666666687,0.2809947785747101,27.691030000000016,0.3063489007931
6.5,5,11,OND,25.828706666666687,0.7831325154278744,23.814560000000025,0.2570710955862114,24.921650000000025,0.475425866724141,27.74661333333335,0.4713409184367805
6.5,6,12,NDJ,25.88099666666669,0.9203839792149424,24.65497666666669,0.2530555363333336,25.19812666666669,0.6029705061609224,27.68485333333336,0.5711506205057449
6.5,7,1,DJF,26.105356666666687,1.0551083081939654,25.646910000000027,0.2804418023103415,25.68656666666669,0.7042174967816032,27.71916666666669,0.5992125754022932
6.5,8,2,JFM,26.18399666666669,0.932789399872701,26.421726666666693,0.2099300482298881,26.03907000000003,0.6030860442413757,27.581150000000022,0.5130614391379323
6.5,9,3,FMA,26.415120000000023,0.7269310472525865,26.76772333333336,0.1528483839195381,26.40740000000002,0.4415367234482804,27.594426666666685,0.3944556075402325
6.5,10,4,MAM,26.60320333333335,0.6505817340600559,26.15858666666669,0.1612676177471279,26.38930333333336,0.3672307120574747,27.74671000000002,0.3209701650689677
6.5,11,5,AMJ,26.59117666666669,0.5813863529347707,24.96489333333335,0.1697487427126425,25.95231333333335,0.2838945529195373,27.85379333333336,0.3077944027126455
6.5,12,6,MJJ,26.384133333333352,0.4917592187666665,23.783760000000015,0.1869026404137907,25.313013333333355,0.2417491611954075,27.86587333333335,0.2582734137471306
7.5,1,8,JAS,25.669953333333353,0.3566361270227013,22.51556333333335,0.1759072948160884,24.365450000000024,0.1782642067241338,27.56509333333336,0.1396365378850559
7.5,2,9,ASO,25.532660000000025,0.4280724400258621,22.56426333333336,0.1919456251609173,24.356640000000024,0.1916231852413756,27.50491666666669,0.2004735035057428
7.5,3,10,SON,25.58285333333335,0.5466764893824716,22.98830000000002,0.2111556772413816,24.542936666666687,0.2425581141264378,27.54991666666668,0.2704507235057463
7.5,4,11,OND,25.64114666666668,0.6203376559270116,23.646900000000027,0.1947805434482776,24.749920000000028,0.3130437009655183,27.57663333333336,0.3354706650574739
7.5,5,12,NDJ,25.76408000000002,0.8171145397580469,24.542656666666687,0.1992528487471272,25.08705666666669,0.491321079781611,27.57226000000003,0.4681796273103457
7.5,6,1,DJF,25.91536333333336,0.8497905871456887,25.54313000000002,0.1836248201034489,25.53283666666669,0.5097579686091952,27.50310666666669,0.512761828229892
7.5,7,2,JFM,26.28553333333336,0.8974403102922413,26.47408333333336,0.1951352097126438,26.13353666666668,0.5445106796436741,27.615056666666693,0.5162602970229894
7.5,8,3,FMA,26.49953333333336,0.7652852645356317,26.839570000000027,0.1561747980344821,26.494010000000024,0.4617842905862112,27.624470000000024,0.4120806187241355
7.5,9,4,MAM,26.672133333333356,0.5842035135089063,26.29690000000002,0.1556895158620691,26.48904666666669,0.3270166239540265,27.74788666666669,0.3028001646436805
