L,MON,LDC_SST_GEM5_NEMO
2.5,0000 1 Mar 1993,300.1176
3.5,0000 1 Mar 1993,299.4398
4.5,0000 1 Mar 1993,298.5672
5.5,0000 1 Mar 1993,297.7976
6.5,0000 1 Mar 1993,297.3935
7.5,0000 1 Mar 1993,297.189
8.5,0000 1 Mar 1993,297.0104
9.5,0000 1 Mar 1993,296.8591
10.5,0000 1 Mar 1993,296.8028
1.5,0000 1 Apr 1993,300.9244
2.5,0000 1 Apr 1993,300.1877
3.5,0000 1 Apr 1993,299.2798
4.5,0000 1 Apr 1993,298.5179
5.5,0000 1 Apr 1993,298.1528
6.5,0000 1 Apr 1993,298.0209
7.5,0000 1 Apr 1993,297.8712
8.5,0000 1 Apr 1993,297.7064
9.5,0000 1 Apr 1993,297.5617
10.5,0000 1 Apr 1993,297.5306
1.5,0000 1 May 1993,300.3816
2.5,0000 1 May 1993,299.3394
3.5,0000 1 May 1993,298.4258
4.5,0000 1 May 1993,297.9206
5.5,0000 1 May 1993,297.6998
6.5,0000 1 May 1993,297.5725
7.5,0000 1 May 1993,297.4182
8.5,0000 1 May 1993,297.3335
9.5,0000 1 May 1993,297.39
10.5,0000 1 May 1993,297.524
1.5,0000 1 Jun 1993,299.6418
2.5,0000 1 Jun 1993,298.774
3.5,0000 1 Jun 1993,298.3364
4.5,0000 1 Jun 1993,298.19
5.5,0000 1 Jun 1993,298.1031
6.5,0000 1 Jun 1993,298.0172
7.5,0000 1 Jun 1993,297.9351
8.5,0000 1 Jun 1993,297.9294
9.5,0000 1 Jun 1993,297.9482
10.5,0000 1 Jun 1993,297.908
1.5,0000 1 Jul 1993,298.9908
2.5,0000 1 Jul 1993,298.4097
3.5,0000 1 Jul 1993,298.2344
4.5,0000 1 Jul 1993,298.1095
5.5,0000 1 Jul 1993,297.8979
6.5,0000 1 Jul 1993,297.7296
7.5,0000 1 Jul 1993,297.6459
8.5,0000 1 Jul 1993,297.6311
9.5,0000 1 Jul 1993,297.5899
10.5,0000 1 Jul 1993,297.4372
1.5,0000 1 Aug 1993,299.0344
2.5,0000 1 Aug 1993,298.6718
3.5,0000 1 Aug 1993,298.5008
4.5,0000 1 Aug 1993,298.3452
5.5,0000 1 Aug 1993,298.2083
6.5,0000 1 Aug 1993,298.1528
7.5,0000 1 Aug 1993,298.1398
8.5,0000 1 Aug 1993,298.0833
9.5,0000 1 Aug 1993,297.8881
10.5,0000 1 Aug 1993,297.416
1.5,0000 1 Sep 1993,299.2349
2.5,0000 1 Sep 1993,298.8405
3.5,0000 1 Sep 1993,298.4948
4.5,0000 1 Sep 1993,298.1446
5.5,0000 1 Sep 1993,297.9497
6.5,0000 1 Sep 1993,297.847
7.5,0000 1 Sep 1993,297.7165
8.5,0000 1 Sep 1993,297.4201
9.5,0000 1 Sep 1993,296.954
