L,MON,LDC_SST_GEM52_NEMO,LDC_SST_GEM52_NEMO_ONETWO,LDC_SST_GEM52_NEMO_THREE,LDC_SST_GEM52_NEMO_FOUR
2.5,0000 1 Feb 1992,301.0315,299.8603,301.0224,301.7696
3.5,0000 1 Feb 1992,300.382,298.954,300.4345,301.4379
4.5,0000 1 Feb 1992,299.4067,297.7063,299.4852,300.8368
5.5,0000 1 Feb 1992,298.4559,296.6381,298.6249,300.1603
6.5,0000 1 Feb 1992,297.8077,295.7962,298.1176,299.5799
7.5,0000 1 Feb 1992,297.4564,295.3548,297.9754,299.1577
8.5,0000 1 Feb 1992,297.1971,295.3775,297.9983,298.8074
9.5,0000 1 Feb 1992,296.9486,295.6976,298.0321,298.5356
10.5,0000 1 Feb 1992,296.8049,296.3213,298.1604,298.3029
1.5,0000 1 Mar 1992,301.3991,300.3263,301.3091,301.8689
2.5,0000 1 Mar 1992,300.7194,299.5302,300.7621,301.559
3.5,0000 1 Mar 1992,299.6691,298.3439,299.8228,300.9737
4.5,0000 1 Mar 1992,298.6621,297.1923,298.9024,300.2769
5.5,0000 1 Mar 1992,298.0377,296.2528,298.3676,299.7236
6.5,0000 1 Mar 1992,297.717,295.7087,298.195,299.3544
7.5,0000 1 Mar 1992,297.498,295.6179,298.2023,299.0792
8.5,0000 1 Mar 1992,297.3363,295.8694,298.2354,298.8785
9.5,0000 1 Mar 1992,297.2418,296.403,298.3397,298.7153
10.5,0000 1 Mar 1992,297.2726,297.2369,298.6525,298.5794
1.5,0000 1 Apr 1992,301.4725,299.3121,301.2933,302.2166
2.5,0000 1 Apr 1992,300.6803,298.1512,300.3986,301.8269
3.5,0000 1 Apr 1992,299.7118,297.118,299.4296,301.2563
4.5,0000 1 Apr 1992,298.9174,296.3927,298.7972,300.7071
5.5,0000 1 Apr 1992,298.444,295.9912,298.5835,300.2763
6.5,0000 1 Apr 1992,298.1874,296.0231,298.5801,299.9791
7.5,0000 1 Apr 1992,297.9489,296.2296,298.6189,299.7008
8.5,0000 1 Apr 1992,297.7397,296.6883,298.6894,299.4238
9.5,0000 1 Apr 1992,297.6349,297.3751,298.9727,299.1391
10.5,0000 1 Apr 1992,297.697,298.1172,299.4684,298.9205
1.5,0000 1 May 1992,300.9478,298.131,300.5695,302.018
2.5,0000 1 May 1992,299.972,297.1122,299.5842,301.5519
3.5,0000 1 May 1992,299.1508,296.3909,298.9427,301.0318
4.5,0000 1 May 1992,298.6761,296.0783,298.7341,300.6263
5.5,0000 1 May 1992,298.4202,296.1704,298.767,300.2991
6.5,0000 1 May 1992,298.2064,296.4659,298.8052,300.0292
7.5,0000 1 May 1992,297.995,296.9608,298.8783,299.7514
8.5,0000 1 May 1992,297.8897,297.7024,299.1768,299.4601
9.5,0000 1 May 1992,297.8695,298.4325,299.7306,299.2176
10.5,0000 1 May 1992,297.9215,298.6652,300.3765,299.0873
1.5,0000 1 Jun 1992,299.5959,296.6766,299.5278,301.5506
2.5,0000 1 Jun 1992,298.7752,296.1219,298.8519,301.035
3.5,0000 1 Jun 1992,298.4505,295.9621,298.6567,300.6691
4.5,0000 1 Jun 1992,298.335,296.1999,298.7203,300.3978
5.5,0000 1 Jun 1992,298.2569,296.6306,298.7873,300.1795
6.5,0000 1 Jun 1992,298.1635,297.2182,298.8789,299.9992
7.5,0000 1 Jun 1992,298.1279,297.8753,299.1614,299.7952
8.5,0000 1 Jun 1992,298.2144,298.5142,299.6661,299.5927
9.5,0000 1 Jun 1992,298.3341,298.7496,300.2833,299.4254
10.5,0000 1 Jun 1992,298.3308,298.0166,300.5713,299.3691
1.5,0000 1 Jul 1992,299.0202,295.9743,298.5145,301.4436
2.5,0000 1 Jul 1992,298.5175,296.0124,298.37,301.0182
3.5,0000 1 Jul 1992,298.4953,296.3307,298.4523,300.8361
4.5,0000 1 Jul 1992,298.5218,296.7804,298.5667,300.7169
5.5,0000 1 Jul 1992,298.5125,297.3809,298.6905,300.569
6.5,0000 1 Jul 1992,298.535,298.0966,299.062,300.3693
7.5,0000 1 Jul 1992,298.6366,298.831,299.6875,300.1203
8.5,0000 1 Jul 1992,298.7556,299.1587,300.3734,299.9036
9.5,0000 1 Jul 1992,298.7646,298.4692,300.595,299.8032
10.5,0000 1 Jul 1992,298.5699,297.1543,300.3032,299.7331
1.5,0000 1 Aug 1992,298.686,295.6661,297.824,301.2818
2.5,0000 1 Aug 1992,298.5316,296.2644,297.8422,300.9875
3.5,0000 1 Aug 1992,298.5951,296.8231,297.931,300.8645
4.5,0000 1 Aug 1992,298.6206,297.4343,298.0659,300.7429
5.5,0000 1 Aug 1992,298.6371,298.1947,298.4503,300.4958
6.5,0000 1 Aug 1992,298.6899,298.9409,299.0856,300.1798
7.5,0000 1 Aug 1992,298.7498,299.1994,299.8193,299.9214
8.5,0000 1 Aug 1992,298.7409,298.4641,300.1683,299.8047
9.5,0000 1 Aug 1992,298.5659,297.107,300.0134,299.7669
10.5,0000 1 Aug 1992,298.1794,295.6792,299.441,299.6277
1.5,0000 1 Sep 1992,298.7875,295.8222,297.9659,301.2132
2.5,0000 1 Sep 1992,298.5934,296.6629,297.9665,300.9176
3.5,0000 1 Sep 1992,298.5407,297.2778,298.108,300.7246
4.5,0000 1 Sep 1992,298.522,297.9858,298.5217,300.4701
5.5,0000 1 Sep 1992,298.5508,298.6852,299.2177,300.1493
6.5,0000 1 Sep 1992,298.6395,298.9559,299.9933,299.8953
7.5,0000 1 Sep 1992,298.6621,298.234,300.3881,299.804
8.5,0000 1 Sep 1992,298.5399,296.9247,300.2231,299.7533
9.5,0000 1 Sep 1992,298.1708,295.6056,299.6098,299.631
10.5,0000 1 Sep 1992,297.6612,294.758,298.9743,299.3748
1.5,0000 1 Oct 1992,298.7249,296.2246,297.9773,301.1377
2.5,0000 1 Oct 1992,298.5803,297.2104,298.0979,300.8625
3.5,0000 1 Oct 1992,298.5871,298.0574,298.4966,300.6195
4.5,0000 1 Oct 1992,298.6393,298.7996,299.2053,300.3042
5.5,0000 1 Oct 1992,298.7504,299.1738,299.9829,300.0446
6.5,0000 1 Oct 1992,298.8161,298.5804,300.3772,299.9174
7.5,0000 1 Oct 1992,298.6987,297.3102,300.2472,299.8447
8.5,0000 1 Oct 1992,298.3134,295.9503,299.7086,299.701
9.5,0000 1 Oct 1992,297.8031,295.0737,299.1312,299.4706
10.5,0000 1 Oct 1992,297.3372,294.6556,298.7518,299.1855
1.5,0000 1 Nov 1992,298.981,296.8553,298.4042,301.2317
2.5,0000 1 Nov 1992,298.7261,297.9713,298.7367,300.7752
3.5,0000 1 Nov 1992,298.6642,298.7443,299.3194,300.3748
4.5,0000 1 Nov 1992,298.7233,298.9364,300.0116,300.0757
5.5,0000 1 Nov 1992,298.7199,298.1666,300.3486,299.9095
6.5,0000 1 Nov 1992,298.5195,296.8544,300.206,299.7959
7.5,0000 1 Nov 1992,298.1099,295.5462,299.6846,299.6422
8.5,0000 1 Nov 1992,297.6031,294.752,299.1591,299.388
9.5,0000 1 Nov 1992,297.1375,294.3906,298.8165,299.0838
10.5,0000 1 Nov 1992,296.7917,294.3846,298.7164,298.769
1.5,0000 1 Dec 1992,299.0525,297.5336,298.7932,301.2052
2.5,0000 1 Dec 1992,298.8991,298.4563,299.3428,300.735
3.5,0000 1 Dec 1992,298.9321,298.7036,299.8779,300.381
4.5,0000 1 Dec 1992,298.9527,298.0932,300.1021,300.1632
