L,MON,LDC_SST_NASA_GEOSS2S,LDC_SST_NASA_GEOSS2S_ONETWO,LDC_SST_NASA_GEOSS2S_THREE,LDC_SST_NASA_GEOSS2S_FOUR
7.5,0000 1 Feb 1994,27.09845,20.22626,25.06006,29.27506
1.5,0000 1 Mar 1994,27.40579,24.48617,26.6116,28.52638
2.5,0000 1 Mar 1994,27.53386,22.44943,26.23125,28.83162
3.5,0000 1 Mar 1994,27.37035,20.87172,25.58443,29.00139
4.5,0000 1 Mar 1994,26.99704,20.13163,24.93105,28.97463
5.5,0000 1 Mar 1994,26.66961,19.78597,24.4865,28.9499
6.5,0000 1 Mar 1994,26.64098,19.82303,24.48944,29.04869
7.5,0000 1 Mar 1994,26.86038,20.27666,24.87568,29.20017
1.5,0000 1 Apr 1994,28.02576,23.57704,27.09596,29.04186
2.5,0000 1 Apr 1994,28.07162,22.02046,26.6699,29.35336
3.5,0000 1 Apr 1994,27.89414,21.13427,26.1536,29.4639
4.5,0000 1 Apr 1994,27.66663,20.71625,25.75453,29.54115
5.5,0000 1 Apr 1994,27.64729,20.5008,25.57371,29.71036
6.5,0000 1 Apr 1994,27.87103,20.68995,25.7717,29.94573
7.5,0000 1 Apr 1994,28.06717,21.31041,26.04139,30.10148
1.5,0000 1 May 1994,27.64652,21.38036,26.05465,29.10247
2.5,0000 1 May 1994,27.463,20.40428,25.55805,29.28176
3.5,0000 1 May 1994,27.31134,19.97104,25.2367,29.37884
4.5,0000 1 May 1994,27.49224,20.04803,25.33759,29.66504
5.5,0000 1 May 1994,27.86893,20.6002,25.7585,29.98585
6.5,0000 1 May 1994,28.1693,21.61081,26.16953,30.27425
7.5,0000 1 May 1994,28.05537,22.80665,26.31014,30.21384
1.5,0000 1 Jun 1994,27.52222,21.0284,25.73477,29.11148
2.5,0000 1 Jun 1994,27.27958,20.24788,25.2614,29.25082
3.5,0000 1 Jun 1994,27.32557,20.09583,25.22273,29.52789
4.5,0000 1 Jun 1994,27.59378,20.49545,25.55575,29.84351
5.5,0000 1 Jun 1994,27.87202,21.30923,25.94632,30.07427
6.5,0000 1 Jun 1994,27.92145,22.3666,26.17142,30.08019
7.5,0000 1 Jun 1994,27.73148,23.53012,26.27491,29.90158
1.5,0000 1 Jul 1994,26.71652,20.41778,24.59539,28.96871
2.5,0000 1 Jul 1994,26.73433,19.99942,24.58247,29.11104
3.5,0000 1 Jul 1994,27.05695,20.2129,24.97335,29.35464
4.5,0000 1 Jul 1994,27.42397,20.95063,25.45156,29.60188
5.5,0000 1 Jul 1994,27.60357,22.08204,25.85795,29.69763
6.5,0000 1 Jul 1994,27.56775,23.3806,26.15529,29.62253
7.5,0000 1 Jul 1994,27.42266,24.41054,26.34176,29.39087
1.5,0000 1 Aug 1994,26.29405,19.91651,24.03375,28.94846
2.5,0000 1 Aug 1994,26.32132,19.88546,24.23634,28.95276
3.5,0000 1 Aug 1994,26.53309,20.42671,24.59531,29.0604
4.5,0000 1 Aug 1994,26.49669,21.33985,24.82159,28.99745
5.5,0000 1 Aug 1994,26.19463,22.57916,24.96903,28.61405
6.5,0000 1 Aug 1994,25.9406,23.50414,25.14837,28.12698
7.5,0000 1 Aug 1994,26.02142,23.4758,25.34494,27.80157
1.5,0000 1 Sep 1994,26.47491,20.22424,24.42777,28.97532
2.5,0000 1 Sep 1994,26.40714,20.64788,24.56297,28.85886
3.5,0000 1 Sep 1994,26.26308,21.44438,24.68837,28.61713
4.5,0000 1 Sep 1994,25.9373,22.55648,24.79008,28.21469
5.5,0000 1 Sep 1994,25.68332,23.50803,24.91064,27.79504
6.5,0000 1 Sep 1994,25.75778,23.53882,25.11436,27.55285
7.5,0000 1 Sep 1994,25.99825,22.61001,25.13598,27.56116
1.5,0000 1 Oct 1994,27.18975,21.72598,25.51302,29.32193
2.5,0000 1 Oct 1994,27.02871,22.39379,25.59732,29.16615
3.5,0000 1 Oct 1994,26.61101,23.24708,25.50329,28.75662
4.5,0000 1 Oct 1994,26.23872,23.90116,25.33175,28.30047
5.5,0000 1 Oct 1994,26.14153,23.7472,25.20324,28.08105
6.5,0000 1 Oct 1994,26.2311,22.68621,24.94568,28.14953
7.5,0000 1 Oct 1994,26.31068,21.19294,24.58526,28.32467
1.5,0000 1 Nov 1994,27.46885,23.35112,26.09038,29.4291
2.5,0000 1 Nov 1994,27.1705,24.0785,26.13818,29.18011
3.5,0000 1 Nov 1994,26.93012,24.68657,26.25065,28.77509
4.5,0000 1 Nov 1994,26.89919,24.77221,26.31314,28.52636
5.5,0000 1 Nov 1994,26.91561,23.89171,26.10411,28.50986
6.5,0000 1 Nov 1994,26.85626,22.47983,25.63625,28.61786
7.5,0000 1 Nov 1994,26.71825,21.16203,25.16638,28.62616
1.5,0000 1 Dec 1994,27.49486,24.69477,26.32485,29.33498
2.5,0000 1 Dec 1994,27.28379,25.37844,26.47161,29.03611
3.5,0000 1 Dec 1994,27.26156,25.02552,26.46308,28.86564
4.5,0000 1 Dec 1994,27.30928,23.78015,26.14843,28.89056
5.5,0000 1 Dec 1994,27.2504,22.10483,25.65596,28.94638
6.5,0000 1 Dec 1994,26.92772,20.84642,25.01981,28.83517
7.5,0000 1 Dec 1994,26.44418,20.06762,24.3903,28.60294
1.5,0000 1 Jan 1995,27.69742,26.29768,26.89054,29.08916
2.5,0000 1 Jan 1995,27.71563,26.49108,27.2021,29.04175
3.5,0000 1 Jan 1995,27.67662,25.33767,26.9489,29.0701
4.5,0000 1 Jan 1995,27.41591,23.41746,26.29004,29.0309
5.5,0000 1 Jan 1995,26.88298,21.638,25.32783,28.80076
6.5,0000 1 Jan 1995,26.38235,20.56597,24.63194,28.52438
7.5,0000 1 Jan 1995,26.10318,20.04695,24.1986,28.35988
1.5,0000 1 Feb 1995,27.69237,27.16058,27.50652,28.81284
2.5,0000 1 Feb 1995,28.02641,25.92264,27.5439,29.0088
3.5,0000 1 Feb 1995,28.15115,23.9605,27.14264,29.31945
4.5,0000 1 Feb 1995,27.87126,22.25442,26.4251,29.41043
5.5,0000 1 Feb 1995,27.47341,21.3178,25.7713,29.3123
6.5,0000 1 Feb 1995,27.07129,20.83823,25.26641,29.11824
7.5,0000 1 Feb 1995,26.84449,20.60121,24.98938,29.06385
1.5,0000 1 Mar 1995,27.84874,25.30159,27.01475,29.05975
2.5,0000 1 Mar 1995,27.85208,23.25387,26.6041,29.18894
3.5,0000 1 Mar 1995,27.40111,21.37105,25.74825,29.05318
4.5,0000 1 Mar 1995,26.77036,20.31635,24.85416,28.78993
5.5,0000 1 Mar 1995,26.30095,19.8429,24.25498,28.55929
6.5,0000 1 Mar 1995,26.0936,19.60336,24.00702,28.53648
7.5,0000 1 Mar 1995,26.08485,19.79906,24.10264,28.56309
1.5,0000 1 Apr 1995,27.75221,22.70695,26.45204,29.12207
2.5,0000 1 Apr 1995,27.38026,20.97761,25.63127,29.07191
3.5,0000 1 Apr 1995,26.79308,19.97269,24.739,28.8111
4.5,0000 1 Apr 1995,26.22717,19.45942,24.02726,28.51062
5.5,0000 1 Apr 1995,26.00531,19.33883,23.79083,28.43622
6.5,0000 1 Apr 1995,25.99316,19.56821,23.934,28.47616
7.5,0000 1 Apr 1995,26.04718,20.0788,24.12944,28.54412
1.5,0000 1 May 1995,27.27682,21.21901,25.66423,28.85173
2.5,0000 1 May 1995,26.698,20.065,24.86243,28.57162
3.5,0000 1 May 1995,26.17378,19.48334,24.14005,28.31307
4.5,0000 1 May 1995,25.91743,19.35965,23.79902,28.26829
5.5,0000 1 May 1995,25.89658,19.46446,23.81952,28.33888
6.5,0000 1 May 1995,25.96691,19.95607,24.02403,28.41773
7.5,0000 1 May 1995,25.83251,20.9154,24.19177,28.26281
1.5,0000 1 Jun 1995,26.76337,20.47553,24.95273,28.63295
2.5,0000 1 Jun 1995,26.26975,19.68707,24.26913,28.41967
3.5,0000 1 Jun 1995,26.07613,19.54084,24.021,28.33292
4.5,0000 1 Jun 1995,26.14878,19.82574,24.18414,28.39014
5.5,0000 1 Jun 1995,26.24339,20.3946,24.41862,28.46828
6.5,0000 1 Jun 1995,26.01492,21.32685,24.46691,28.311
7.5,0000 1 Jun 1995,25.57001,22.46938,24.4684,27.86666
1.5,0000 1 Jul 1995,26.35265,20.37901,24.53395,28.33835
2.5,0000 1 Jul 1995,26.05737,19.75607,24.1569,28.20012
3.5,0000 1 Jul 1995,25.99469,19.80338,24.11084,28.18561
4.5,0000 1 Jul 1995,25.98621,20.20607,24.17649,28.21747
5.5,0000 1 Jul 1995,25.84504,21.08525,24.25927,28.14067
