L,MON,LDC_SST_NASA_GMAO_062012
6.5,0000 1 Feb 1992,25.96129
7.5,0000 1 Feb 1992,25.35734
1.5,0000 1 Mar 1992,28.8976
2.5,0000 1 Mar 1992,28.97618
3.5,0000 1 Mar 1992,28.71541
4.5,0000 1 Mar 1992,27.97298
5.5,0000 1 Mar 1992,27.05704
6.5,0000 1 Mar 1992,26.41952
7.5,0000 1 Mar 1992,26.11803
1.5,0000 1 Apr 1992,29.01764
2.5,0000 1 Apr 1992,28.90378
3.5,0000 1 Apr 1992,28.3944
4.5,0000 1 Apr 1992,27.67016
5.5,0000 1 Apr 1992,27.08019
6.5,0000 1 Apr 1992,26.79681
7.5,0000 1 Apr 1992,26.60786
1.5,0000 1 May 1992,28.52564
2.5,0000 1 May 1992,27.8644
3.5,0000 1 May 1992,27.06654
4.5,0000 1 May 1992,26.48675
5.5,0000 1 May 1992,26.26024
6.5,0000 1 May 1992,26.09934
7.5,0000 1 May 1992,25.81253
1.5,0000 1 Jun 1992,26.89194
2.5,0000 1 Jun 1992,26.00464
3.5,0000 1 Jun 1992,25.52373
4.5,0000 1 Jun 1992,25.35307
5.5,0000 1 Jun 1992,25.232
6.5,0000 1 Jun 1992,25.02301
7.5,0000 1 Jun 1992,24.89646
1.5,0000 1 Jul 1992,25.71126
2.5,0000 1 Jul 1992,25.20604
3.5,0000 1 Jul 1992,25.05597
4.5,0000 1 Jul 1992,24.93763
5.5,0000 1 Jul 1992,24.72565
6.5,0000 1 Jul 1992,24.65742
7.5,0000 1 Jul 1992,24.93509
1.5,0000 1 Aug 1992,25.14253
2.5,0000 1 Aug 1992,24.74308
3.5,0000 1 Aug 1992,24.58223
4.5,0000 1 Aug 1992,24.38211
5.5,0000 1 Aug 1992,24.29868
6.5,0000 1 Aug 1992,24.54627
7.5,0000 1 Aug 1992,25.14813
1.5,0000 1 Sep 1992,25.42303
2.5,0000 1 Sep 1992,25.12981
3.5,0000 1 Sep 1992,24.85975
4.5,0000 1 Sep 1992,24.70029
5.5,0000 1 Sep 1992,24.89478
6.5,0000 1 Sep 1992,25.45725
7.5,0000 1 Sep 1992,26.12742
1.5,0000 1 Oct 1992,25.74734
2.5,0000 1 Oct 1992,25.34248
3.5,0000 1 Oct 1992,25.06056
4.5,0000 1 Oct 1992,25.12887
5.5,0000 1 Oct 1992,25.64159
6.5,0000 1 Oct 1992,26.3139
7.5,0000 1 Oct 1992,26.79843
1.5,0000 1 Nov 1992,25.76259
2.5,0000 1 Nov 1992,25.49509
3.5,0000 1 Nov 1992,25.50779
4.5,0000 1 Nov 1992,25.91384
5.5,0000 1 Nov 1992,26.50298
6.5,0000 1 Nov 1992,26.93183
7.5,0000 1 Nov 1992,27.00716
1.5,0000 1 Dec 1992,26.22036
2.5,0000 1 Dec 1992,26.09804
3.5,0000 1 Dec 1992,26.33087
4.5,0000 1 Dec 1992,26.78072
5.5,0000 1 Dec 1992,27.15564
6.5,0000 1 Dec 1992,27.15912
7.5,0000 1 Dec 1992,26.80081
1.5,0000 1 Jan 1993,27.32422
2.5,0000 1 Jan 1993,27.56267
3.5,0000 1 Jan 1993,27.88932
4.5,0000 1 Jan 1993,28.03956
5.5,0000 1 Jan 1993,27.75411
6.5,0000 1 Jan 1993,27.00454
7.5,0000 1 Jan 1993,26.18084
1.5,0000 1 Feb 1993,27.24133
2.5,0000 1 Feb 1993,27.68499
3.5,0000 1 Feb 1993,27.95665
4.5,0000 1 Feb 1993,27.81119
5.5,0000 1 Feb 1993,27.18667
6.5,0000 1 Feb 1993,26.43468
7.5,0000 1 Feb 1993,25.94609
1.5,0000 1 Mar 1993,27.90386
2.5,0000 1 Mar 1993,28.19321
3.5,0000 1 Mar 1993,28.11872
4.5,0000 1 Mar 1993,27.64012
5.5,0000 1 Mar 1993,26.95216
6.5,0000 1 Mar 1993,26.44288
7.5,0000 1 Mar 1993,26.18152
1.5,0000 1 Apr 1993,28.37917
2.5,0000 1 Apr 1993,28.37329
3.5,0000 1 Apr 1993,28.00088
4.5,0000 1 Apr 1993,27.43123
5.5,0000 1 Apr 1993,26.95872
6.5,0000 1 Apr 1993,26.67896
7.5,0000 1 Apr 1993,26.45812
1.5,0000 1 May 1993,28.22754
2.5,0000 1 May 1993,27.72024
3.5,0000 1 May 1993,27.00508
4.5,0000 1 May 1993,26.45046
5.5,0000 1 May 1993,26.17176
6.5,0000 1 May 1993,25.9503
7.5,0000 1 May 1993,25.54591
1.5,0000 1 Jun 1993,27.12589
2.5,0000 1 Jun 1993,26.27294
3.5,0000 1 Jun 1993,25.72038
4.5,0000 1 Jun 1993,25.50734
5.5,0000 1 Jun 1993,25.33757
6.5,0000 1 Jun 1993,25.00106
7.5,0000 1 Jun 1993,24.70837
1.5,0000 1 Jul 1993,26.11678
2.5,0000 1 Jul 1993,25.48005
