M,L,MON,LDC_SST_COLA_CESM1
5,4.5,0000 1 Mar 1991,27.1139
6,4.5,0000 1 Mar 1991,26.7939
7,4.5,0000 1 Mar 1991,27.35288
8,4.5,0000 1 Mar 1991,26.87866
9,4.5,0000 1 Mar 1991,27.25162
10,4.5,0000 1 Mar 1991,27.28976
1,5.5,0000 1 Mar 1991,26.27946
2,5.5,0000 1 Mar 1991,26.5576
3,5.5,0000 1 Mar 1991,25.92065
4,5.5,0000 1 Mar 1991,26.92515
5,5.5,0000 1 Mar 1991,26.20516
6,5.5,0000 1 Mar 1991,25.83727
7,5.5,0000 1 Mar 1991,26.58899
8,5.5,0000 1 Mar 1991,25.95076
9,5.5,0000 1 Mar 1991,26.3424
10,5.5,0000 1 Mar 1991,26.55692
1,6.5,0000 1 Mar 1991,25.54582
2,6.5,0000 1 Mar 1991,26.03941
3,6.5,0000 1 Mar 1991,25.17831
4,6.5,0000 1 Mar 1991,26.41867
5,6.5,0000 1 Mar 1991,25.55612
6,6.5,0000 1 Mar 1991,25.09489
7,6.5,0000 1 Mar 1991,26.0304
8,6.5,0000 1 Mar 1991,25.30064
9,6.5,0000 1 Mar 1991,25.5124
10,6.5,0000 1 Mar 1991,25.97902
1,7.5,0000 1 Mar 1991,25.20565
2,7.5,0000 1 Mar 1991,26.10233
3,7.5,0000 1 Mar 1991,24.8537
4,7.5,0000 1 Mar 1991,26.32491
5,7.5,0000 1 Mar 1991,25.39867
6,7.5,0000 1 Mar 1991,24.82723
7,7.5,0000 1 Mar 1991,25.92725
8,7.5,0000 1 Mar 1991,25.15945
9,7.5,0000 1 Mar 1991,25.15127
10,7.5,0000 1 Mar 1991,25.74302
1,8.5,0000 1 Mar 1991,25.08094
2,8.5,0000 1 Mar 1991,26.35254
3,8.5,0000 1 Mar 1991,24.86284
4,8.5,0000 1 Mar 1991,26.47329
5,8.5,0000 1 Mar 1991,25.55105
6,8.5,0000 1 Mar 1991,24.84643
7,8.5,0000 1 Mar 1991,26.16681
8,8.5,0000 1 Mar 1991,25.19868
9,8.5,0000 1 Mar 1991,25.18326
10,8.5,0000 1 Mar 1991,25.78613
1,9.5,0000 1 Mar 1991,25.11514
2,9.5,0000 1 Mar 1991,26.60816
3,9.5,0000 1 Mar 1991,24.97157
4,9.5,0000 1 Mar 1991,26.72967
5,9.5,0000 1 Mar 1991,25.76054
6,9.5,0000 1 Mar 1991,25.01762
7,9.5,0000 1 Mar 1991,26.4534
8,9.5,0000 1 Mar 1991,25.32704
9,9.5,0000 1 Mar 1991,25.38694
10,9.5,0000 1 Mar 1991,25.97922
1,10.5,0000 1 Mar 1991,25.27955
2,10.5,0000 1 Mar 1991,26.83355
3,10.5,0000 1 Mar 1991,25.04964
4,10.5,0000 1 Mar 1991,26.87981
5,10.5,0000 1 Mar 1991,25.99889
6,10.5,0000 1 Mar 1991,25.27904
7,10.5,0000 1 Mar 1991,26.69038
8,10.5,0000 1 Mar 1991,25.50997
9,10.5,0000 1 Mar 1991,25.53229
10,10.5,0000 1 Mar 1991,26.28952
1,1.5,0000 1 Apr 1991,27.76468
2,1.5,0000 1 Apr 1991,27.6217
3,1.5,0000 1 Apr 1991,27.73792
4,1.5,0000 1 Apr 1991,27.93912
5,1.5,0000 1 Apr 1991,27.72125
6,1.5,0000 1 Apr 1991,27.84244
7,1.5,0000 1 Apr 1991,27.78361
8,1.5,0000 1 Apr 1991,27.91616
9,1.5,0000 1 Apr 1991,27.80883
10,1.5,0000 1 Apr 1991,27.75737
1,2.5,0000 1 Apr 1991,27.67334
2,2.5,0000 1 Apr 1991,27.21173
3,2.5,0000 1 Apr 1991,27.55726
4,2.5,0000 1 Apr 1991,27.79637
5,2.5,0000 1 Apr 1991,27.35912
6,2.5,0000 1 Apr 1991,27.76711
7,2.5,0000 1 Apr 1991,27.59464
8,2.5,0000 1 Apr 1991,27.87445
9,2.5,0000 1 Apr 1991,27.47526
10,2.5,0000 1 Apr 1991,27.45757
1,3.5,0000 1 Apr 1991,27.21244
2,3.5,0000 1 Apr 1991,26.41418
3,3.5,0000 1 Apr 1991,27.07516
4,3.5,0000 1 Apr 1991,27.14545
5,3.5,0000 1 Apr 1991,26.6215
6,3.5,0000 1 Apr 1991,27.13841
7,3.5,0000 1 Apr 1991,27.11407
8,3.5,0000 1 Apr 1991,27.31874
9,3.5,0000 1 Apr 1991,26.69798
10,3.5,0000 1 Apr 1991,26.63471
1,4.5,0000 1 Apr 1991,26.53172
2,4.5,0000 1 Apr 1991,25.53856
3,4.5,0000 1 Apr 1991,26.50049
4,4.5,0000 1 Apr 1991,26.35073
5,4.5,0000 1 Apr 1991,25.90615
6,4.5,0000 1 Apr 1991,26.24959
7,4.5,0000 1 Apr 1991,26.49373
8,4.5,0000 1 Apr 1991,26.52429
9,4.5,0000 1 Apr 1991,25.79522
10,4.5,0000 1 Apr 1991,25.69386
1,5.5,0000 1 Apr 1991,25.98207
2,5.5,0000 1 Apr 1991,24.88233
3,5.5,0000 1 Apr 1991,25.9777
4,5.5,0000 1 Apr 1991,25.71597
5,5.5,0000 1 Apr 1991,25.54335
6,5.5,0000 1 Apr 1991,25.47435
7,5.5,0000 1 Apr 1991,26.01785
8,5.5,0000 1 Apr 1991,25.90559
9,5.5,0000 1 Apr 1991,25.2249
10,5.5,0000 1 Apr 1991,25.00491
1,6.5,0000 1 Apr 1991,25.86656
2,6.5,0000 1 Apr 1991,24.60309
3,6.5,0000 1 Apr 1991,25.65682
4,6.5,0000 1 Apr 1991,25.5488
5,6.5,0000 1 Apr 1991,25.46206
6,6.5,0000 1 Apr 1991,25.11947
7,6.5,0000 1 Apr 1991,25.80438
8,6.5,0000 1 Apr 1991,25.71884
9,6.5,0000 1 Apr 1991,25.07709
10,6.5,0000 1 Apr 1991,24.7439
1,7.5,0000 1 Apr 1991,26.09926
2,7.5,0000 1 Apr 1991,24.65756
3,7.5,0000 1 Apr 1991,25.60033
4,7.5,0000 1 Apr 1991,25.7287
5,7.5,0000 1 Apr 1991,25.60234
6,7.5,0000 1 Apr 1991,25.06171
7,7.5,0000 1 Apr 1991,25.9233
8,7.5,0000 1 Apr 1991,25.85249
9,7.5,0000 1 Apr 1991,25.20637
10,7.5,0000 1 Apr 1991,24.72516
1,8.5,0000 1 Apr 1991,26.44857
2,8.5,0000 1 Apr 1991,24.85455
3,8.5,0000 1 Apr 1991,25.74498
4,8.5,0000 1 Apr 1991,26.10201
5,8.5,0000 1 Apr 1991,25.80129
6,8.5,0000 1 Apr 1991,25.10726
7,8.5,0000 1 Apr 1991,26.1998
8,8.5,0000 1 Apr 1991,25.96731
9,8.5,0000 1 Apr 1991,25.38965
10,8.5,0000 1 Apr 1991,24.77598
1,9.5,0000 1 Apr 1991,26.78129
2,9.5,0000 1 Apr 1991,25.08836
3,9.5,0000 1 Apr 1991,25.96882
4,9.5,0000 1 Apr 1991,26.42104
5,9.5,0000 1 Apr 1991,26.06989
6,9.5,0000 1 Apr 1991,25.23279
7,9.5,0000 1 Apr 1991,26.4736
8,9.5,0000 1 Apr 1991,26.06358
9,9.5,0000 1 Apr 1991,25.67194
10,9.5,0000 1 Apr 1991,24.93845
1,10.5,0000 1 Apr 1991,27.12416
2,10.5,0000 1 Apr 1991,25.47971
3,10.5,0000 1 Apr 1991,26.27857
4,10.5,0000 1 Apr 1991,26.7115
5,10.5,0000 1 Apr 1991,26.4803
6,10.5,0000 1 Apr 1991,25.51469
7,10.5,0000 1 Apr 1991,26.84837
8,10.5,0000 1 Apr 1991,26.28311
9,10.5,0000 1 Apr 1991,26.13255
10,10.5,0000 1 Apr 1991,25.28743
1,1.5,0000 1 May 1991,27.56302
2,1.5,0000 1 May 1991,27.49506
3,1.5,0000 1 May 1991,27.76515
4,1.5,0000 1 May 1991,27.50795
5,1.5,0000 1 May 1991,27.52746
6,1.5,0000 1 May 1991,27.59221
7,1.5,0000 1 May 1991,27.55519
8,1.5,0000 1 May 1991,27.47927
9,1.5,0000 1 May 1991,27.56062
10,1.5,0000 1 May 1991,27.46195
1,2.5,0000 1 May 1991,26.8206
2,2.5,0000 1 May 1991,26.71292
3,2.5,0000 1 May 1991,27.1094
4,2.5,0000 1 May 1991,26.6336
5,2.5,0000 1 May 1991,26.84545
6,2.5,0000 1 May 1991,26.87346
7,2.5,0000 1 May 1991,26.85284
8,2.5,0000 1 May 1991,26.67908
9,2.5,0000 1 May 1991,26.79259
10,2.5,0000 1 May 1991,26.51781
1,3.5,0000 1 May 1991,25.86309
2,3.5,0000 1 May 1991,25.81164
3,3.5,0000 1 May 1991,26.32556
4,3.5,0000 1 May 1991,25.70869
5,3.5,0000 1 May 1991,25.94905
6,3.5,0000 1 May 1991,26.03775
7,3.5,0000 1 May 1991,26.03923
8,3.5,0000 1 May 1991,25.78809
9,3.5,0000 1 May 1991,25.82618
10,3.5,0000 1 May 1991,25.45158
1,4.5,0000 1 May 1991,25.02239
2,4.5,0000 1 May 1991,25.16172
3,4.5,0000 1 May 1991,25.7862
4,4.5,0000 1 May 1991,25.21218
5,4.5,0000 1 May 1991,25.30992
6,4.5,0000 1 May 1991,25.49184
7,4.5,0000 1 May 1991,25.50639
8,4.5,0000 1 May 1991,25.09755
9,4.5,0000 1 May 1991,25.11
10,4.5,0000 1 May 1991,24.67174
1,5.5,0000 1 May 1991,24.67799
2,5.5,0000 1 May 1991,25.03015
3,5.5,0000 1 May 1991,25.73491
4,5.5,0000 1 May 1991,25.17112
5,5.5,0000 1 May 1991,25.22684
6,5.5,0000 1 May 1991,25.30236
7,5.5,0000 1 May 1991,25.21389
8,5.5,0000 1 May 1991,24.69654
9,5.5,0000 1 May 1991,24.87914
10,5.5,0000 1 May 1991,24.42342
1,6.5,0000 1 May 1991,24.72566
2,6.5,0000 1 May 1991,25.19195
3,6.5,0000 1 May 1991,25.91692
4,6.5,0000 1 May 1991,25.27879
5,6.5,0000 1 May 1991,25.54399
6,6.5,0000 1 May 1991,25.31794
7,6.5,0000 1 May 1991,25.19845
8,6.5,0000 1 May 1991,24.53916
9,6.5,0000 1 May 1991,24.96355
10,6.5,0000 1 May 1991,24.47134
1,7.5,0000 1 May 1991,24.97323
2,7.5,0000 1 May 1991,25.41484
3,7.5,0000 1 May 1991,26.14706
4,7.5,0000 1 May 1991,25.42701
5,7.5,0000 1 May 1991,25.88249
6,7.5,0000 1 May 1991,25.38698
7,7.5,0000 1 May 1991,25.38525
8,7.5,0000 1 May 1991,24.56557
9,7.5,0000 1 May 1991,25.15924
10,7.5,0000 1 May 1991,24.64296
1,8.5,0000 1 May 1991,25.18797
