M,L,MON,LDC_SST_COLA_CESM1
10,2.5,0000 1 Jan 2008,25.71725
1,3.5,0000 1 Jan 2008,26.05439
2,3.5,0000 1 Jan 2008,26.4679
3,3.5,0000 1 Jan 2008,26.06998
4,3.5,0000 1 Jan 2008,26.02738
5,3.5,0000 1 Jan 2008,26.18674
6,3.5,0000 1 Jan 2008,26.29575
7,3.5,0000 1 Jan 2008,26.49479
8,3.5,0000 1 Jan 2008,26.21795
9,3.5,0000 1 Jan 2008,25.94176
10,3.5,0000 1 Jan 2008,26.09574
1,4.5,0000 1 Jan 2008,26.54051
2,4.5,0000 1 Jan 2008,26.85533
3,4.5,0000 1 Jan 2008,26.35282
4,4.5,0000 1 Jan 2008,26.27807
5,4.5,0000 1 Jan 2008,26.43893
6,4.5,0000 1 Jan 2008,26.56992
7,4.5,0000 1 Jan 2008,27.25443
8,4.5,0000 1 Jan 2008,26.63813
9,4.5,0000 1 Jan 2008,26.26131
10,4.5,0000 1 Jan 2008,26.54018
1,5.5,0000 1 Jan 2008,26.48832
2,5.5,0000 1 Jan 2008,26.77267
3,5.5,0000 1 Jan 2008,26.14689
4,5.5,0000 1 Jan 2008,26.13835
5,5.5,0000 1 Jan 2008,26.05159
6,5.5,0000 1 Jan 2008,26.35371
7,5.5,0000 1 Jan 2008,27.70237
8,5.5,0000 1 Jan 2008,26.62719
9,5.5,0000 1 Jan 2008,26.17906
10,5.5,0000 1 Jan 2008,26.59384
1,6.5,0000 1 Jan 2008,25.75601
2,6.5,0000 1 Jan 2008,25.9914
3,6.5,0000 1 Jan 2008,25.54871
4,6.5,0000 1 Jan 2008,25.46014
5,6.5,0000 1 Jan 2008,25.1065
6,6.5,0000 1 Jan 2008,25.54084
7,6.5,0000 1 Jan 2008,27.56498
8,6.5,0000 1 Jan 2008,25.99813
9,6.5,0000 1 Jan 2008,25.65652
10,6.5,0000 1 Jan 2008,25.99333
1,7.5,0000 1 Jan 2008,24.76289
2,7.5,0000 1 Jan 2008,24.90187
3,7.5,0000 1 Jan 2008,24.81649
4,7.5,0000 1 Jan 2008,24.47668
5,7.5,0000 1 Jan 2008,23.95242
6,7.5,0000 1 Jan 2008,24.45378
7,7.5,0000 1 Jan 2008,27.07034
8,7.5,0000 1 Jan 2008,25.20759
9,7.5,0000 1 Jan 2008,24.86372
10,7.5,0000 1 Jan 2008,24.96894
1,8.5,0000 1 Jan 2008,24.06475
2,8.5,0000 1 Jan 2008,23.96608
3,8.5,0000 1 Jan 2008,24.29172
4,8.5,0000 1 Jan 2008,23.62819
5,8.5,0000 1 Jan 2008,23.09103
6,8.5,0000 1 Jan 2008,23.6334
7,8.5,0000 1 Jan 2008,26.72127
8,8.5,0000 1 Jan 2008,24.6779
9,8.5,0000 1 Jan 2008,24.17977
10,8.5,0000 1 Jan 2008,24.1553
1,9.5,0000 1 Jan 2008,23.92761
2,9.5,0000 1 Jan 2008,23.57567
3,9.5,0000 1 Jan 2008,24.01414
4,9.5,0000 1 Jan 2008,23.2245
5,9.5,0000 1 Jan 2008,22.84261
6,9.5,0000 1 Jan 2008,23.34025
7,9.5,0000 1 Jan 2008,26.69436
8,9.5,0000 1 Jan 2008,24.61314
9,9.5,0000 1 Jan 2008,23.79868
10,9.5,0000 1 Jan 2008,23.94385
1,10.5,0000 1 Jan 2008,24.06438
2,10.5,0000 1 Jan 2008,23.48458
3,10.5,0000 1 Jan 2008,23.95514
4,10.5,0000 1 Jan 2008,23.19098
5,10.5,0000 1 Jan 2008,23.04693
6,10.5,0000 1 Jan 2008,23.39239
7,10.5,0000 1 Jan 2008,26.83005
8,10.5,0000 1 Jan 2008,24.76126
9,10.5,0000 1 Jan 2008,23.79693
10,10.5,0000 1 Jan 2008,24.18595
1,1.5,0000 1 Feb 2008,25.90725
2,1.5,0000 1 Feb 2008,25.84033
3,1.5,0000 1 Feb 2008,25.97518
4,1.5,0000 1 Feb 2008,25.75016
5,1.5,0000 1 Feb 2008,25.95662
6,1.5,0000 1 Feb 2008,25.69222
7,1.5,0000 1 Feb 2008,25.76044
8,1.5,0000 1 Feb 2008,25.75963
9,1.5,0000 1 Feb 2008,25.79161
10,1.5,0000 1 Feb 2008,25.88743
1,2.5,0000 1 Feb 2008,26.5367
2,2.5,0000 1 Feb 2008,26.43527
3,2.5,0000 1 Feb 2008,26.57432
4,2.5,0000 1 Feb 2008,26.31583
5,2.5,0000 1 Feb 2008,26.56354
6,2.5,0000 1 Feb 2008,26.28813
7,2.5,0000 1 Feb 2008,26.33415
8,2.5,0000 1 Feb 2008,26.26608
9,2.5,0000 1 Feb 2008,26.34338
10,2.5,0000 1 Feb 2008,26.41891
1,3.5,0000 1 Feb 2008,26.97744
2,3.5,0000 1 Feb 2008,26.84967
3,3.5,0000 1 Feb 2008,26.89514
4,3.5,0000 1 Feb 2008,26.69268
5,3.5,0000 1 Feb 2008,26.87544
6,3.5,0000 1 Feb 2008,26.63381
7,3.5,0000 1 Feb 2008,26.71868
8,3.5,0000 1 Feb 2008,26.53558
9,3.5,0000 1 Feb 2008,26.68708
10,3.5,0000 1 Feb 2008,26.69268
1,4.5,0000 1 Feb 2008,26.86963
2,4.5,0000 1 Feb 2008,26.79814
3,4.5,0000 1 Feb 2008,26.68493
4,4.5,0000 1 Feb 2008,26.59541
5,4.5,0000 1 Feb 2008,26.8012
6,4.5,0000 1 Feb 2008,26.53759
7,4.5,0000 1 Feb 2008,26.67322
8,4.5,0000 1 Feb 2008,26.42219
9,4.5,0000 1 Feb 2008,26.57358
10,4.5,0000 1 Feb 2008,26.47906
1,5.5,0000 1 Feb 2008,26.21232
2,5.5,0000 1 Feb 2008,26.07906
3,5.5,0000 1 Feb 2008,25.8568
4,5.5,0000 1 Feb 2008,25.87539
5,5.5,0000 1 Feb 2008,26.22999
6,5.5,0000 1 Feb 2008,25.92372
7,5.5,0000 1 Feb 2008,26.07129
8,5.5,0000 1 Feb 2008,25.82112
9,5.5,0000 1 Feb 2008,25.91422
10,5.5,0000 1 Feb 2008,25.80305
1,6.5,0000 1 Feb 2008,25.18362
2,6.5,0000 1 Feb 2008,25.14448
3,6.5,0000 1 Feb 2008,24.91767
4,6.5,0000 1 Feb 2008,24.97022
5,6.5,0000 1 Feb 2008,25.3673
6,6.5,0000 1 Feb 2008,25.21732
7,6.5,0000 1 Feb 2008,25.16694
8,6.5,0000 1 Feb 2008,24.97494
9,6.5,0000 1 Feb 2008,24.83831
10,6.5,0000 1 Feb 2008,25.00603
1,7.5,0000 1 Feb 2008,24.2011
2,7.5,0000 1 Feb 2008,24.56713
3,7.5,0000 1 Feb 2008,24.22706
4,7.5,0000 1 Feb 2008,24.3247
5,7.5,0000 1 Feb 2008,24.50657
6,7.5,0000 1 Feb 2008,24.60759
7,7.5,0000 1 Feb 2008,24.49385
8,7.5,0000 1 Feb 2008,24.09379
9,7.5,0000 1 Feb 2008,23.79819
10,7.5,0000 1 Feb 2008,24.36553
1,8.5,0000 1 Feb 2008,23.63257
2,8.5,0000 1 Feb 2008,24.5718
3,8.5,0000 1 Feb 2008,24.0316
4,8.5,0000 1 Feb 2008,24.21365
5,8.5,0000 1 Feb 2008,23.90185
6,8.5,0000 1 Feb 2008,24.38952
7,8.5,0000 1 Feb 2008,24.27717
8,8.5,0000 1 Feb 2008,23.5755
9,8.5,0000 1 Feb 2008,23.23405
10,8.5,0000 1 Feb 2008,24.11958
1,9.5,0000 1 Feb 2008,23.53975
2,9.5,0000 1 Feb 2008,24.80167
3,9.5,0000 1 Feb 2008,24.03545
4,9.5,0000 1 Feb 2008,24.43216
5,9.5,0000 1 Feb 2008,23.59196
6,9.5,0000 1 Feb 2008,24.433
7,9.5,0000 1 Feb 2008,24.40308
8,9.5,0000 1 Feb 2008,23.41902
9,9.5,0000 1 Feb 2008,23.26358
10,9.5,0000 1 Feb 2008,24.10292
1,10.5,0000 1 Feb 2008,23.75072
2,10.5,0000 1 Feb 2008,25.04925
3,10.5,0000 1 Feb 2008,24.17415
4,10.5,0000 1 Feb 2008,24.79927
5,10.5,0000 1 Feb 2008,23.5984
6,10.5,0000 1 Feb 2008,24.72445
7,10.5,0000 1 Feb 2008,24.6073
8,10.5,0000 1 Feb 2008,23.68604
9,10.5,0000 1 Feb 2008,23.67149
10,10.5,0000 1 Feb 2008,24.33186
1,1.5,0000 1 Mar 2008,26.63946
2,1.5,0000 1 Mar 2008,26.39368
3,1.5,0000 1 Mar 2008,26.59752
4,1.5,0000 1 Mar 2008,26.68075
5,1.5,0000 1 Mar 2008,26.67255
6,1.5,0000 1 Mar 2008,26.53547
7,1.5,0000 1 Mar 2008,26.64392
8,1.5,0000 1 Mar 2008,26.66975
9,1.5,0000 1 Mar 2008,26.49096
10,1.5,0000 1 Mar 2008,26.61934
1,2.5,0000 1 Mar 2008,27.05184
2,2.5,0000 1 Mar 2008,26.66423
3,2.5,0000 1 Mar 2008,26.95277
4,2.5,0000 1 Mar 2008,27.08022
5,2.5,0000 1 Mar 2008,27.07111
6,2.5,0000 1 Mar 2008,26.83701
7,2.5,0000 1 Mar 2008,27.04022
8,2.5,0000 1 Mar 2008,27.04419
9,2.5,0000 1 Mar 2008,26.78502
10,2.5,0000 1 Mar 2008,26.96101
1,3.5,0000 1 Mar 2008,26.9502
2,3.5,0000 1 Mar 2008,26.52912
3,3.5,0000 1 Mar 2008,26.83615
4,3.5,0000 1 Mar 2008,26.962
5,3.5,0000 1 Mar 2008,26.98361
6,3.5,0000 1 Mar 2008,26.71812
7,3.5,0000 1 Mar 2008,26.9657
8,3.5,0000 1 Mar 2008,27.0034
9,3.5,0000 1 Mar 2008,26.65702
10,3.5,0000 1 Mar 2008,26.78542
1,4.5,0000 1 Mar 2008,26.23473
2,4.5,0000 1 Mar 2008,25.86552
3,4.5,0000 1 Mar 2008,26.08329
4,4.5,0000 1 Mar 2008,26.35694
5,4.5,0000 1 Mar 2008,26.37424
6,4.5,0000 1 Mar 2008,26.00712
7,4.5,0000 1 Mar 2008,26.34045
8,4.5,0000 1 Mar 2008,26.50014
9,4.5,0000 1 Mar 2008,26.03374
10,4.5,0000 1 Mar 2008,26.06099
1,5.5,0000 1 Mar 2008,25.33171
2,5.5,0000 1 Mar 2008,24.92646
3,5.5,0000 1 Mar 2008,24.98542
4,5.5,0000 1 Mar 2008,25.61928
5,5.5,0000 1 Mar 2008,25.47215
6,5.5,0000 1 Mar 2008,24.99939
7,5.5,0000 1 Mar 2008,25.51613
8,5.5,0000 1 Mar 2008,25.77001
9,5.5,0000 1 Mar 2008,25.0945
10,5.5,0000 1 Mar 2008,25.07618
1,6.5,0000 1 Mar 2008,24.64205
2,6.5,0000 1 Mar 2008,24.11488
3,6.5,0000 1 Mar 2008,24.04313
4,6.5,0000 1 Mar 2008,25.08558
5,6.5,0000 1 Mar 2008,24.73955
6,6.5,0000 1 Mar 2008,24.10417
7,6.5,0000 1 Mar 2008,24.82608
8,6.5,0000 1 Mar 2008,25.11959
9,6.5,0000 1 Mar 2008,24.17719
10,6.5,0000 1 Mar 2008,24.24487
1,7.5,0000 1 Mar 2008,24.39249
2,7.5,0000 1 Mar 2008,23.71927
3,7.5,0000 1 Mar 2008,23.56556
4,7.5,0000 1 Mar 2008,24.98027
5,7.5,0000 1 Mar 2008,24.43718
6,7.5,0000 1 Mar 2008,23.69902
7,7.5,0000 1 Mar 2008,24.55864
8,7.5,0000 1 Mar 2008,24.90591
9,7.5,0000 1 Mar 2008,23.80324
10,7.5,0000 1 Mar 2008,23.81644
1,8.5,0000 1 Mar 2008,24.3389
2,8.5,0000 1 Mar 2008,23.70189
3,8.5,0000 1 Mar 2008,23.47811
4,8.5,0000 1 Mar 2008,25.12792
5,8.5,0000 1 Mar 2008,24.43518
6,8.5,0000 1 Mar 2008,23.68806
7,8.5,0000 1 Mar 2008,24.63318
8,8.5,0000 1 Mar 2008,25.00977
9,8.5,0000 1 Mar 2008,23.85208
10,8.5,0000 1 Mar 2008,23.6835
1,9.5,0000 1 Mar 2008,24.43383
2,9.5,0000 1 Mar 2008,23.93877
3,9.5,0000 1 Mar 2008,23.59623
4,9.5,0000 1 Mar 2008,25.44003
5,9.5,0000 1 Mar 2008,24.57381
6,9.5,0000 1 Mar 2008,23.88488
7,9.5,0000 1 Mar 2008,24.98591
8,9.5,0000 1 Mar 2008,25.23967
9,9.5,0000 1 Mar 2008,24.24014
10,9.5,0000 1 Mar 2008,23.82289
1,10.5,0000 1 Mar 2008,24.69168
2,10.5,0000 1 Mar 2008,24.35017
3,10.5,0000 1 Mar 2008,23.94664
4,10.5,0000 1 Mar 2008,25.84074
5,10.5,0000 1 Mar 2008,24.8461
6,10.5,0000 1 Mar 2008,24.26006
7,10.5,0000 1 Mar 2008,25.55392
8,10.5,0000 1 Mar 2008,25.51458
9,10.5,0000 1 Mar 2008,24.65453
10,10.5,0000 1 Mar 2008,24.1608
1,1.5,0000 1 Apr 2008,27.10686
2,1.5,0000 1 Apr 2008,27.00868
3,1.5,0000 1 Apr 2008,27.10615
4,1.5,0000 1 Apr 2008,27.15288
5,1.5,0000 1 Apr 2008,27.10064
6,1.5,0000 1 Apr 2008,27.02833
7,1.5,0000 1 Apr 2008,27.02492
8,1.5,0000 1 Apr 2008,27.08834
9,1.5,0000 1 Apr 2008,27.03703
10,1.5,0000 1 Apr 2008,27.03706
1,2.5,0000 1 Apr 2008,27.20997
2,2.5,0000 1 Apr 2008,26.78325
3,2.5,0000 1 Apr 2008,27.14621
4,2.5,0000 1 Apr 2008,27.22647
5,2.5,0000 1 Apr 2008,27.06796
6,2.5,0000 1 Apr 2008,26.96226
7,2.5,0000 1 Apr 2008,26.81082
8,2.5,0000 1 Apr 2008,27.13121
9,2.5,0000 1 Apr 2008,26.89241
10,2.5,0000 1 Apr 2008,26.89998
1,3.5,0000 1 Apr 2008,26.84941
2,3.5,0000 1 Apr 2008,26.05737
3,3.5,0000 1 Apr 2008,26.71311
4,3.5,0000 1 Apr 2008,26.75754
5,3.5,0000 1 Apr 2008,26.54912
6,3.5,0000 1 Apr 2008,26.45672
7,3.5,0000 1 Apr 2008,26.08932
8,3.5,0000 1 Apr 2008,26.70635
9,3.5,0000 1 Apr 2008,26.22915
10,3.5,0000 1 Apr 2008,26.3037
1,4.5,0000 1 Apr 2008,26.24135
2,4.5,0000 1 Apr 2008,25.1126
3,4.5,0000 1 Apr 2008,26.01741
4,4.5,0000 1 Apr 2008,25.94567
5,4.5,0000 1 Apr 2008,25.88833
6,4.5,0000 1 Apr 2008,25.7576
7,4.5,0000 1 Apr 2008,25.24609
8,4.5,0000 1 Apr 2008,26.00431
9,4.5,0000 1 Apr 2008,25.39895
10,4.5,0000 1 Apr 2008,25.57196
1,5.5,0000 1 Apr 2008,25.63493
2,5.5,0000 1 Apr 2008,24.4751
3,5.5,0000 1 Apr 2008,25.43616
4,5.5,0000 1 Apr 2008,25.17576
5,5.5,0000 1 Apr 2008,25.27477
6,5.5,0000 1 Apr 2008,25.16789
7,5.5,0000 1 Apr 2008,24.66384
8,5.5,0000 1 Apr 2008,25.41829
9,5.5,0000 1 Apr 2008,24.7863
10,5.5,0000 1 Apr 2008,24.99455
1,6.5,0000 1 Apr 2008,25.3515
2,6.5,0000 1 Apr 2008,24.21207
3,6.5,0000 1 Apr 2008,25.17954
4,6.5,0000 1 Apr 2008,24.81321
5,6.5,0000 1 Apr 2008,25.03485
6,6.5,0000 1 Apr 2008,24.92648
7,6.5,0000 1 Apr 2008,24.50113
8,6.5,0000 1 Apr 2008,25.21363
9,6.5,0000 1 Apr 2008,24.63814
10,6.5,0000 1 Apr 2008,24.80398
1,7.5,0000 1 Apr 2008,25.36481
2,7.5,0000 1 Apr 2008,24.19994
3,7.5,0000 1 Apr 2008,25.27091
4,7.5,0000 1 Apr 2008,24.85576
5,7.5,0000 1 Apr 2008,25.07467
6,7.5,0000 1 Apr 2008,24.9684
7,7.5,0000 1 Apr 2008,24.56952
8,7.5,0000 1 Apr 2008,25.34625
9,7.5,0000 1 Apr 2008,24.79481
10,7.5,0000 1 Apr 2008,24.92181
1,8.5,0000 1 Apr 2008,25.52915
2,8.5,0000 1 Apr 2008,24.30993
3,8.5,0000 1 Apr 2008,25.49323
4,8.5,0000 1 Apr 2008,25.00205
5,8.5,0000 1 Apr 2008,25.35636
6,8.5,0000 1 Apr 2008,25.17156
7,8.5,0000 1 Apr 2008,24.69535
8,8.5,0000 1 Apr 2008,25.61307
9,8.5,0000 1 Apr 2008,25.02758
10,8.5,0000 1 Apr 2008,25.21175
1,9.5,0000 1 Apr 2008,25.8242
2,9.5,0000 1 Apr 2008,24.57424
3,9.5,0000 1 Apr 2008,25.90382
4,9.5,0000 1 Apr 2008,25.24578
5,9.5,0000 1 Apr 2008,25.7243
6,9.5,0000 1 Apr 2008,25.4645
7,9.5,0000 1 Apr 2008,24.88478
8,9.5,0000 1 Apr 2008,25.987
9,9.5,0000 1 Apr 2008,25.23072
10,9.5,0000 1 Apr 2008,25.53696
1,10.5,0000 1 Apr 2008,26.25268
2,10.5,0000 1 Apr 2008,25.09468
3,10.5,0000 1 Apr 2008,26.43533
4,10.5,0000 1 Apr 2008,25.57287
5,10.5,0000 1 Apr 2008,26.15362
6,10.5,0000 1 Apr 2008,25.86752
7,10.5,0000 1 Apr 2008,25.24859
8,10.5,0000 1 Apr 2008,26.43507
9,10.5,0000 1 Apr 2008,25.49845
10,10.5,0000 1 Apr 2008,25.83719
1,1.5,0000 1 May 2008,27.20742
2,1.5,0000 1 May 2008,27.16636
3,1.5,0000 1 May 2008,27.03031
4,1.5,0000 1 May 2008,27.25404
5,1.5,0000 1 May 2008,27.20014
6,1.5,0000 1 May 2008,27.15975
7,1.5,0000 1 May 2008,27.13603
8,1.5,0000 1 May 2008,27.3037
9,1.5,0000 1 May 2008,27.2357
10,1.5,0000 1 May 2008,27.13052
1,2.5,0000 1 May 2008,26.89118
2,2.5,0000 1 May 2008,26.83144
3,2.5,0000 1 May 2008,26.49885
4,2.5,0000 1 May 2008,26.99639
5,2.5,0000 1 May 2008,26.7144
6,2.5,0000 1 May 2008,26.6618
7,2.5,0000 1 May 2008,26.6922
8,2.5,0000 1 May 2008,27.0002
9,2.5,0000 1 May 2008,26.93486
10,2.5,0000 1 May 2008,26.69137
1,3.5,0000 1 May 2008,26.30727
2,3.5,0000 1 May 2008,26.26605
3,3.5,0000 1 May 2008,25.73614
4,3.5,0000 1 May 2008,26.39263
5,3.5,0000 1 May 2008,25.94926
6,3.5,0000 1 May 2008,25.85719
7,3.5,0000 1 May 2008,25.94118
8,3.5,0000 1 May 2008,26.44209
9,3.5,0000 1 May 2008,26.2738
10,3.5,0000 1 May 2008,25.90284
1,4.5,0000 1 May 2008,25.84917
2,4.5,0000 1 May 2008,25.83961
3,4.5,0000 1 May 2008,25.14414
4,4.5,0000 1 May 2008,25.72901
5,4.5,0000 1 May 2008,25.24129
6,4.5,0000 1 May 2008,25.1661
7,4.5,0000 1 May 2008,25.23219
8,4.5,0000 1 May 2008,26.02986
9,4.5,0000 1 May 2008,25.6115
10,4.5,0000 1 May 2008,25.22892
1,5.5,0000 1 May 2008,25.61798
2,5.5,0000 1 May 2008,25.6744
3,5.5,0000 1 May 2008,24.92837
4,5.5,0000 1 May 2008,25.27055
5,5.5,0000 1 May 2008,25.00705
6,5.5,0000 1 May 2008,24.91857
7,5.5,0000 1 May 2008,24.96992
8,5.5,0000 1 May 2008,26.09659
9,5.5,0000 1 May 2008,25.2573
10,5.5,0000 1 May 2008,24.89085
1,6.5,0000 1 May 2008,25.59821
2,6.5,0000 1 May 2008,25.73806
3,6.5,0000 1 May 2008,25.04252
4,6.5,0000 1 May 2008,25.18353
5,6.5,0000 1 May 2008,25.02965
6,6.5,0000 1 May 2008,24.99799
7,6.5,0000 1 May 2008,25.02769
8,6.5,0000 1 May 2008,26.40304
9,6.5,0000 1 May 2008,25.23028
10,6.5,0000 1 May 2008,24.88675
1,7.5,0000 1 May 2008,25.64766
2,7.5,0000 1 May 2008,25.84714
3,7.5,0000 1 May 2008,25.21074
4,7.5,0000 1 May 2008,25.29768
5,7.5,0000 1 May 2008,25.1681
6,7.5,0000 1 May 2008,25.18814
7,7.5,0000 1 May 2008,25.11916
8,7.5,0000 1 May 2008,26.69209
9,7.5,0000 1 May 2008,25.35447
10,7.5,0000 1 May 2008,24.93617
1,8.5,0000 1 May 2008,25.81685
2,8.5,0000 1 May 2008,26.01869
3,8.5,0000 1 May 2008,25.40773
4,8.5,0000 1 May 2008,25.52972
5,8.5,0000 1 May 2008,25.35544
6,8.5,0000 1 May 2008,25.45269
7,8.5,0000 1 May 2008,25.26095
8,8.5,0000 1 May 2008,26.82452
9,8.5,0000 1 May 2008,25.57693
10,8.5,0000 1 May 2008,25.06724
1,9.5,0000 1 May 2008,26.21852
2,9.5,0000 1 May 2008,26.43986
3,9.5,0000 1 May 2008,25.75296
4,9.5,0000 1 May 2008,25.92351
5,9.5,0000 1 May 2008,25.74308
6,9.5,0000 1 May 2008,25.84109
7,9.5,0000 1 May 2008,25.6452
8,9.5,0000 1 May 2008,27.0569
9,9.5,0000 1 May 2008,25.94042
10,9.5,0000 1 May 2008,25.39851
1,10.5,0000 1 May 2008,26.77588
2,10.5,0000 1 May 2008,27.11329
3,10.5,0000 1 May 2008,26.30745
4,10.5,0000 1 May 2008,26.53309
5,10.5,0000 1 May 2008,26.35156
6,10.5,0000 1 May 2008,26.43457
7,10.5,0000 1 May 2008,26.26395
8,10.5,0000 1 May 2008,27.52614
9,10.5,0000 1 May 2008,26.44878
10,10.5,0000 1 May 2008,25.95583
1,1.5,0000 1 Jun 2008,26.58316
2,1.5,0000 1 Jun 2008,26.63093
3,1.5,0000 1 Jun 2008,26.67856
4,1.5,0000 1 Jun 2008,26.75488
5,1.5,0000 1 Jun 2008,26.60488
6,1.5,0000 1 Jun 2008,26.64663
7,1.5,0000 1 Jun 2008,26.64671
8,1.5,0000 1 Jun 2008,26.60448
9,1.5,0000 1 Jun 2008,26.65809
10,1.5,0000 1 Jun 2008,26.86286
1,2.5,0000 1 Jun 2008,25.71546
2,2.5,0000 1 Jun 2008,25.81712
3,2.5,0000 1 Jun 2008,25.97716
4,2.5,0000 1 Jun 2008,26.15272
5,2.5,0000 1 Jun 2008,25.84402
6,2.5,0000 1 Jun 2008,26.13702
7,2.5,0000 1 Jun 2008,25.80648
8,2.5,0000 1 Jun 2008,25.7986
9,2.5,0000 1 Jun 2008,25.92924
10,2.5,0000 1 Jun 2008,26.53562
1,3.5,0000 1 Jun 2008,24.89075
2,3.5,0000 1 Jun 2008,25.13946
3,3.5,0000 1 Jun 2008,25.41791
4,3.5,0000 1 Jun 2008,25.71688
5,3.5,0000 1 Jun 2008,25.2025
6,3.5,0000 1 Jun 2008,25.67846
7,3.5,0000 1 Jun 2008,25.09005
8,3.5,0000 1 Jun 2008,25.09694
9,3.5,0000 1 Jun 2008,25.4408
10,3.5,0000 1 Jun 2008,26.23902
1,4.5,0000 1 Jun 2008,24.71135
2,4.5,0000 1 Jun 2008,24.9089
3,4.5,0000 1 Jun 2008,25.32679
4,4.5,0000 1 Jun 2008,25.67386
5,4.5,0000 1 Jun 2008,25.1123
6,4.5,0000 1 Jun 2008,25.54312
7,4.5,0000 1 Jun 2008,24.8643
8,4.5,0000 1 Jun 2008,25.01151
9,4.5,0000 1 Jun 2008,25.49008
10,4.5,0000 1 Jun 2008,26.35564
1,5.5,0000 1 Jun 2008,24.871
2,5.5,0000 1 Jun 2008,25.0436
3,5.5,0000 1 Jun 2008,25.58493
4,5.5,0000 1 Jun 2008,25.89691
5,5.5,0000 1 Jun 2008,25.35444
6,5.5,0000 1 Jun 2008,25.49038
7,5.5,0000 1 Jun 2008,24.99529
8,5.5,0000 1 Jun 2008,25.26598
9,5.5,0000 1 Jun 2008,25.82601
10,5.5,0000 1 Jun 2008,26.57248
1,6.5,0000 1 Jun 2008,25.07302
2,6.5,0000 1 Jun 2008,25.23635
3,6.5,0000 1 Jun 2008,25.89634
4,6.5,0000 1 Jun 2008,26.08371
5,6.5,0000 1 Jun 2008,25.65734
6,6.5,0000 1 Jun 2008,25.53364
7,6.5,0000 1 Jun 2008,25.1096
8,6.5,0000 1 Jun 2008,25.65784
9,6.5,0000 1 Jun 2008,26.02777
10,6.5,0000 1 Jun 2008,26.85315
1,7.5,0000 1 Jun 2008,25.29512
2,7.5,0000 1 Jun 2008,25.51565
3,7.5,0000 1 Jun 2008,26.20906
4,7.5,0000 1 Jun 2008,26.35665
5,7.5,0000 1 Jun 2008,25.92949
6,7.5,0000 1 Jun 2008,25.70503
7,7.5,0000 1 Jun 2008,25.25456
8,7.5,0000 1 Jun 2008,25.99703
9,7.5,0000 1 Jun 2008,26.27973
10,7.5,0000 1 Jun 2008,27.06639
1,8.5,0000 1 Jun 2008,25.72479
2,8.5,0000 1 Jun 2008,25.90592
3,8.5,0000 1 Jun 2008,26.63414
4,8.5,0000 1 Jun 2008,26.77634
5,8.5,0000 1 Jun 2008,26.3676
6,8.5,0000 1 Jun 2008,26.20271
7,8.5,0000 1 Jun 2008,25.63157
8,8.5,0000 1 Jun 2008,26.4515
9,8.5,0000 1 Jun 2008,26.72845
10,8.5,0000 1 Jun 2008,27.31021
1,9.5,0000 1 Jun 2008,26.38571
2,9.5,0000 1 Jun 2008,26.5197
3,9.5,0000 1 Jun 2008,27.20651
4,9.5,0000 1 Jun 2008,27.36652
5,9.5,0000 1 Jun 2008,26.93824
6,9.5,0000 1 Jun 2008,26.85904
7,9.5,0000 1 Jun 2008,26.17392
8,9.5,0000 1 Jun 2008,26.91826
9,9.5,0000 1 Jun 2008,27.31666
10,9.5,0000 1 Jun 2008,27.67119
1,10.5,0000 1 Jun 2008,27.08447
2,10.5,0000 1 Jun 2008,27.26167
3,10.5,0000 1 Jun 2008,27.88269
4,10.5,0000 1 Jun 2008,27.9709
5,10.5,0000 1 Jun 2008,27.57279
6,10.5,0000 1 Jun 2008,27.66245
7,10.5,0000 1 Jun 2008,26.81361
8,10.5,0000 1 Jun 2008,27.47206
9,10.5,0000 1 Jun 2008,27.95738
10,10.5,0000 1 Jun 2008,28.1094
1,1.5,0000 1 Jul 2008,26.2119
2,1.5,0000 1 Jul 2008,26.09421
3,1.5,0000 1 Jul 2008,26.32153
4,1.5,0000 1 Jul 2008,26.18577
5,1.5,0000 1 Jul 2008,26.3141
6,1.5,0000 1 Jul 2008,26.12589
7,1.5,0000 1 Jul 2008,26.1234
8,1.5,0000 1 Jul 2008,26.32943
9,1.5,0000 1 Jul 2008,26.12665
10,1.5,0000 1 Jul 2008,26.24146
1,2.5,0000 1 Jul 2008,25.33344
2,2.5,0000 1 Jul 2008,25.21529
3,2.5,0000 1 Jul 2008,25.65596
4,2.5,0000 1 Jul 2008,25.38093
5,2.5,0000 1 Jul 2008,25.63887
6,2.5,0000 1 Jul 2008,25.32686
7,2.5,0000 1 Jul 2008,25.17634
8,2.5,0000 1 Jul 2008,25.60752
9,2.5,0000 1 Jul 2008,25.3403
10,2.5,0000 1 Jul 2008,25.46418
1,3.5,0000 1 Jul 2008,24.69102
2,3.5,0000 1 Jul 2008,24.63013
3,3.5,0000 1 Jul 2008,25.24485
4,3.5,0000 1 Jul 2008,24.84769
5,3.5,0000 1 Jul 2008,25.14727
6,3.5,0000 1 Jul 2008,24.85275
7,3.5,0000 1 Jul 2008,24.58875
8,3.5,0000 1 Jul 2008,25.10125
9,3.5,0000 1 Jul 2008,24.92583
10,3.5,0000 1 Jul 2008,25.00544
1,4.5,0000 1 Jul 2008,24.52244
2,4.5,0000 1 Jul 2008,24.61436
3,4.5,0000 1 Jul 2008,25.25325
4,4.5,0000 1 Jul 2008,24.78727
5,4.5,0000 1 Jul 2008,25.03363
