M,L,START,TARGET,SZN,MEAN_SST_GFDL_SPEAR,VAR_SST_GFDL_SPEAR
11,2.5,3,5,AMJ,27.802856333333335,0.1460030589412644
12,2.5,3,5,AMJ,27.827302333333332,0.1577030319219536
13,2.5,3,5,AMJ,27.75593233333333,0.14902290824609093
14,2.5,3,5,AMJ,27.767037000000002,0.18951875607689828
15,2.5,3,5,AMJ,27.753727,0.13983083767689664
1,2.5,4,6,MJJ,27.406955999999997,0.1784825388110329
2,2.5,4,6,MJJ,27.34764733333333,0.18575728948229986
3,2.5,4,6,MJJ,27.396351666666664,0.1623446668212629
4,2.5,4,6,MJJ,27.415233333333333,0.14214838945747116
5,2.5,4,6,MJJ,27.45841066666667,0.1554738572271267
6,2.5,4,6,MJJ,27.442031333333333,0.13972902832229772
7,2.5,4,6,MJJ,27.392359,0.14264157419551507
8,2.5,4,6,MJJ,27.402712333333334,0.17534233652195386
9,2.5,4,6,MJJ,27.407533666666666,0.18890522495505582
10,2.5,4,6,MJJ,27.422711333333332,0.1710345848119534
11,2.5,4,6,MJJ,27.430298,0.16364882165793118
12,2.5,4,6,MJJ,27.404920666666666,0.18308958823402405
13,2.5,4,6,MJJ,27.386622666666664,0.17089970129609092
14,2.5,4,6,MJJ,27.418892333333336,0.15318454715643617
15,2.5,4,6,MJJ,27.415567,0.15619534094586168
1,2.5,5,7,JJA,26.923353000000002,0.3137088427182765
2,2.5,5,7,JJA,26.872004,0.3571651597696562
3,2.5,5,7,JJA,26.91122933333333,0.3853938730340221
4,2.5,5,7,JJA,26.956411,0.28892598174034523
5,2.5,5,7,JJA,26.930142999999997,0.33778576023551743
6,2.5,5,7,JJA,26.95783833333333,0.3503575240212642
7,2.5,5,7,JJA,26.923191666666664,0.3659367073936785
8,2.5,5,7,JJA,26.914322666666667,0.30406404014436733
9,2.5,5,7,JJA,26.886573333333335,0.3481906031678158
10,2.5,5,7,JJA,26.95246566666667,0.4527400959771272
11,2.5,5,7,JJA,26.936876333333334,0.3280686944309189
