M,L,MON,LDC_SST_GFDL_SPEAR
3,9.5,0000 1 Feb 1991,26.02266
4,9.5,0000 1 Feb 1991,24.96725
5,9.5,0000 1 Feb 1991,25.50197
6,9.5,0000 1 Feb 1991,25.32859
7,9.5,0000 1 Feb 1991,26.38564
8,9.5,0000 1 Feb 1991,25.18111
9,9.5,0000 1 Feb 1991,26.09784
10,9.5,0000 1 Feb 1991,25.37094
11,9.5,0000 1 Feb 1991,26.32423
12,9.5,0000 1 Feb 1991,26.29477
13,9.5,0000 1 Feb 1991,26.16985
14,9.5,0000 1 Feb 1991,25.28362
15,9.5,0000 1 Feb 1991,25.99766
1,10.5,0000 1 Feb 1991,26.25842
2,10.5,0000 1 Feb 1991,25.60417
3,10.5,0000 1 Feb 1991,25.88091
4,10.5,0000 1 Feb 1991,24.73527
5,10.5,0000 1 Feb 1991,25.48315
6,10.5,0000 1 Feb 1991,25.21456
7,10.5,0000 1 Feb 1991,26.3716
8,10.5,0000 1 Feb 1991,25.01827
9,10.5,0000 1 Feb 1991,25.9692
10,10.5,0000 1 Feb 1991,25.3359
11,10.5,0000 1 Feb 1991,26.19293
12,10.5,0000 1 Feb 1991,26.3243
13,10.5,0000 1 Feb 1991,26.09712
14,10.5,0000 1 Feb 1991,25.10984
15,10.5,0000 1 Feb 1991,25.87519
1,1.5,0000 1 Mar 1991,27.51926
2,1.5,0000 1 Mar 1991,27.63954
3,1.5,0000 1 Mar 1991,27.57108
4,1.5,0000 1 Mar 1991,27.59047
5,1.5,0000 1 Mar 1991,27.63412
6,1.5,0000 1 Mar 1991,27.56646
7,1.5,0000 1 Mar 1991,27.82736
8,1.5,0000 1 Mar 1991,27.60899
9,1.5,0000 1 Mar 1991,27.63585
10,1.5,0000 1 Mar 1991,27.71943
11,1.5,0000 1 Mar 1991,27.41925
12,1.5,0000 1 Mar 1991,27.7713
13,1.5,0000 1 Mar 1991,27.59472
14,1.5,0000 1 Mar 1991,27.45198
