M,L,START,TARGET,SZN,MEAN_SST_GEM52_NEMO,VAR_SST_GEM52_NEMO
16,8.5,9,5,AMJ,25.16055000000002,0.348436289482761
17,8.5,9,5,AMJ,25.408456666666687,0.4789502701264283
18,8.5,9,5,AMJ,25.254723333333352,0.33255124254022755
19,8.5,9,5,AMJ,25.376270000000023,0.476144247000004
20,8.5,9,5,AMJ,25.31632666666669,0.7258899992643721
1,8.5,10,6,MJJ,24.697176666666692,0.7733081025402335
2,8.5,10,6,MJJ,24.822480000000027,0.5246447885517209
3,8.5,10,6,MJJ,24.77472666666669,0.6245950365057511
4,8.5,10,6,MJJ,24.91545000000002,0.45757491293103475
5,8.5,10,6,MJJ,25.023570000000017,0.5229737318275834
6,8.5,10,6,MJJ,25.135943333333362,0.7321346790919454
7,8.5,10,6,MJJ,24.967626666666693,0.6145252530574713
8,8.5,10,6,MJJ,24.719140000000024,0.5760441948965475
9,8.5,10,6,MJJ,24.76407000000002,0.46492704906895976
10,8.5,10,6,MJJ,24.853403333333357,0.5740427341264372
11,8.5,10,6,MJJ,24.938880000000022,0.496005297517241
12,8.5,10,6,MJJ,24.77285666666669,0.4293274101264373
13,8.5,10,6,MJJ,24.846796666666695,0.34868681550575514
14,8.5,10,6,MJJ,24.86721000000002,0.6981781264482749
15,8.5,10,6,MJJ,24.827123333333354,0.6899624011609259
16,8.5,10,6,MJJ,24.93626666666669,0.5151608836781607
17,8.5,10,6,MJJ,25.05927666666669,0.589451188057472
18,8.5,10,6,MJJ,24.84210333333336,0.3202684175747211
19,8.5,10,6,MJJ,24.96474666666669,0.6853501811953951
20,8.5,10,6,MJJ,24.925940000000022,0.5047747031724095
1,8.5,11,7,JJA,24.549130000000027,0.5689488532068966
2,8.5,11,7,JJA,24.430000000000025,0.7970646324137943
3,8.5,11,7,JJA,24.342350000000025,0.5781501018965524
4,8.5,11,7,JJA,24.386263333333357,0.5017851030919542
5,8.5,11,7,JJA,24.415993333333358,0.27769556616092217
6,8.5,11,7,JJA,24.488610000000026,0.5947612974827582
7,8.5,11,7,JJA,24.549456666666682,0.6117083480574752
8,8.5,11,7,JJA,24.52913666666669,0.5072578541264318
9,8.5,11,7,JJA,24.370950000000025,0.5439132418965447
10,8.5,11,7,JJA,24.433766666666695,0.5260492843678153
11,8.5,11,7,JJA,24.29090666666669,0.6138475702988612
12,8.5,11,7,JJA,24.309760000000026,0.5494511528275846
13,8.5,11,7,JJA,24.37211666666669,0.5951182504022983
14,8.5,11,7,JJA,24.517506666666687,0.562968382022989
15,8.5,11,7,JJA,24.492530000000023,0.5695699007931102
16,8.5,11,7,JJA,24.315136666666685,0.626312145850569
17,8.5,11,7,JJA,24.480486666666692,0.5038352956781594
18,8.5,11,7,JJA,24.275903333333353,0.7034961920574697
19,8.5,11,7,JJA,24.42725000000002,0.5935360363793146
20,8.5,11,7,JJA,24.346860000000017,0.702852464551733
1,8.5,12,8,JAS,24.030006666666683,0.4115197985747145
2,8.5,12,8,JAS,24.213896666666685,0.5302412899885136
3,8.5,12,8,JAS,24.236996666666688,0.610623026540229
4,8.5,12,8,JAS,24.189163333333354,0.7838774313678243
5,8.5,12,8,JAS,24.167733333333363,0.42514471885057376
6,8.5,12,8,JAS,24.17710333333336,0.6010819079195376
7,8.5,12,8,JAS,24.285066666666687,0.46446252574713204
8,8.5,12,8,JAS,24.292806666666692,0.626776955126441
9,8.5,12,8,JAS,24.135983333333357,0.7559182504023035
10,8.5,12,8,JAS,24.10341000000002,0.8225760381724139
11,8.5,12,8,JAS,24.07821000000002,0.35208007196551905
12,8.5,12,8,JAS,24.246793333333358,0.46818109443677636
13,8.5,12,8,JAS,24.003393333333353,0.6263199558160911
14,8.5,12,8,JAS,24.005950000000016,0.35564419775862743
15,8.5,12,8,JAS,24.074676666666686,0.420312440471267
16,8.5,12,8,JAS,24.074653333333355,0.5770661170574656
17,8.5,12,8,JAS,24.113003333333356,0.498840216885056
18,8.5,12,8,JAS,23.908640000000023,0.527840160413792
19,8.5,12,8,JAS,24.14800666666669,0.46956445857471313
20,8.5,12,8,JAS,24.173406666666697,0.4656662613333316
1,9.5,1,10,SON,23.821580000000022,0.3503442540689666
2,9.5,1,10,SON,23.879253333333356,0.21459811636781956
3,9.5,1,10,SON,23.99123666666669,0.6453288713678222
4,9.5,1,10,SON,23.72321333333335,0.3646735970574686
5,9.5,1,10,SON,23.848343333333354,0.5432413177126385
6,9.5,1,10,SON,23.73669000000002,0.3905754174827544
