M,L,MON,LDC_SST_NASA_GEOSS2S
3,1.5,0000 1 Jul 1991,27.33508
4,1.5,0000 1 Jul 1991,27.72895
1,2.5,0000 1 Jul 1991,28.21853
2,2.5,0000 1 Jul 1991,28.01667
3,2.5,0000 1 Jul 1991,27.31245
4,2.5,0000 1 Jul 1991,27.95857
1,3.5,0000 1 Jul 1991,28.56308
2,3.5,0000 1 Jul 1991,28.38101
3,3.5,0000 1 Jul 1991,27.57223
4,3.5,0000 1 Jul 1991,28.59566
1,4.5,0000 1 Jul 1991,28.93834
2,4.5,0000 1 Jul 1991,28.6147
3,4.5,0000 1 Jul 1991,27.7949
4,4.5,0000 1 Jul 1991,29.23863
1,5.5,0000 1 Jul 1991,29.15449
2,5.5,0000 1 Jul 1991,28.6624
3,5.5,0000 1 Jul 1991,27.79937
4,5.5,0000 1 Jul 1991,29.61037
1,6.5,0000 1 Jul 1991,29.24095
2,6.5,0000 1 Jul 1991,28.41694
3,6.5,0000 1 Jul 1991,27.63708
4,6.5,0000 1 Jul 1991,29.71339
1,7.5,0000 1 Jul 1991,29.2279
2,7.5,0000 1 Jul 1991,27.98705
3,7.5,0000 1 Jul 1991,27.55074
4,7.5,0000 1 Jul 1991,29.71449
1,1.5,0000 1 Aug 1991,27.53658
2,1.5,0000 1 Aug 1991,27.4216
3,1.5,0000 1 Aug 1991,27.21349
4,1.5,0000 1 Aug 1991,27.04775
1,2.5,0000 1 Aug 1991,27.84144
2,2.5,0000 1 Aug 1991,27.81798
3,2.5,0000 1 Aug 1991,27.52205
4,2.5,0000 1 Aug 1991,27.11431
1,3.5,0000 1 Aug 1991,28.19754
2,3.5,0000 1 Aug 1991,28.40491
3,3.5,0000 1 Aug 1991,28.08243
4,3.5,0000 1 Aug 1991,27.52734
1,4.5,0000 1 Aug 1991,28.51376
2,4.5,0000 1 Aug 1991,28.87621
3,4.5,0000 1 Aug 1991,28.51583
4,4.5,0000 1 Aug 1991,27.65557
1,5.5,0000 1 Aug 1991,28.52625
2,5.5,0000 1 Aug 1991,29.21801
3,5.5,0000 1 Aug 1991,28.6167
4,5.5,0000 1 Aug 1991,27.56755
1,6.5,0000 1 Aug 1991,28.53851
2,6.5,0000 1 Aug 1991,29.38437
3,6.5,0000 1 Aug 1991,28.58654
4,6.5,0000 1 Aug 1991,27.59958
1,7.5,0000 1 Aug 1991,28.71734
2,7.5,0000 1 Aug 1991,29.57353
3,7.5,0000 1 Aug 1991,28.65566
4,7.5,0000 1 Aug 1991,27.92075
1,1.5,0000 1 Sep 1991,27.27771
2,1.5,0000 1 Sep 1991,27.0059
3,1.5,0000 1 Sep 1991,26.48333
4,1.5,0000 1 Sep 1991,26.85577
1,2.5,0000 1 Sep 1991,27.69361
2,2.5,0000 1 Sep 1991,27.27304
3,2.5,0000 1 Sep 1991,26.59154
4,2.5,0000 1 Sep 1991,27.07477
1,3.5,0000 1 Sep 1991,27.92297
2,3.5,0000 1 Sep 1991,27.33463
3,3.5,0000 1 Sep 1991,26.72219
4,3.5,0000 1 Sep 1991,27.25468
1,4.5,0000 1 Sep 1991,27.93153
2,4.5,0000 1 Sep 1991,27.15227
3,4.5,0000 1 Sep 1991,26.63271
4,4.5,0000 1 Sep 1991,27.35714
1,5.5,0000 1 Sep 1991,27.96572
2,5.5,0000 1 Sep 1991,26.99076
3,5.5,0000 1 Sep 1991,26.53549
4,5.5,0000 1 Sep 1991,27.51794
1,6.5,0000 1 Sep 1991,28.10013
2,6.5,0000 1 Sep 1991,27.02504
3,6.5,0000 1 Sep 1991,26.55543
4,6.5,0000 1 Sep 1991,27.73942
1,7.5,0000 1 Sep 1991,28.40668
2,7.5,0000 1 Sep 1991,27.25362
3,7.5,0000 1 Sep 1991,26.64519
4,7.5,0000 1 Sep 1991,27.99271
1,1.5,0000 1 Oct 1991,26.79345
2,1.5,0000 1 Oct 1991,27.21982
3,1.5,0000 1 Oct 1991,27.41265
4,1.5,0000 1 Oct 1991,27.29632
1,2.5,0000 1 Oct 1991,26.70362
2,2.5,0000 1 Oct 1991,26.99969
3,2.5,0000 1 Oct 1991,27.31333
4,2.5,0000 1 Oct 1991,27.18887
1,3.5,0000 1 Oct 1991,26.53516
2,3.5,0000 1 Oct 1991,26.71097
3,3.5,0000 1 Oct 1991,27.00377
4,3.5,0000 1 Oct 1991,26.86852
1,4.5,0000 1 Oct 1991,26.34034
2,4.5,0000 1 Oct 1991,26.53003
3,4.5,0000 1 Oct 1991,26.68968
4,4.5,0000 1 Oct 1991,26.53263
1,5.5,0000 1 Oct 1991,26.16641
2,5.5,0000 1 Oct 1991,26.60859
3,5.5,0000 1 Oct 1991,26.64754
4,5.5,0000 1 Oct 1991,26.61361
1,6.5,0000 1 Oct 1991,26.25244
2,6.5,0000 1 Oct 1991,26.9504
3,6.5,0000 1 Oct 1991,26.98856
4,6.5,0000 1 Oct 1991,26.96405
1,7.5,0000 1 Oct 1991,26.46069
2,7.5,0000 1 Oct 1991,27.30534
3,7.5,0000 1 Oct 1991,27.40101
4,7.5,0000 1 Oct 1991,27.40773
1,1.5,0000 1 Nov 1991,27.53999
2,1.5,0000 1 Nov 1991,27.79914
3,1.5,0000 1 Nov 1991,27.47196
4,1.5,0000 1 Nov 1991,27.86744
1,2.5,0000 1 Nov 1991,27.63377
