L,MON,SZN,TAR,LDC_SST_CanSIPS_IC4,OBS_NINO3.4_L3,BIAS,BIAS_ABS
6.5,1996-11-01,AMJ,1997-05-15,26.78090000000003,28.459999999999997,-1.6790999999999663,1.6790999999999663
5.5,1996-12-01,AMJ,1997-05-15,26.878100000000018,28.459999999999997,-1.5818999999999797,1.5818999999999797
4.5,1997-01-01,AMJ,1997-05-15,26.873199999999997,28.459999999999997,-1.5868000000000002,1.5868000000000002
3.5,1997-02-01,AMJ,1997-05-15,27.245600000000024,28.459999999999997,-1.2143999999999728,1.2143999999999728
2.5,1997-03-01,AMJ,1997-05-15,27.72750000000002,28.459999999999997,-0.7324999999999768,0.7324999999999768
1.5,1997-04-01,AMJ,1997-05-15,27.90780000000001,28.459999999999997,-0.5521999999999885,0.5521999999999885
10.5,2001-08-01,MJJ,2002-06-15,26.640600000000006,28.236666666666668,-1.5960666666666619,1.5960666666666619
9.5,2001-09-01,MJJ,2002-06-15,26.502300000000048,28.236666666666668,-1.7343666666666202,1.7343666666666202
8.5,2001-10-01,MJJ,2002-06-15,26.447500000000048,28.236666666666668,-1.7891666666666204,1.7891666666666204
7.5,2001-11-01,MJJ,2002-06-15,26.580100000000016,28.236666666666668,-1.6565666666666523,1.6565666666666523
6.5,2001-12-01,MJJ,2002-06-15,26.40640000000002,28.236666666666668,-1.830266666666649,1.830266666666649
5.5,2002-01-01,MJJ,2002-06-15,26.391500000000008,28.236666666666668,-1.8451666666666604,1.8451666666666604
4.5,2002-02-01,MJJ,2002-06-15,27.034400000000005,28.236666666666668,-1.202266666666663,1.202266666666663
3.5,2002-03-01,MJJ,2002-06-15,27.001000000000033,28.236666666666668,-1.235666666666635,1.235666666666635
2.5,2002-04-01,MJJ,2002-06-15,27.234100000000012,28.236666666666668,-1.002566666666656,1.002566666666656
1.5,2002-05-01,MJJ,2002-06-15,27.417100000000005,28.236666666666668,-0.8195666666666632,0.8195666666666632
10.5,2003-09-01,JJA,2004-07-15,25.964,27.753333333333337,-1.7893333333333388,1.7893333333333388
9.5,2003-10-01,JJA,2004-07-15,26.010400000000004,27.753333333333337,-1.7429333333333332,1.7429333333333332
8.5,2003-11-01,JJA,2004-07-15,26.037000000000035,27.753333333333337,-1.7163333333333028,1.7163333333333028
7.5,2003-12-01,JJA,2004-07-15,26.07850000000002,27.753333333333337,-1.6748333333333179,1.6748333333333179
6.5,2004-01-01,JJA,2004-07-15,26.07430000000005,27.753333333333337,-1.6790333333332867,1.6790333333332867
5.5,2004-02-01,JJA,2004-07-15,26.14620000000002,27.753333333333337,-1.6071333333333158,1.6071333333333158
4.5,2004-03-01,JJA,2004-07-15,26.247299999999996,27.753333333333337,-1.5060333333333418,1.5060333333333418
3.5,2004-04-01,JJA,2004-07-15,26.552400000000034,27.753333333333337,-1.2009333333333032,1.2009333333333032
2.5,2004-05-01,JJA,2004-07-15,26.547000000000025,27.753333333333337,-1.206333333333312,1.206333333333312
1.5,2004-06-01,JJA,2004-07-15,26.76400000000001,27.753333333333337,-0.9893333333333274,0.9893333333333274
10.5,2005-11-01,ASO,2006-09-15,25.372100000000046,27.296666666666667,-1.924566666666621,1.924566666666621
