M,L,START,TARGET,SZN,MEAN_SST_NASA_GEOSS2S,VAR_SST_NASA_GEOSS2S
1,2.5,10,12,NDJ,26.11560066666667,2.602151815965058
2,2.5,10,12,NDJ,26.053659333333332,2.8964598645512636
3,2.5,10,12,NDJ,26.078386333333334,2.741348298982644
4,2.5,10,12,NDJ,26.105951666666666,2.8316222131798856
1,2.5,11,1,DJF,25.802367,3.0420365134699976
2,2.5,11,1,DJF,25.892979333333333,3.0499900449581605
3,2.5,11,1,DJF,25.945176333333333,2.9101300608585037
4,2.5,11,1,DJF,26.000016333333335,2.977448706941263
1,2.5,12,2,JFM,25.874105666666665,2.941819099908157
2,2.5,12,2,JFM,26.111355,2.6167671652603453
3,2.5,12,2,JFM,26.075004666666665,2.807688706694712
4,2.5,12,2,JFM,26.000685333333333,2.5486947831774716
1,3.5,1,4,MAM,27.003741666666667,1.591110413517818
2,3.5,1,4,MAM,27.021362333333332,1.247442608363333
3,3.5,1,4,MAM,27.155925000000003,1.1048912718879327
4,3.5,1,4,MAM,27.319791,0.9147862086300006
1,3.5,2,5,AMJ,27.618655333333333,0.9149140957912636
2,3.5,2,5,AMJ,27.707872333333334,0.7901834418254026
3,3.5,2,5,AMJ,27.935213333333333,0.7628360304574726
4,3.5,2,5,AMJ,27.74321266666667,0.6552275977581627
1,3.5,3,6,MJJ,27.987658,0.9867773957751721
2,3.5,3,6,MJJ,27.907473666666665,0.741844173803334
3,3.5,3,6,MJJ,27.930285333333334,0.7130935077360915
4,3.5,3,6,MJJ,28.055979999999998,0.6680880008137938
1,3.5,4,7,JJA,27.841164,1.055060890121379
2,3.5,4,7,JJA,27.72206733333333,1.008129780289195
3,3.5,4,7,JJA,27.681704,0.9846705678937938
4,3.5,4,7,JJA,27.635085,1.016982380522414
1,3.5,5,8,JAS,27.334304666666664,1.1741193231705747
2,3.5,5,8,JAS,27.316051,1.1141518632024143
3,3.5,5,8,JAS,27.151536333333333,1.187295911437816
4,3.5,5,8,JAS,27.091414999999998,1.3026609985913786
1,3.5,6,9,ASO,27.01567633333333,1.6065995363136787
2,3.5,6,9,ASO,26.891598,1.9474695134717241
3,3.5,6,9,ASO,26.899366,1.4894070162386208
4,3.5,6,9,ASO,26.89610133333333,1.473230996832643
1,3.5,7,10,SON,26.949637666666668,2.111613720032299
2,3.5,7,10,SON,26.794902999999998,2.2347935978286215
3,3.5,7,10,SON,26.662311,1.8734185645541392
4,3.5,7,10,SON,26.730148999999997,2.295021831871381
1,3.5,8,11,OND,26.490450333333335,2.473662205941265
2,3.5,8,11,OND,26.428426666666667,2.4032978509471272
3,3.5,8,11,OND,26.555144,2.4422168976524112
4,3.5,8,11,OND,26.407822333333336,2.109557253515057
1,3.5,9,12,NDJ,26.171575,2.543415716805174
2,3.5,9,12,NDJ,26.220523333333333,2.303745246567815
3,3.5,9,12,NDJ,26.045323,2.5360374955527587
4,3.5,9,12,NDJ,26.191502333333332,2.494531298349538
1,3.5,10,1,DJF,25.880676333333334,2.6940575568447107
2,3.5,10,1,DJF,25.808000333333332,3.039402491396437
3,3.5,10,1,DJF,25.835641,2.8279232710368976
4,3.5,10,1,DJF,25.83593,2.8568790061655167
1,3.5,11,2,JFM,25.70277766666667,2.7634922971081606
2,3.5,11,2,JFM,25.727844666666666,2.846351177591264
3,3.5,11,2,JFM,25.84656933333333,2.6469287706133313
4,3.5,11,2,JFM,25.891543000000002,2.91139146382862
1,3.5,12,3,FMA,26.117684999999998,2.552401108287929
2,3.5,12,3,FMA,26.34561066666667,2.2473651288202303
3,3.5,12,3,FMA,26.283338333333333,2.229028739421265
4,3.5,12,3,FMA,26.169133,2.010632356152759
1,4.5,1,5,AMJ,27.281619,1.2995986524989664
2,4.5,1,5,AMJ,27.247355333333335,0.9925416578878163
3,4.5,1,5,AMJ,27.408322333333334,1.000974214439195
4,4.5,1,5,AMJ,27.49450866666667,0.796426925942989
1,4.5,2,6,MJJ,27.511258333333334,0.7348278246695406
2,4.5,2,6,MJJ,27.636838,0.699064883954483
3,4.5,2,6,MJJ,27.83448333333333,0.7716308581678145
4,4.5,2,6,MJJ,27.667086666666666,0.5360912313678162
1,4.5,3,7,JJA,27.765155666666665,1.131671968328852
2,4.5,3,7,JJA,27.525287,1.0226812791872404
3,4.5,3,7,JJA,27.64382833333333,1.0177864543247128
4,4.5,3,7,JJA,27.727838333333334,0.9048248626902309
1,4.5,4,8,JAS,27.539237,1.5104256909872409
2,4.5,4,8,JAS,27.432788666666667,1.3017855091429893
3,4.5,4,8,JAS,27.372111,1.3265611613472412
4,4.5,4,8,JAS,27.334001,1.615005933395517
1,4.5,5,9,ASO,27.23945266666667,1.6985222225374719
2,4.5,5,9,ASO,27.248978333333334,1.5048961054764374
3,4.5,5,9,ASO,27.062879333333335,1.6810763616960929
4,4.5,5,9,ASO,27.019154333333333,1.8048065689426445
1,4.5,6,10,SON,27.088938666666664,2.217179553474023
2,4.5,6,10,SON,26.992416666666667,2.4429431230712644
3,4.5,6,10,SON,27.000151666666667,2.047823803800576
4,4.5,6,10,SON,26.964964666666667,1.9164492135429883
1,4.5,7,11,OND,27.100652333333336,2.644534692459885
2,4.5,7,11,OND,26.846765,2.690742282363794
3,4.5,7,11,OND,26.740021666666667,2.335804463945401
4,4.5,7,11,OND,26.852733,2.7624150161941383
1,4.5,8,12,NDJ,26.423497,2.9205034130562066
2,4.5,8,12,NDJ,26.358400333333336,2.7930712415895407
3,4.5,8,12,NDJ,26.499234666666666,2.906217482287819
4,4.5,8,12,NDJ,26.323989666666666,2.2890687149757474
1,4.5,9,1,DJF,26.003276333333336,2.6340244021619545
2,4.5,9,1,DJF,26.022327333333333,2.4635250511374713
3,4.5,9,1,DJF,25.837888333333336,2.503263717972989
4,4.5,9,1,DJF,25.994183333333336,2.6353416361816104
1,4.5,10,2,JFM,25.755340333333333,2.535641852858508
2,4.5,10,2,JFM,25.731266,2.90126653334207
3,4.5,10,2,JFM,25.766208,2.644367600030347
4,4.5,10,2,JFM,25.752874000000002,2.628446074273103
1,4.5,11,3,FMA,25.939496666666667,2.1304323084643655
2,4.5,11,3,FMA,25.926787666666666,2.3450103995978173
3,4.5,11,3,FMA,26.106352,2.1353443784993122
4,4.5,11,3,FMA,26.17557833333333,2.453298729669541
1,4.5,12,4,MAM,26.539910666666668,1.9519798546616085
2,4.5,12,4,MAM,26.727485333333334,1.7408203163016098
3,4.5,12,4,MAM,26.67044866666667,1.6191610215843681
4,4.5,12,4,MAM,26.554056666666668,1.4063849456988513
1,5.5,1,6,MJJ,27.281745,0.9881990674120693
2,5.5,1,6,MJJ,27.224638333333335,0.8028939492281613
3,5.5,1,6,MJJ,27.421781666666668,0.8518929198143684
4,5.5,1,6,MJJ,27.423638333333333,0.8843633870419538
1,5.5,2,7,JJA,27.181102,0.7069527851475854
2,5.5,2,7,JJA,27.375084,0.7873076211075869
3,5.5,2,7,JJA,27.510586,0.9841858298937938
4,5.5,2,7,JJA,27.384591,0.5884034006506895
1,5.5,3,8,JAS,27.531310666666666,1.4154500069581624
