L,MON,LDC_SST_NASA_GEOSS2S
5.5,0000 1 Dec 1995,26.19602
6.5,0000 1 Dec 1995,26.4255
7.5,0000 1 Dec 1995,26.52111
1.5,0000 1 Jan 1996,25.82129
2.5,0000 1 Jan 1996,26.31208
3.5,0000 1 Jan 1996,26.86217
4.5,0000 1 Jan 1996,27.242
5.5,0000 1 Jan 1996,27.37465
6.5,0000 1 Jan 1996,27.34848
7.5,0000 1 Jan 1996,27.35781
1.5,0000 1 Feb 1996,26.38461
2.5,0000 1 Feb 1996,26.89484
3.5,0000 1 Feb 1996,27.24036
4.5,0000 1 Feb 1996,27.29464
5.5,0000 1 Feb 1996,27.12781
6.5,0000 1 Feb 1996,26.94258
7.5,0000 1 Feb 1996,26.89034
1.5,0000 1 Mar 1996,27.32063
2.5,0000 1 Mar 1996,27.61648
3.5,0000 1 Mar 1996,27.54132
4.5,0000 1 Mar 1996,27.19379
5.5,0000 1 Mar 1996,26.81069
6.5,0000 1 Mar 1996,26.68096
7.5,0000 1 Mar 1996,26.68715
1.5,0000 1 Apr 1996,27.58371
2.5,0000 1 Apr 1996,27.62739
3.5,0000 1 Apr 1996,27.48197
4.5,0000 1 Apr 1996,27.32055
5.5,0000 1 Apr 1996,27.45305
6.5,0000 1 Apr 1996,27.79454
7.5,0000 1 Apr 1996,28.19318
1.5,0000 1 May 1996,27.17763
2.5,0000 1 May 1996,26.81627
3.5,0000 1 May 1996,26.4139
4.5,0000 1 May 1996,26.21822
5.5,0000 1 May 1996,26.16723
6.5,0000 1 May 1996,26.09879
7.5,0000 1 May 1996,25.76318
1.5,0000 1 Jun 1996,26.79129
2.5,0000 1 Jun 1996,26.36632
3.5,0000 1 Jun 1996,26.02048
4.5,0000 1 Jun 1996,25.82112
5.5,0000 1 Jun 1996,25.75225
6.5,0000 1 Jun 1996,25.5642
7.5,0000 1 Jun 1996,25.29373
1.5,0000 1 Jul 1996,26.13489
2.5,0000 1 Jul 1996,25.76393
3.5,0000 1 Jul 1996,25.71503
4.5,0000 1 Jul 1996,25.66614
5.5,0000 1 Jul 1996,25.36984
6.5,0000 1 Jul 1996,24.90238
7.5,0000 1 Jul 1996,24.68308
1.5,0000 1 Aug 1996,25.65527
2.5,0000 1 Aug 1996,25.57642
