L,M,MON,LDC_SST_CanESM5
7.5,2,0000 1 Feb 1991,300.5145
8.5,2,0000 1 Feb 1991,300.7676
9.5,2,0000 1 Feb 1991,301.0291
10.5,2,0000 1 Feb 1991,301.1736
1.5,3,0000 1 Feb 1991,301.0744
2.5,3,0000 1 Feb 1991,301.4576
3.5,3,0000 1 Feb 1991,301.5451
4.5,3,0000 1 Feb 1991,301.2305
5.5,3,0000 1 Feb 1991,300.7686
6.5,3,0000 1 Feb 1991,300.3687
7.5,3,0000 1 Feb 1991,300.1592
8.5,3,0000 1 Feb 1991,300.0833
9.5,3,0000 1 Feb 1991,299.9865
10.5,3,0000 1 Feb 1991,299.8341
1.5,4,0000 1 Feb 1991,300.894
2.5,4,0000 1 Feb 1991,301.1427
3.5,4,0000 1 Feb 1991,301.1998
4.5,4,0000 1 Feb 1991,301.0504
5.5,4,0000 1 Feb 1991,300.7816
6.5,4,0000 1 Feb 1991,300.4494
7.5,4,0000 1 Feb 1991,300.1592
8.5,4,0000 1 Feb 1991,299.9178
9.5,4,0000 1 Feb 1991,299.703
10.5,4,0000 1 Feb 1991,299.5128
1.5,5,0000 1 Feb 1991,300.8444
2.5,5,0000 1 Feb 1991,301.1278
3.5,5,0000 1 Feb 1991,301.1944
4.5,5,0000 1 Feb 1991,300.9744
5.5,5,0000 1 Feb 1991,300.5111
6.5,5,0000 1 Feb 1991,300.0834
7.5,5,0000 1 Feb 1991,299.7913
8.5,5,0000 1 Feb 1991,299.6828
9.5,5,0000 1 Feb 1991,299.5785
10.5,5,0000 1 Feb 1991,299.4376
1.5,6,0000 1 Feb 1991,301.0032
2.5,6,0000 1 Feb 1991,301.3456
3.5,6,0000 1 Feb 1991,301.4053
4.5,6,0000 1 Feb 1991,301.1205
5.5,6,0000 1 Feb 1991,300.6697
6.5,6,0000 1 Feb 1991,300.328
7.5,6,0000 1 Feb 1991,300.1812
8.5,6,0000 1 Feb 1991,300.1916
9.5,6,0000 1 Feb 1991,300.1247
10.5,6,0000 1 Feb 1991,299.9843
1.5,7,0000 1 Feb 1991,300.9964
2.5,7,0000 1 Feb 1991,301.264
3.5,7,0000 1 Feb 1991,301.2017
4.5,7,0000 1 Feb 1991,300.8387
