L,MON,LDC_SST_CanSIPS_IC4,LDC_SST_CanSIPS_IC4_ONETWO,LDC_SST_CanSIPS_IC4_THREE,LDC_SST_CanSIPS_IC4_FOUR
4.5,0000 1 Mar 1992,299.5757,297.2244,298.5486,301.1941
5.5,0000 1 Mar 1992,299.0566,296.4298,297.9376,300.8835
6.5,0000 1 Mar 1992,298.7835,296.0553,297.6828,300.6878
7.5,0000 1 Mar 1992,298.6127,296.1214,297.6053,300.5223
8.5,0000 1 Mar 1992,298.4616,296.5084,297.5886,300.3442
9.5,0000 1 Mar 1992,298.326,297.1715,297.6549,300.1171
10.5,0000 1 Mar 1992,298.307,298.0744,297.9273,299.9012
1.5,0000 1 Apr 1992,301.7374,299.6843,301.0391,302.3632
2.5,0000 1 Apr 1992,301.0966,298.5059,300.1159,302.1334
3.5,0000 1 Apr 1992,300.315,297.4587,299.0992,301.8147
4.5,0000 1 Apr 1992,299.6654,296.7299,298.3837,301.4995
5.5,0000 1 Apr 1992,299.299,296.4102,298.0698,301.2686
6.5,0000 1 Apr 1992,299.1197,296.4973,297.9935,301.0918
7.5,0000 1 Apr 1992,298.9396,296.8458,297.9619,300.8671
8.5,0000 1 Apr 1992,298.735,297.4411,297.9817,300.5555
9.5,0000 1 Apr 1992,298.6302,298.2372,298.1904,300.2283
10.5,0000 1 Apr 1992,298.7427,299.0381,298.583,300.025
1.5,0000 1 May 1992,301.2531,298.518,300.2939,302.2333
2.5,0000 1 May 1992,300.4679,297.554,299.2585,301.9926
3.5,0000 1 May 1992,299.8199,296.8314,298.5359,301.7165
4.5,0000 1 May 1992,299.4879,296.5222,298.2238,301.5199
5.5,0000 1 May 1992,299.3434,296.6104,298.1798,301.3652
6.5,0000 1 May 1992,299.1985,296.9665,298.1675,301.1714
7.5,0000 1 May 1992,298.9962,297.5592,298.1959,300.8666
8.5,0000 1 May 1992,298.8908,298.373,298.4135,300.5199
9.5,0000 1 May 1992,298.9739,299.1685,298.7796,300.2934
10.5,0000 1 May 1992,299.2386,299.4949,299.1759,300.2806
1.5,0000 1 Jun 1992,300.2348,297.2191,298.9714,302.0238
2.5,0000 1 Jun 1992,299.5638,296.6711,298.2703,301.7286
3.5,0000 1 Jun 1992,299.3049,296.4652,298.0706,301.5204
4.5,0000 1 Jun 1992,299.2473,296.643,298.1209,301.3795
5.5,0000 1 Jun 1992,299.184,297.073,298.1984,301.2153
6.5,0000 1 Jun 1992,299.0614,297.7286,298.296,300.983
7.5,0000 1 Jun 1992,299.0032,298.4993,298.5322,300.712
8.5,0000 1 Jun 1992,299.1418,299.2564,298.9171,300.5235
9.5,0000 1 Jun 1992,299.4343,299.5831,299.3198,300.494
10.5,0000 1 Jun 1992,299.668,299.0331,299.3504,300.6083
1.5,0000 1 Jul 1992,299.5206,296.3277,298.1158,301.8457
2.5,0000 1 Jul 1992,299.19,296.3428,297.9028,301.6188
3.5,0000 1 Jul 1992,299.1873,296.6048,298.0044,301.5095
4.5,0000 1 Jul 1992,299.208,297.0596,298.1547,301.4049
5.5,0000 1 Jul 1992,299.1425,297.7298,298.3251,301.1947
6.5,0000 1 Jul 1992,299.1331,298.5589,298.6552,300.9324
7.5,0000 1 Jul 1992,299.3087,299.3855,299.1393,300.7174
