L,M,MON,LDC_SST_GEM52_NEMO
2.5,5,0000 1 Feb 1991,299.8067
3.5,5,0000 1 Feb 1991,299.5741
4.5,5,0000 1 Feb 1991,299.1449
5.5,5,0000 1 Feb 1991,298.6969
6.5,5,0000 1 Feb 1991,298.2691
7.5,5,0000 1 Feb 1991,297.9317
8.5,5,0000 1 Feb 1991,297.7944
9.5,5,0000 1 Feb 1991,297.7556
10.5,5,0000 1 Feb 1991,297.7924
1.5,6,0000 1 Feb 1991,299.924
2.5,6,0000 1 Feb 1991,299.9377
3.5,6,0000 1 Feb 1991,299.8697
4.5,6,0000 1 Feb 1991,299.3671
5.5,6,0000 1 Feb 1991,298.7187
6.5,6,0000 1 Feb 1991,298.142
7.5,6,0000 1 Feb 1991,297.8138
8.5,6,0000 1 Feb 1991,297.5546
9.5,6,0000 1 Feb 1991,297.4287
10.5,6,0000 1 Feb 1991,297.3648
1.5,7,0000 1 Feb 1991,300.0562
2.5,7,0000 1 Feb 1991,300.1167
3.5,7,0000 1 Feb 1991,300.126
4.5,7,0000 1 Feb 1991,299.7195
5.5,7,0000 1 Feb 1991,299.0165
6.5,7,0000 1 Feb 1991,298.2861
7.5,7,0000 1 Feb 1991,297.8047
8.5,7,0000 1 Feb 1991,297.6008
9.5,7,0000 1 Feb 1991,297.4293
10.5,7,0000 1 Feb 1991,297.3206
1.5,8,0000 1 Feb 1991,300.0765
2.5,8,0000 1 Feb 1991,300.1617
3.5,8,0000 1 Feb 1991,300.1236
4.5,8,0000 1 Feb 1991,299.6635
5.5,8,0000 1 Feb 1991,299.0377
6.5,8,0000 1 Feb 1991,298.3907
7.5,8,0000 1 Feb 1991,297.9955
8.5,8,0000 1 Feb 1991,297.7188
9.5,8,0000 1 Feb 1991,297.5442
10.5,8,0000 1 Feb 1991,297.4547
1.5,9,0000 1 Feb 1991,299.7492
2.5,9,0000 1 Feb 1991,299.5511
3.5,9,0000 1 Feb 1991,299.361
4.5,9,0000 1 Feb 1991,298.8517
5.5,9,0000 1 Feb 1991,298.1752
6.5,9,0000 1 Feb 1991,297.5861
7.5,9,0000 1 Feb 1991,297.2993
8.5,9,0000 1 Feb 1991,297.2286
9.5,9,0000 1 Feb 1991,297.1542
10.5,9,0000 1 Feb 1991,297.1552
1.5,10,0000 1 Feb 1991,300.1288
2.5,10,0000 1 Feb 1991,300.1292
3.5,10,0000 1 Feb 1991,299.9484
4.5,10,0000 1 Feb 1991,299.5191
5.5,10,0000 1 Feb 1991,298.9011
6.5,10,0000 1 Feb 1991,298.4498
7.5,10,0000 1 Feb 1991,298.1084
8.5,10,0000 1 Feb 1991,297.994
9.5,10,0000 1 Feb 1991,297.8272
10.5,10,0000 1 Feb 1991,297.7059
1.5,11,0000 1 Feb 1991,299.705
2.5,11,0000 1 Feb 1991,299.6581
3.5,11,0000 1 Feb 1991,299.5871
4.5,11,0000 1 Feb 1991,299.2173
5.5,11,0000 1 Feb 1991,298.5768
6.5,11,0000 1 Feb 1991,297.8982
7.5,11,0000 1 Feb 1991,297.4559
8.5,11,0000 1 Feb 1991,297.2557
9.5,11,0000 1 Feb 1991,297.0895
10.5,11,0000 1 Feb 1991,297.0416
1.5,12,0000 1 Feb 1991,299.73
2.5,12,0000 1 Feb 1991,299.6399
3.5,12,0000 1 Feb 1991,299.5495
4.5,12,0000 1 Feb 1991,299.1847
5.5,12,0000 1 Feb 1991,298.646
6.5,12,0000 1 Feb 1991,298.1127
7.5,12,0000 1 Feb 1991,297.7326
8.5,12,0000 1 Feb 1991,297.5828
9.5,12,0000 1 Feb 1991,297.3685
10.5,12,0000 1 Feb 1991,297.1707
1.5,13,0000 1 Feb 1991,299.5553
2.5,13,0000 1 Feb 1991,299.3123
3.5,13,0000 1 Feb 1991,298.9881
4.5,13,0000 1 Feb 1991,298.4228
5.5,13,0000 1 Feb 1991,297.9016
6.5,13,0000 1 Feb 1991,297.5398
7.5,13,0000 1 Feb 1991,297.2754
8.5,13,0000 1 Feb 1991,297.0312
9.5,13,0000 1 Feb 1991,296.8497
10.5,13,0000 1 Feb 1991,296.7648
1.5,14,0000 1 Feb 1991,299.7895
2.5,14,0000 1 Feb 1991,299.8185
3.5,14,0000 1 Feb 1991,299.7489
4.5,14,0000 1 Feb 1991,299.2749
5.5,14,0000 1 Feb 1991,298.4796
6.5,14,0000 1 Feb 1991,297.7443
7.5,14,0000 1 Feb 1991,297.3776
8.5,14,0000 1 Feb 1991,297.3726
9.5,14,0000 1 Feb 1991,297.3297
10.5,14,0000 1 Feb 1991,297.2341
1.5,15,0000 1 Feb 1991,299.822
2.5,15,0000 1 Feb 1991,299.8503
3.5,15,0000 1 Feb 1991,299.7734
4.5,15,0000 1 Feb 1991,299.3429
5.5,15,0000 1 Feb 1991,298.6921
6.5,15,0000 1 Feb 1991,298.0986
7.5,15,0000 1 Feb 1991,297.7992
8.5,15,0000 1 Feb 1991,297.6801
9.5,15,0000 1 Feb 1991,297.6365
10.5,15,0000 1 Feb 1991,297.5511
1.5,16,0000 1 Feb 1991,299.6429
2.5,16,0000 1 Feb 1991,299.5722
3.5,16,0000 1 Feb 1991,299.509
