L,MON,LDC_SST_CanCM4i_IC3
2.5,0000 1 Mar 1993,301.5999
3.5,0000 1 Mar 1993,301.3467
4.5,0000 1 Mar 1993,300.7497
5.5,0000 1 Mar 1993,300.1577
6.5,0000 1 Mar 1993,299.8633
7.5,0000 1 Mar 1993,300.0053
8.5,0000 1 Mar 1993,300.3255
9.5,0000 1 Mar 1993,300.4765
10.5,0000 1 Mar 1993,300.3421
1.5,0000 1 Apr 1993,301.6403
2.5,0000 1 Apr 1993,301.3467
3.5,0000 1 Apr 1993,300.7819
4.5,0000 1 Apr 1993,300.1689
5.5,0000 1 Apr 1993,299.8676
6.5,0000 1 Apr 1993,300.004
7.5,0000 1 Apr 1993,300.3931
8.5,0000 1 Apr 1993,300.6361
9.5,0000 1 Apr 1993,300.6173
10.5,0000 1 Apr 1993,300.4087
1.5,0000 1 May 1993,301.4213
2.5,0000 1 May 1993,300.9238
3.5,0000 1 May 1993,300.403
4.5,0000 1 May 1993,300.1903
5.5,0000 1 May 1993,300.3554
6.5,0000 1 May 1993,300.7539
7.5,0000 1 May 1993,300.9464
8.5,0000 1 May 1993,300.8879
9.5,0000 1 May 1993,300.6098
10.5,0000 1 May 1993,300.4694
1.5,0000 1 Jun 1993,300.5746
2.5,0000 1 Jun 1993,299.8858
3.5,0000 1 Jun 1993,299.5776
4.5,0000 1 Jun 1993,299.7222
5.5,0000 1 Jun 1993,300.0614
6.5,0000 1 Jun 1993,300.266
7.5,0000 1 Jun 1993,300.295
8.5,0000 1 Jun 1993,300.2474
9.5,0000 1 Jun 1993,300.3013
10.5,0000 1 Jun 1993,300.4252
1.5,0000 1 Jul 1993,299.8499
2.5,0000 1 Jul 1993,299.3912
3.5,0000 1 Jul 1993,299.4489
4.5,0000 1 Jul 1993,299.7224
5.5,0000 1 Jul 1993,299.8544
6.5,0000 1 Jul 1993,299.8172
7.5,0000 1 Jul 1993,299.6947
8.5,0000 1 Jul 1993,299.7503
9.5,0000 1 Jul 1993,300.037
10.5,0000 1 Jul 1993,300.1646
1.5,0000 1 Aug 1993,299.4905
2.5,0000 1 Aug 1993,299.4511
3.5,0000 1 Aug 1993,299.7248
4.5,0000 1 Aug 1993,299.9317
5.5,0000 1 Aug 1993,299.907
6.5,0000 1 Aug 1993,299.7814
7.5,0000 1 Aug 1993,299.8175
8.5,0000 1 Aug 1993,300.0942
9.5,0000 1 Aug 1993,300.2172
10.5,0000 1 Aug 1993,299.9268
1.5,0000 1 Sep 1993,299.6493
2.5,0000 1 Sep 1993,299.6342
3.5,0000 1 Sep 1993,299.6986
4.5,0000 1 Sep 1993,299.5571
5.5,0000 1 Sep 1993,299.32
6.5,0000 1 Sep 1993,299.335
7.5,0000 1 Sep 1993,299.6939
8.5,0000 1 Sep 1993,299.9526
9.5,0000 1 Sep 1993,299.7419
10.5,0000 1 Sep 1993,298.9704
1.5,0000 1 Oct 1993,299.9245
2.5,0000 1 Oct 1993,299.6961
3.5,0000 1 Oct 1993,299.2927
4.5,0000 1 Oct 1993,298.8683
5.5,0000 1 Oct 1993,298.8486
6.5,0000 1 Oct 1993,299.2404
7.5,0000 1 Oct 1993,299.5417
8.5,0000 1 Oct 1993,299.379
9.5,0000 1 Oct 1993,298.7169
10.5,0000 1 Oct 1993,298.0582
1.5,0000 1 Nov 1993,299.7745
2.5,0000 1 Nov 1993,299.243
3.5,0000 1 Nov 1993,298.6851
4.5,0000 1 Nov 1993,298.5406
5.5,0000 1 Nov 1993,298.6992
6.5,0000 1 Nov 1993,298.838
7.5,0000 1 Nov 1993,298.4959
8.5,0000 1 Nov 1993,297.7859
9.5,0000 1 Nov 1993,297.1521
10.5,0000 1 Nov 1993,296.8472
1.5,0000 1 Dec 1993,299.1935
2.5,0000 1 Dec 1993,298.4641
3.5,0000 1 Dec 1993,298.2043
4.5,0000 1 Dec 1993,298.2946
5.5,0000 1 Dec 1993,298.4395
6.5,0000 1 Dec 1993,298.1418
7.5,0000 1 Dec 1993,297.5273
8.5,0000 1 Dec 1993,297.0269
9.5,0000 1 Dec 1993,296.8593
10.5,0000 1 Dec 1993,297.0058
1.5,0000 1 Jan 1994,299.5043
2.5,0000 1 Jan 1994,299.4347
3.5,0000 1 Jan 1994,299.531
4.5,0000 1 Jan 1994,299.6066
5.5,0000 1 Jan 1994,299.2683
6.5,0000 1 Jan 1994,298.54
7.5,0000 1 Jan 1994,297.861
8.5,0000 1 Jan 1994,297.506
9.5,0000 1 Jan 1994,297.5135
10.5,0000 1 Jan 1994,297.6006
1.5,0000 1 Feb 1994,300.2985
2.5,0000 1 Feb 1994,300.694
3.5,0000 1 Feb 1994,300.8983
4.5,0000 1 Feb 1994,300.619
5.5,0000 1 Feb 1994,299.9285
6.5,0000 1 Feb 1994,299.2501
7.5,0000 1 Feb 1994,298.9025
8.5,0000 1 Feb 1994,298.9309
9.5,0000 1 Feb 1994,299.0614
10.5,0000 1 Feb 1994,299.0741
1.5,0000 1 Mar 1994,301.0855
2.5,0000 1 Mar 1994,301.23
3.5,0000 1 Mar 1994,300.8987
4.5,0000 1 Mar 1994,300.2222
5.5,0000 1 Mar 1994,299.5601
6.5,0000 1 Mar 1994,299.2418
7.5,0000 1 Mar 1994,299.3331
8.5,0000 1 Mar 1994,299.5537
9.5,0000 1 Mar 1994,299.6046
10.5,0000 1 Mar 1994,299.468
1.5,0000 1 Apr 1994,301.2484
2.5,0000 1 Apr 1994,301.1232
3.5,0000 1 Apr 1994,300.6273
4.5,0000 1 Apr 1994,300.1027
5.5,0000 1 Apr 1994,299.8743
6.5,0000 1 Apr 1994,300.0669
7.5,0000 1 Apr 1994,300.4236
8.5,0000 1 Apr 1994,300.6345
9.5,0000 1 Apr 1994,300.6735
10.5,0000 1 Apr 1994,300.6118
1.5,0000 1 May 1994,300.6881
2.5,0000 1 May 1994,300.1492
3.5,0000 1 May 1994,299.6445
4.5,0000 1 May 1994,299.4294
5.5,0000 1 May 1994,299.6308
6.5,0000 1 May 1994,299.9718
7.5,0000 1 May 1994,300.1636
8.5,0000 1 May 1994,300.144
9.5,0000 1 May 1994,300.0381
10.5,0000 1 May 1994,300.0882
1.5,0000 1 Jun 1994,300.331
2.5,0000 1 Jun 1994,299.7405
3.5,0000 1 Jun 1994,299.5085
4.5,0000 1 Jun 1994,299.7032
5.5,0000 1 Jun 1994,300.0777
6.5,0000 1 Jun 1994,300.305
7.5,0000 1 Jun 1994,300.3391
8.5,0000 1 Jun 1994,300.2798
9.5,0000 1 Jun 1994,300.3618
10.5,0000 1 Jun 1994,300.562
1.5,0000 1 Jul 1994,299.2739
2.5,0000 1 Jul 1994,298.8215
