L,MON,LDC_SST_COLA_CESM1,LDC_SST_COLA_CESM1_ONETWO,LDC_SST_COLA_CESM1_THREE,LDC_SST_COLA_CESM1_FOUR
7.5,0000 1 Nov 1991,28.15681,22.93329,26.88706,28.86884
8.5,0000 1 Nov 1991,27.76008,22.2505,26.28447,28.75857
9.5,0000 1 Nov 1991,27.13599,21.63449,25.64201,28.48412
10.5,0000 1 Nov 1991,26.66209,21.32344,25.21735,28.24079
1.5,0000 1 Dec 1991,27.75048,22.77809,26.20188,29.05176
2.5,0000 1 Dec 1991,27.62211,23.51205,26.37786,28.89787
3.5,0000 1 Dec 1991,27.68624,23.76262,26.654,28.82299
4.5,0000 1 Dec 1991,27.99618,23.41429,26.94601,28.8639
5.5,0000 1 Dec 1991,28.28264,22.69447,27.00531,28.95217
6.5,0000 1 Dec 1991,28.21321,21.97648,26.65267,28.97828
7.5,0000 1 Dec 1991,27.70331,21.36523,25.96918,28.85106
8.5,0000 1 Dec 1991,26.97189,20.93471,25.26284,28.55544
9.5,0000 1 Dec 1991,26.40328,20.8025,24.77646,28.25297
10.5,0000 1 Dec 1991,26.2429,21.01349,24.65996,28.11881
1.5,0000 1 Jan 1992,28.0001,23.89035,26.84297,28.92002
2.5,0000 1 Jan 1992,28.04868,24.17784,27.14002,28.80102
3.5,0000 1 Jan 1992,28.24087,23.78999,27.33823,28.80994
4.5,0000 1 Jan 1992,28.38404,23.065,27.25369,28.87535
5.5,0000 1 Jan 1992,28.1517,22.14651,26.66639,28.87212
6.5,0000 1 Jan 1992,27.4371,21.32928,25.76004,28.62505
7.5,0000 1 Jan 1992,26.55394,20.71912,24.88186,28.15339
8.5,0000 1 Jan 1992,25.9364,20.57399,24.35581,27.74468
9.5,0000 1 Jan 1992,25.80493,20.86465,24.25407,27.57702
10.5,0000 1 Jan 1992,25.93143,21.49154,24.49859,27.61005
1.5,0000 1 Feb 1992,28.35045,24.95251,27.74962,28.63819
2.5,0000 1 Feb 1992,28.40547,24.80921,27.9002,28.66682
3.5,0000 1 Feb 1992,28.25203,23.97078,27.42072,28.69142
4.5,0000 1 Feb 1992,27.58278,22.55812,26.22069,28.60036
5.5,0000 1 Feb 1992,26.42478,21.11255,24.77144,28.07312
6.5,0000 1 Feb 1992,25.23104,20.16557,23.63878,27.30346
7.5,0000 1 Feb 1992,24.46978,19.76931,23.00269,26.61562
8.5,0000 1 Feb 1992,24.24584,19.96715,22.78849,26.38801
9.5,0000 1 Feb 1992,24.29685,20.56721,22.90735,26.39416
10.5,0000 1 Feb 1992,24.45122,21.58112,23.35157,26.40367
1.5,0000 1 Mar 1992,28.61908,25.05963,28.03579,28.90673
2.5,0000 1 Mar 1992,28.54325,23.86186,27.53267,28.99084
3.5,0000 1 Mar 1992,27.90189,22.22232,26.26466,28.93683
4.5,0000 1 Mar 1992,26.76799,20.80557,24.7602,28.52674
5.5,0000 1 Mar 1992,25.57614,19.91068,23.66129,27.80167
6.5,0000 1 Mar 1992,24.79791,19.67521,23.13818,27.11681
7.5,0000 1 Mar 1992,24.58535,20.02366,23.05904,26.7878
8.5,0000 1 Mar 1992,24.67406,20.7325,23.27088,26.79405
9.5,0000 1 Mar 1992,24.85135,21.76933,23.70601,26.81169
10.5,0000 1 Mar 1992,25.06412,23.01724,24.29823,26.81301
1.5,0000 1 Apr 1992,28.64879,23.94666,27.39888,29.17178
2.5,0000 1 Apr 1992,28.03533,22.18678,26.16861,29.05908
3.5,0000 1 Apr 1992,26.85587,20.72107,24.61591,28.65697
4.5,0000 1 Apr 1992,25.49424,19.72623,23.30125,27.91754
5.5,0000 1 Apr 1992,24.47684,19.40105,22.5617,27.16455
6.5,0000 1 Apr 1992,24.09735,19.70239,22.39638,26.72115
7.5,0000 1 Apr 1992,24.12439,20.36128,22.6097,26.63106
8.5,0000 1 Apr 1992,24.30367,21.36867,23.10821,26.5958
9.5,0000 1 Apr 1992,24.5259,22.6647,23.74681,26.54128
10.5,0000 1 Apr 1992,24.90664,23.9504,24.47581,26.56897
1.5,0000 1 May 1992,27.91557,22.49866,26.13395,29.1125
2.5,0000 1 May 1992,26.57207,21.04347,24.37815,28.70128
3.5,0000 1 May 1992,25.1718,20.06981,23.0923,27.97527
4.5,0000 1 May 1992,24.34259,19.71721,22.58091,27.2773
5.5,0000 1 May 1992,24.14256,19.87663,22.57556,26.89405
6.5,0000 1 May 1992,24.30338,20.47532,22.89102,26.83614
7.5,0000 1 May 1992,24.55944,21.48656,23.41136,26.83617
8.5,0000 1 May 1992,24.82763,22.77911,24.05699,26.79925
9.5,0000 1 May 1992,25.18767,24.02044,24.7137,26.80081
10.5,0000 1 May 1992,25.7443,24.79339,25.43351,26.98606
1.5,0000 1 Jun 1992,25.3298,20.61442,23.48239,27.84703
2.5,0000 1 Jun 1992,23.76213,19.69008,22.02046,26.9747
3.5,0000 1 Jun 1992,23.12641,19.39136,21.61651,26.32647
4.5,0000 1 Jun 1992,23.19556,19.56346,21.85316,26.09662
5.5,0000 1 Jun 1992,23.45364,20.17103,22.31173,26.05227
6.5,0000 1 Jun 1992,23.67828,21.19592,22.87907,25.94886
7.5,0000 1 Jun 1992,23.98719,22.52226,23.58559,25.86168
8.5,0000 1 Jun 1992,24.46529,23.77396,24.32083,25.88548
9.5,0000 1 Jun 1992,25.11713,24.55308,25.09007,26.15227
10.5,0000 1 Jun 1992,25.8246,24.62017,25.74521,26.59653
1.5,0000 1 Jul 1992,24.59597,19.54272,22.69257,27.33881
2.5,0000 1 Jul 1992,23.6885,19.33265,21.9358,26.76637
3.5,0000 1 Jul 1992,23.62272,19.54584,22.01767,26.56881
4.5,0000 1 Jul 1992,23.83487,20.15072,22.46199,26.53633
5.5,0000 1 Jul 1992,24.05347,21.12126,23.04302,26.46105
6.5,0000 1 Jul 1992,24.35052,22.4847,23.78866,26.40736
7.5,0000 1 Jul 1992,24.84846,23.79263,24.60192,26.47485
8.5,0000 1 Jul 1992,25.53539,24.60563,25.41046,26.75067
9.5,0000 1 Jul 1992,26.25382,24.66542,26.0773,27.19018
10.5,0000 1 Jul 1992,26.81865,24.04218,26.38344,27.68122
1.5,0000 1 Aug 1992,24.42691,19.38666,22.45545,27.42587
2.5,0000 1 Aug 1992,23.82758,19.57005,22.06833,27.00241
3.5,0000 1 Aug 1992,23.78861,20.1229,22.26665,26.86803
4.5,0000 1 Aug 1992,23.91891,20.95702,22.74619,26.72979
5.5,0000 1 Aug 1992,24.12434,22.09164,23.41463,26.54302
6.5,0000 1 Aug 1992,24.51073,23.31924,24.21831,26.46258
7.5,0000 1 Aug 1992,25.18917,24.13217,25.07608,26.65308
8.5,0000 1 Aug 1992,25.97649,24.19759,25.8028,27.07544
9.5,0000 1 Aug 1992,26.56073,23.5497,26.06807,27.56045
10.5,0000 1 Aug 1992,26.68258,22.52481,25.76623,27.85571
1.5,0000 1 Sep 1992,25.00241,19.70648,23.1696,27.67706
2.5,0000 1 Sep 1992,24.67162,20.23409,22.91391,27.55047
3.5,0000 1 Sep 1992,24.56681,20.99783,23.08846,27.46621
4.5,0000 1 Sep 1992,24.65878,21.98632,23.62605,27.30089
5.5,0000 1 Sep 1992,24.98413,23.05834,24.36915,27.19404
6.5,0000 1 Sep 1992,25.58968,23.88579,25.22013,27.31611
7.5,0000 1 Sep 1992,26.3547,24.11189,25.97898,27.66205
8.5,0000 1 Sep 1992,26.92485,23.70156,26.30802,28.03434
9.5,0000 1 Sep 1992,27.08831,22.85418,26.09859,28.27797
10.5,0000 1 Sep 1992,26.75875,21.88203,25.477,28.23634
1.5,0000 1 Oct 1992,25.68237,20.65665,24.05482,28.05647
2.5,0000 1 Oct 1992,25.31535,21.26616,23.84602,27.89692
3.5,0000 1 Oct 1992,25.19678,22.05115,23.98291,27.77622
4.5,0000 1 Oct 1992,25.45417,22.90574,24.5249,27.74427
5.5,0000 1 Oct 1992,26.0145,23.61229,25.36512,27.81787
6.5,0000 1 Oct 1992,26.72355,23.8859,26.1619,28.09109
7.5,0000 1 Oct 1992,27.31073,23.65407,26.56704,28.42614
8.5,0000 1 Oct 1992,27.50916,23.00023,26.41556,28.65739
9.5,0000 1 Oct 1992,27.25299,22.18945,25.9046,28.6571
10.5,0000 1 Oct 1992,26.77978,21.51135,25.37504,28.45746
1.5,0000 1 Nov 1992,25.76965,21.43548,24.40401,27.90361
2.5,0000 1 Nov 1992,25.46785,22.27158,24.41522,27.62117
3.5,0000 1 Nov 1992,25.43847,22.90935,24.59594,27.51888
4.5,0000 1 Nov 1992,25.83593,23.1219,25.05657,27.67064
5.5,0000 1 Nov 1992,26.47798,22.94427,25.63054,28.00109
6.5,0000 1 Nov 1992,26.96005,22.54752,25.97386,28.32381
7.5,0000 1 Nov 1992,27.06601,22.04683,25.82597,28.49806
8.5,0000 1 Nov 1992,26.71967,21.38386,25.2923,28.36437
9.5,0000 1 Nov 1992,26.16995,20.77184,24.67501,28.01252
10.5,0000 1 Nov 1992,25.73745,20.43965,24.21913,27.69769
1.5,0000 1 Dec 1992,26.00252,22.20907,24.79394,27.99622
2.5,0000 1 Dec 1992,25.81178,22.96186,24.93765,27.75078
3.5,0000 1 Dec 1992,25.9792,23.12715,25.18363,27.70537
4.5,0000 1 Dec 1992,26.43113,22.63539,25.46268,27.91103
5.5,0000 1 Dec 1992,26.72886,21.84126,25.50727,28.12867
6.5,0000 1 Dec 1992,26.61014,21.03924,25.16578,28.14907
7.5,0000 1 Dec 1992,26.04383,20.31761,24.43249,27.79769
8.5,0000 1 Dec 1992,25.32498,19.78893,23.68281,27.25867
9.5,0000 1 Dec 1992,24.76375,19.62995,23.15309,26.81067
10.5,0000 1 Dec 1992,24.56849,19.8965,23.02815,26.66771
1.5,0000 1 Jan 1993,25.98034,23.48315,25.2094,27.75696
2.5,0000 1 Jan 1993,26.19614,23.69051,25.58481,27.67034
3.5,0000 1 Jan 1993,26.58253,22.86343,25.72238,27.8276
4.5,0000 1 Jan 1993,26.77189,21.60995,25.50338,28.0744
5.5,0000 1 Jan 1993,26.54138,20.43818,24.90075,28.08388
6.5,0000 1 Jan 1993,25.91282,19.65861,24.11524,27.72696
7.5,0000 1 Jan 1993,25.12882,19.20746,23.31475,27.13875
