M,L,MON,LDC_SST_NCEP_CFSv2
14,1.5,0000 1 Feb 1991,26.88286
15,1.5,0000 1 Feb 1991,26.86695
16,1.5,0000 1 Feb 1991,27.11545
17,1.5,0000 1 Feb 1991,27.1249
18,1.5,0000 1 Feb 1991,27.11366
19,1.5,0000 1 Feb 1991,27.28156
20,1.5,0000 1 Feb 1991,27.03307
21,1.5,0000 1 Feb 1991,27.30104
22,1.5,0000 1 Feb 1991,27.14184
23,1.5,0000 1 Feb 1991,26.87222
24,1.5,0000 1 Feb 1991,27.24572
1,2.5,0000 1 Feb 1991,26.92747
2,2.5,0000 1 Feb 1991,26.88773
3,2.5,0000 1 Feb 1991,27.75324
4,2.5,0000 1 Feb 1991,27.54719
5,2.5,0000 1 Feb 1991,27.41601
6,2.5,0000 1 Feb 1991,27.00562
7,2.5,0000 1 Feb 1991,27.55131
8,2.5,0000 1 Feb 1991,27.6582
9,2.5,0000 1 Feb 1991,27.78181
10,2.5,0000 1 Feb 1991,27.6567
11,2.5,0000 1 Feb 1991,27.53752
12,2.5,0000 1 Feb 1991,27.85739
13,2.5,0000 1 Feb 1991,27.25614
14,2.5,0000 1 Feb 1991,27.31364
15,2.5,0000 1 Feb 1991,27.20693
16,2.5,0000 1 Feb 1991,27.4956
17,2.5,0000 1 Feb 1991,27.75731
18,2.5,0000 1 Feb 1991,27.45045
19,2.5,0000 1 Feb 1991,27.87482
20,2.5,0000 1 Feb 1991,27.46142
21,2.5,0000 1 Feb 1991,27.85299
22,2.5,0000 1 Feb 1991,27.58135
23,2.5,0000 1 Feb 1991,27.20597
24,2.5,0000 1 Feb 1991,27.75966
1,3.5,0000 1 Feb 1991,27.21721
2,3.5,0000 1 Feb 1991,27.22499
3,3.5,0000 1 Feb 1991,28.15546
4,3.5,0000 1 Feb 1991,28.09014
5,3.5,0000 1 Feb 1991,27.79596
6,3.5,0000 1 Feb 1991,27.11107
7,3.5,0000 1 Feb 1991,28.03446
8,3.5,0000 1 Feb 1991,27.98253
9,3.5,0000 1 Feb 1991,28.34358
10,3.5,0000 1 Feb 1991,28.06288
11,3.5,0000 1 Feb 1991,27.55741
12,3.5,0000 1 Feb 1991,28.11401
13,3.5,0000 1 Feb 1991,27.57365
14,3.5,0000 1 Feb 1991,27.65597
15,3.5,0000 1 Feb 1991,27.56831
16,3.5,0000 1 Feb 1991,27.67823
17,3.5,0000 1 Feb 1991,28.36492
18,3.5,0000 1 Feb 1991,27.70758
19,3.5,0000 1 Feb 1991,28.3014
20,3.5,0000 1 Feb 1991,27.85061
21,3.5,0000 1 Feb 1991,28.16127
22,3.5,0000 1 Feb 1991,27.91686
23,3.5,0000 1 Feb 1991,27.59298
24,3.5,0000 1 Feb 1991,28.05671
1,4.5,0000 1 Feb 1991,26.90386
2,4.5,0000 1 Feb 1991,27.32409
3,4.5,0000 1 Feb 1991,27.84304
4,4.5,0000 1 Feb 1991,28.01659
5,4.5,0000 1 Feb 1991,27.55377
6,4.5,0000 1 Feb 1991,26.64103
7,4.5,0000 1 Feb 1991,27.8716
8,4.5,0000 1 Feb 1991,27.57702
9,4.5,0000 1 Feb 1991,28.35403
10,4.5,0000 1 Feb 1991,28.19621
11,4.5,0000 1 Feb 1991,26.95404
12,4.5,0000 1 Feb 1991,27.73668
13,4.5,0000 1 Feb 1991,27.57152
14,4.5,0000 1 Feb 1991,27.40472
15,4.5,0000 1 Feb 1991,27.61206
16,4.5,0000 1 Feb 1991,27.48494
17,4.5,0000 1 Feb 1991,28.48222
18,4.5,0000 1 Feb 1991,27.64554
19,4.5,0000 1 Feb 1991,28.16252
20,4.5,0000 1 Feb 1991,27.70623
21,4.5,0000 1 Feb 1991,27.83981
22,4.5,0000 1 Feb 1991,27.72115
23,4.5,0000 1 Feb 1991,27.65721
24,4.5,0000 1 Feb 1991,27.84417
1,5.5,0000 1 Feb 1991,26.17237
2,5.5,0000 1 Feb 1991,26.92826
3,5.5,0000 1 Feb 1991,27.04754
4,5.5,0000 1 Feb 1991,27.24903
5,5.5,0000 1 Feb 1991,26.67164
6,5.5,0000 1 Feb 1991,25.67064
7,5.5,0000 1 Feb 1991,27.22155
8,5.5,0000 1 Feb 1991,26.96373
9,5.5,0000 1 Feb 1991,27.85437
10,5.5,0000 1 Feb 1991,27.81149
11,5.5,0000 1 Feb 1991,26.11403
12,5.5,0000 1 Feb 1991,26.55499
13,5.5,0000 1 Feb 1991,27.16007
14,5.5,0000 1 Feb 1991,26.5971
15,5.5,0000 1 Feb 1991,27.22342
16,5.5,0000 1 Feb 1991,26.88033
17,5.5,0000 1 Feb 1991,28.00034
18,5.5,0000 1 Feb 1991,27.18224
19,5.5,0000 1 Feb 1991,27.51324
20,5.5,0000 1 Feb 1991,27.14174
21,5.5,0000 1 Feb 1991,26.96801
22,5.5,0000 1 Feb 1991,26.91757
23,5.5,0000 1 Feb 1991,27.06181
24,5.5,0000 1 Feb 1991,27.12039
1,6.5,0000 1 Feb 1991,25.31194
2,6.5,0000 1 Feb 1991,26.38466
3,6.5,0000 1 Feb 1991,26.27216
4,6.5,0000 1 Feb 1991,26.37913
5,6.5,0000 1 Feb 1991,25.74147
6,6.5,0000 1 Feb 1991,24.83745
7,6.5,0000 1 Feb 1991,26.64577
8,6.5,0000 1 Feb 1991,26.41049
9,6.5,0000 1 Feb 1991,27.23102
10,6.5,0000 1 Feb 1991,27.32983
11,6.5,0000 1 Feb 1991,25.50131
12,6.5,0000 1 Feb 1991,25.39471
13,6.5,0000 1 Feb 1991,26.8259
14,6.5,0000 1 Feb 1991,25.84417
15,6.5,0000 1 Feb 1991,26.61713
16,6.5,0000 1 Feb 1991,26.4061
17,6.5,0000 1 Feb 1991,27.53654
18,6.5,0000 1 Feb 1991,26.68922
19,6.5,0000 1 Feb 1991,27.03013
20,6.5,0000 1 Feb 1991,26.42549
21,6.5,0000 1 Feb 1991,26.26718
22,6.5,0000 1 Feb 1991,26.13413
23,6.5,0000 1 Feb 1991,26.39917
24,6.5,0000 1 Feb 1991,26.54115
1,7.5,0000 1 Feb 1991,24.9036
2,7.5,0000 1 Feb 1991,26.07558
3,7.5,0000 1 Feb 1991,25.70648
4,7.5,0000 1 Feb 1991,25.7918
5,7.5,0000 1 Feb 1991,25.41104
6,7.5,0000 1 Feb 1991,24.42677
7,7.5,0000 1 Feb 1991,26.34379
8,7.5,0000 1 Feb 1991,26.27015
9,7.5,0000 1 Feb 1991,26.92326
10,7.5,0000 1 Feb 1991,27.13589
11,7.5,0000 1 Feb 1991,25.25915
12,7.5,0000 1 Feb 1991,24.67545
13,7.5,0000 1 Feb 1991,26.69756
14,7.5,0000 1 Feb 1991,25.57651
